Timestamp,Source IP Address,Destination IP Address,Attack Type,Severity Level
2026-09-20T08:00:00Z,192.168.1.50,192.168.1.53,Port Scan,LOW
2026-09-20T08:00:02Z,172.16.0.20,10.0.0.120,Malware Beacon,MEDIUM
2026-09-20T08:00:04Z,172.16.0.13,10.0.0.113,Malware Beacon,MEDIUM
2026-09-20T08:00:06Z,172.16.0.7,10.0.0.107,Malware Beacon,MEDIUM
2026-09-20T08:00:08Z,192.168.1.50,192.168.1.53,Port Scan,LOW
2026-09-20T08:00:10Z,172.16.0.29,10.0.0.129,Malware Beacon,MEDIUM
2026-09-20T08:00:12Z,172.16.0.19,10.0.0.119,Malware Beacon,MEDIUM
2026-09-20T08:00:14Z,172.16.0.1,10.0.0.101,Malware Beacon,MEDIUM
2026-09-20T08:00:16Z,172.16.0.19,10.0.0.119,Malware Beacon,MEDIUM
2026-09-20T08:00:18Z,172.16.0.17,10.0.0.117,Malware Beacon,MEDIUM
2026-09-20T08:00:20Z,114.5.6.7,10.0.0.12-CORE-DB,Ransomware Payload,CRITICAL
2026-09-20T08:00:22Z,192.168.1.50,192.168.1.51,Port Scan,LOW
2026-09-20T08:00:24Z,172.16.0.9,10.0.0.109,Malware Beacon,MEDIUM
2026-09-20T08:00:26Z,172.16.0.11,10.0.0.111,Malware Beacon,MEDIUM
2026-09-20T08:00:28Z,172.16.0.7,10.0.0.107,Malware Beacon,MEDIUM
2026-09-20T08:00:30Z,172.16.0.11,10.0.0.111,Malware Beacon,MEDIUM
2026-09-20T08:00:32Z,172.16.0.19,10.0.0.119,Malware Beacon,MEDIUM
2026-09-20T08:00:34Z,192.168.1.105,10.0.0.5-SWIFT,SQL Injection,CRITICAL
2026-09-20T08:00:36Z,172.16.0.24,10.0.0.124,Malware Beacon,MEDIUM
2026-09-20T08:00:38Z,114.5.6.7,10.0.0.12-CORE-DB,Ransomware Payload,CRITICAL
2026-09-20T08:00:40Z,172.16.0.9,10.0.0.109,Malware Beacon,MEDIUM
2026-09-20T08:00:42Z,10.0.0.2,8.8.8.8,Outbound DNS Exfiltration,CRITICAL
2026-09-20T08:00:44Z,172.16.0.20,10.0.0.120,Malware Beacon,MEDIUM
2026-09-20T08:00:46Z,172.16.0.16,10.0.0.116,Malware Beacon,MEDIUM
2026-09-20T08:00:48Z,172.16.0.2,10.0.0.102,Malware Beacon,MEDIUM
2026-09-20T08:00:50Z,172.16.0.3,10.0.0.103,Malware Beacon,MEDIUM
2026-09-20T08:00:52Z,114.5.6.7,10.0.0.12-CORE-DB,Ransomware Payload,CRITICAL
2026-09-20T08:00:54Z,172.16.0.14,10.0.0.114,Malware Beacon,MEDIUM
2026-09-20T08:00:56Z,192.168.1.50,192.168.1.52,Port Scan,LOW
2026-09-20T08:00:58Z,172.16.0.21,10.0.0.121,Malware Beacon,MEDIUM
2026-09-20T08:01:00Z,172.16.0.17,10.0.0.117,Malware Beacon,MEDIUM
2026-09-20T08:01:02Z,172.16.0.23,10.0.0.123,Malware Beacon,MEDIUM
2026-09-20T08:01:04Z,172.16.0.22,10.0.0.122,Malware Beacon,MEDIUM
2026-09-20T08:01:06Z,172.16.0.14,10.0.0.114,Malware Beacon,MEDIUM
2026-09-20T08:01:08Z,172.16.0.2,10.0.0.102,Malware Beacon,MEDIUM
2026-09-20T08:01:10Z,172.16.0.20,10.0.0.120,Malware Beacon,MEDIUM
2026-09-20T08:01:12Z,172.16.0.20,10.0.0.120,Malware Beacon,MEDIUM
2026-09-20T08:01:14Z,114.5.6.7,10.0.0.12-CORE-DB,Ransomware Payload,CRITICAL
2026-09-20T08:01:16Z,172.16.0.3,10.0.0.103,Malware Beacon,MEDIUM
2026-09-20T08:01:18Z,172.16.0.21,10.0.0.121,Malware Beacon,MEDIUM
2026-09-20T08:01:20Z,114.5.6.7,10.0.0.12-CORE-DB,Ransomware Payload,CRITICAL
2026-09-20T08:01:22Z,172.16.0.27,10.0.0.127,Malware Beacon,MEDIUM
2026-09-20T08:01:24Z,172.16.0.0,10.0.0.100,Malware Beacon,MEDIUM
2026-09-20T08:01:26Z,172.16.0.22,10.0.0.122,Malware Beacon,MEDIUM
2026-09-20T08:01:28Z,114.5.6.7,10.0.0.12-CORE-DB,Ransomware Payload,CRITICAL
2026-09-20T08:01:30Z,172.16.0.21,10.0.0.121,Malware Beacon,MEDIUM
2026-09-20T08:01:32Z,192.168.1.105,10.0.0.5-SWIFT,SQL Injection,CRITICAL
2026-09-20T08:01:34Z,172.16.0.12,10.0.0.112,Malware Beacon,MEDIUM
2026-09-20T08:01:36Z,172.16.0.13,10.0.0.113,Malware Beacon,MEDIUM
2026-09-20T08:01:38Z,192.168.1.105,10.0.0.5-SWIFT,SQL Injection,CRITICAL
2026-09-20T08:01:40Z,172.16.0.15,10.0.0.115,Malware Beacon,MEDIUM
2026-09-20T08:01:42Z,172.16.0.11,10.0.0.111,Malware Beacon,MEDIUM
2026-09-20T08:01:44Z,172.16.0.13,10.0.0.113,Malware Beacon,MEDIUM
2026-09-20T08:01:46Z,192.168.1.50,192.168.1.52,Port Scan,LOW
2026-09-20T08:01:48Z,172.16.0.6,10.0.0.106,Malware Beacon,MEDIUM
2026-09-20T08:01:50Z,172.16.0.4,10.0.0.104,Malware Beacon,MEDIUM
2026-09-20T08:01:52Z,172.16.0.29,10.0.0.129,Malware Beacon,MEDIUM
2026-09-20T08:01:54Z,114.5.6.7,10.0.0.12-CORE-DB,Ransomware Payload,CRITICAL
2026-09-20T08:01:56Z,172.16.0.10,10.0.0.110,Malware Beacon,MEDIUM
2026-09-20T08:01:58Z,172.16.0.15,10.0.0.115,Malware Beacon,MEDIUM
2026-09-20T08:02:00Z,172.16.0.5,10.0.0.105,Malware Beacon,MEDIUM
2026-09-20T08:02:02Z,172.16.0.20,10.0.0.120,Malware Beacon,MEDIUM
2026-09-20T08:02:04Z,192.168.1.50,192.168.1.51,Port Scan,LOW
2026-09-20T08:02:06Z,172.16.0.17,10.0.0.117,Malware Beacon,MEDIUM
2026-09-20T08:02:08Z,172.16.0.2,10.0.0.102,Malware Beacon,MEDIUM
2026-09-20T08:02:10Z,172.16.0.3,10.0.0.103,Malware Beacon,MEDIUM
2026-09-20T08:02:12Z,172.16.0.25,10.0.0.125,Malware Beacon,MEDIUM
2026-09-20T08:02:14Z,172.16.0.6,10.0.0.106,Malware Beacon,MEDIUM
2026-09-20T08:02:16Z,172.16.0.24,10.0.0.124,Malware Beacon,MEDIUM
2026-09-20T08:02:18Z,172.16.0.20,10.0.0.120,Malware Beacon,MEDIUM
2026-09-20T08:02:20Z,172.16.0.18,10.0.0.118,Malware Beacon,MEDIUM
2026-09-20T08:02:22Z,172.16.0.13,10.0.0.113,Malware Beacon,MEDIUM
2026-09-20T08:02:24Z,172.16.0.1,10.0.0.101,Malware Beacon,MEDIUM
2026-09-20T08:02:26Z,172.16.0.6,10.0.0.106,Malware Beacon,MEDIUM
2026-09-20T08:02:28Z,172.16.0.26,10.0.0.126,Malware Beacon,MEDIUM
2026-09-20T08:02:30Z,172.16.0.12,10.0.0.112,Malware Beacon,MEDIUM
2026-09-20T08:02:32Z,172.16.0.17,10.0.0.117,Malware Beacon,MEDIUM
2026-09-20T08:02:34Z,172.16.0.0,10.0.0.100,Malware Beacon,MEDIUM
2026-09-20T08:02:36Z,172.16.0.17,10.0.0.117,Malware Beacon,MEDIUM
2026-09-20T08:02:38Z,172.16.0.8,10.0.0.108,Malware Beacon,MEDIUM
2026-09-20T08:02:40Z,172.16.0.5,10.0.0.105,Malware Beacon,MEDIUM
2026-09-20T08:02:42Z,172.16.0.15,10.0.0.115,Malware Beacon,MEDIUM
2026-09-20T08:02:44Z,172.16.0.13,10.0.0.113,Malware Beacon,MEDIUM
2026-09-20T08:02:46Z,172.16.0.8,10.0.0.108,Malware Beacon,MEDIUM
2026-09-20T08:02:48Z,192.168.1.105,10.0.0.5-SWIFT,SQL Injection,CRITICAL
2026-09-20T08:02:50Z,10.0.0.2,8.8.8.8,Outbound DNS Exfiltration,CRITICAL
2026-09-20T08:02:52Z,172.16.0.28,10.0.0.128,Malware Beacon,MEDIUM
2026-09-20T08:02:54Z,172.16.0.29,10.0.0.129,Malware Beacon,MEDIUM
2026-09-20T08:02:56Z,172.16.0.25,10.0.0.125,Malware Beacon,MEDIUM
2026-09-20T08:02:58Z,192.168.1.50,192.168.1.52,Port Scan,LOW
2026-09-20T08:03:00Z,172.16.0.10,10.0.0.110,Malware Beacon,MEDIUM
2026-09-20T08:03:02Z,45.33.22.11,10.0.0.55-AUTH,Brute Force SSH,HIGH
2026-09-20T08:03:04Z,172.16.0.28,10.0.0.128,Malware Beacon,MEDIUM
2026-09-20T08:03:06Z,172.16.0.27,10.0.0.127,Malware Beacon,MEDIUM
2026-09-20T08:03:08Z,114.5.6.7,10.0.0.12-CORE-DB,Ransomware Payload,CRITICAL
2026-09-20T08:03:10Z,172.16.0.29,10.0.0.129,Malware Beacon,MEDIUM
2026-09-20T08:03:12Z,172.16.0.27,10.0.0.127,Malware Beacon,MEDIUM
2026-09-20T08:03:14Z,172.16.0.28,10.0.0.128,Malware Beacon,MEDIUM
2026-09-20T08:03:16Z,8.8.8.8,192.168.1.1,DDoS UDP Flood,HIGH
2026-09-20T08:03:18Z,172.16.0.7,10.0.0.107,Malware Beacon,MEDIUM
2026-09-20T08:03:20Z,172.16.0.18,10.0.0.118,Malware Beacon,MEDIUM
2026-09-20T08:03:22Z,172.16.0.1,10.0.0.101,Malware Beacon,MEDIUM
2026-09-20T08:03:24Z,192.168.1.50,192.168.1.53,Port Scan,LOW
