date,time,devname,devid,level,srcip,srcport,srcintf,dstip,dstport,dstintf,proto,service,action,policyid,sentbyte,rcvdbyte,sentpkt,appcat,crscore,crlevel,utmaction,srccountry,attack,disposition
2020-01-01,00:43:27,GCH-FW-C-01,FG100F05512,alert,159.63.40.232,30053,wan1,10.30.0.24,53,core,17,DNS,deny,18,1428,0,2,unscanned,40,alert,block,India,Intrusion,Blocked
2020-01-01,03:02:42,GCH-FW-C-01,FG100F05512,alert,152.81.184.63,0,wan1,10.30.0.129,0,core,1,PING,accept,12,429,2862,1,Network.Service,41,alert,allow,India,Malware,Logged
2020-01-01,03:11:48,GCH-FW-B-01,FG100F38570,alert,161.219.235.160,35780,wan1,10.20.0.123,8080,app,17,HTTP-ALT,accept,21,850,30,1,Network.Service,46,alert,allow,India,DDoS,Ignored
2020-01-01,05:17:19,GCH-FW-A-01,FG100F98456,warning,98.253.138.239,30895,wan1,10.10.0.45,21,dmz,6,FTP,accept,12,123,1975,1,Network.Service,66,warning,allow,India,Intrusion,Logged
2020-01-01,05:21:39,GCH-FW-A-01,FG100F98456,warning,187.193.14.136,38883,wan1,10.10.0.18,2121,dmz,17,FTP,deny,21,68,0,1,unscanned,60,warning,block,India,DDoS,Blocked
2020-01-01,06:37:14,GCH-FW-B-01,FG100F38570,warning,43.86.163.245,0,wan1,10.20.0.77,0,app,1,PING,accept,21,1289,1097,2,Network.Service,45,warning,allow,India,Intrusion,Ignored
2020-01-01,14:32:55,GCH-FW-B-01,FG100F38570,notice,185.231.47.97,29855,wan1,10.20.0.129,21,app,17,FTP,deny,12,1242,0,2,unscanned,57,notice,block,India,Intrusion,Blocked
2020-01-01,18:20:06,GCH-FW-C-01,FG100F05512,notice,120.101.38.222,0,wan1,10.30.0.20,0,core,1,PING,accept,3,939,2140,1,Network.Service,51,notice,allow,India,DDoS,Ignored
2020-01-01,19:14:34,GCH-FW-B-01,FG100F38570,alert,196.105.12.202,48354,wan1,10.20.0.126,21,app,6,FTP,accept,12,991,1895,1,Network.Service,90,alert,allow,India,Malware,Ignored
2020-01-01,20:01:32,GCH-FW-C-01,FG100F05512,alert,47.4.110.93,28041,wan1,10.30.0.24,990,core,6,FTPS,accept,21,601,420,1,Network.Service,55,alert,allow,India,Intrusion,Logged
2020-01-01,20:13:23,GCH-FW-A-01,FG100F98456,alert,158.1.128.69,0,wan1,10.10.0.96,0,dmz,1,PING,deny,7,1160,0,1,unscanned,83,alert,block,India,DDoS,Blocked
