timestamp,device,message_id,result,user,client_ip,detail
2020-01-02 12:37:01,GCH-VPN-01,ASA-113005,REJECTED,ishita.talwar,177.52.188.67,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-02 17:30:26,GCH-VPN-01,ASA-113005,REJECTED,trisha.chander,216.202.242.15,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-02 18:16:42,GCH-VPN-01,ASA-113005,REJECTED,faiyaz.badal,147.183.223.117,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-02 23:59:19,GCH-VPN-01,ASA-722051,CONNECTED,purab.sharma,214.194.89.72,Group <SSL-Staff> User <purab.sharma> IP <214.194.89.72> IPv4 Address <10.99.2.147> assign
2020-01-03 01:59:27,GCH-VPN-01,ASA-113005,REJECTED,stuvan.sani,218.70.53.220,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-03 09:03:59,GCH-VPN-01,ASA-113005,REJECTED,biju.zacharia,176.205.231.182,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-03 13:20:11,GCH-VPN-01,ASA-113005,REJECTED,shlok.krishnan,142.190.182.51,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-05 18:54:49,GCH-VPN-01,ASA-113005,REJECTED,dhanuk.karpe,164.196.237.121,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-06 06:42:36,GCH-VPN-01,ASA-722051,CONNECTED,neelofar.badami,120.96.177.232,Group <SSL-Staff> User <neelofar.badami> IP <120.96.177.232> IPv4 Address <10.99.1.226> as
2020-01-06 14:40:53,GCH-VPN-01,ASA-722051,CONNECTED,tiya.swamy,116.36.45.184,Group <SSL-Staff> User <tiya.swamy> IP <116.36.45.184> IPv4 Address <10.99.2.168> assigned
2020-01-06 19:56:41,GCH-VPN-01,ASA-722051,CONNECTED,nehmat.rajagopalan,158.100.121.120,Group <SSL-Staff> User <nehmat.rajagopalan> IP <158.100.121.120> IPv4 Address <10.99.2.115
2020-01-08 13:59:17,GCH-VPN-01,ASA-722051,CONNECTED,parinaaz.randhawa,39.242.222.199,Group <SSL-Staff> User <parinaaz.randhawa> IP <39.242.222.199> IPv4 Address <10.99.3.232> 
2020-01-10 09:23:15,GCH-VPN-01,ASA-722051,CONNECTED,suhana.basu,109.160.0.79,Group <SSL-Staff> User <suhana.basu> IP <109.160.0.79> IPv4 Address <10.99.1.43> assigned 
2020-01-11 10:29:51,GCH-VPN-01,ASA-113005,REJECTED,rasha.saini,110.217.198.242,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-11 14:33:54,GCH-VPN-01,ASA-722051,CONNECTED,pranay.chad,185.124.159.64,Group <SSL-Staff> User <pranay.chad> IP <185.124.159.64> IPv4 Address <10.99.2.64> assigne
2020-01-12 19:32:14,GCH-VPN-01,ASA-722051,CONNECTED,yuvraj..dugar,221.221.100.234,Group <SSL-Staff> User <yuvraj..dugar> IP <221.221.100.234> IPv4 Address <10.99.1.127> ass
2020-01-12 19:33:29,GCH-VPN-01,ASA-113005,REJECTED,romil.sami,158.145.58.183,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-13 06:35:35,GCH-VPN-01,ASA-113005,REJECTED,renee.loyal,42.248.207.20,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-13 11:17:21,GCH-VPN-01,ASA-722051,CONNECTED,bhamini.tank,167.57.114.105,Group <SSL-Staff> User <bhamini.tank> IP <167.57.114.105> IPv4 Address <10.99.0.207> assig
