timestamp,event_id,computer,user,logon_type,src_ip,process,status,privileges,event_desc
2020-01-01 03:02:42,4688,GCH-AD-150,hiran.sawhney,10,10.20.0.201,C:\Windows\System32\cmd.exe,,,Process created
2020-01-02 09:10:24,4720,GCH-PRX-078,devansh.sathe,2,10.20.2.146,C:\Program Files\App\app.exe,,,User account created
2020-01-02 18:25:03,4732,GCH-AD-190,jayant.sagar,2,10.20.0.249,C:\Windows\System32\cmd.exe,,,Member added to group
2020-01-04 18:31:29,4732,GCH-AD-222,vanya.lata,3,10.20.3.120,C:\Program Files\App\app.exe,,,Member added to group
2020-01-04 20:34:57,4624,GCH-PRX-126,jayan.handa,2,10.20.2.158,C:\Windows\System32\cmd.exe,,,Logon success
2020-01-05 06:24:03,4625,GCH-PRX-090,Administrator,10,101.211.146.5,,0xC000006D,,Logon failure
2020-01-05 06:24:38,4624,GCH-PRX-090,indrajit.sangha,10,101.211.146.5,,,,Logon success
2020-01-05 17:37:31,4625,GCH-PTL-024,svc_backup,10,36.17.67.77,,0xC000006D,,Logon failure
2020-01-05 17:38:38,4624,GCH-PTL-024,shanaya.kapoor,10,36.17.67.77,,,,Logon success
2020-01-05 20:41:36,4625,GCH-PRX-006,Administrator,10,99.79.43.46,,0xC000006D,,Logon failure
2020-01-05 20:41:40,4624,GCH-PRX-006,nitya.tank,10,99.79.43.46,,,,Logon success
2020-01-05 20:42:14,4672,GCH-PRX-006,nitya.tank,,,,,SeDebugPrivilege SeImpersonatePrivilege,Special privileges assigned
2020-01-06 06:02:31,4625,GCH-AD-254,svc_backup,10,39.198.204.252,,0xC000006D,,Logon failure
2020-01-06 06:02:44,4624,GCH-AD-254,krish.krishnamurthy,10,39.198.204.252,,,,Logon success
2020-01-06 06:03:58,4672,GCH-AD-254,krish.krishnamurthy,,,,,SeDebugPrivilege SeImpersonatePrivilege,Special privileges assigned
2020-01-06 06:13:44,1102,GCH-AD-254,krish.krishnamurthy,,,,,,Audit log cleared
2020-01-06 18:21:48,4625,GCH-DB-390,kaira.chand,10,195.170.233.24,,0xC000006D,,Logon failure
2020-01-06 18:22:02,4624,GCH-DB-390,kaira.chand,10,195.170.233.24,,,,Logon success
2020-01-06 18:28:01,4672,GCH-DB-390,kaira.chand,,,,,SeDebugPrivilege SeImpersonatePrivilege,Special privileges assigned
2020-01-06 19:56:41,4624,GCH-AD-162,tanya.chawla,10,10.20.0.119,C:\Program Files\App\app.exe,,,Logon success
2020-01-07 16:47:45,4720,GCH-PTL-108,kabir.bhat,2,10.20.3.211,C:\Windows\System32\cmd.exe,,,User account created
2020-01-08 09:57:34,4625,GCH-DB-390,Administrator,10,37.228.106.85,,0xC000006D,,Logon failure
2020-01-08 09:58:56,4624,GCH-DB-390,shamik.chaudry,10,37.228.106.85,,,,Logon success
2020-01-10 07:21:10,4732,GCH-IOT-324,saanvi.dubey,3,10.20.0.128,C:\Windows\System32\cmd.exe,,,Member added to group
2020-01-11 03:12:35,4634,GCH-LIS-144,hunar.amble,10,10.20.2.131,C:\Windows\System32\powershell.exe,,,Logoff
2020-01-11 09:09:09,4625,GCH-AD-146,Administrator,10,14.115.195.9,,0xC000006D,,Logon failure
2020-01-11 09:10:13,4624,GCH-AD-146,saksham.sharaf,10,14.115.195.9,,,,Logon success
2020-01-11 09:14:28,4672,GCH-AD-146,saksham.sharaf,,,,,SeDebugPrivilege SeImpersonatePrivilege,Special privileges assigned
2020-01-11 11:25:25,4624,GCH-PRX-126,fateh.hora,3,10.20.3.73,C:\Windows\System32\cmd.exe,,,Logon success
2020-01-11 22:47:45,4624,GCH-PTL-120,divit.krishnan,2,10.20.1.33,C:\Windows\System32\powershell.exe,,,Logon success
2020-01-12 00:11:43,4625,GCH-DB-342,Administrator,10,119.132.103.69,,0xC000006D,,Logon failure
2020-01-12 00:11:43,4732,GCH-PRX-042,alisha.ravi,10,10.20.1.162,C:\Windows\System32\powershell.exe,,,Member added to group
2020-01-12 00:12:09,4624,GCH-DB-342,saanvi.desai,10,119.132.103.69,,,,Logon success
2020-01-12 07:39:16,4634,GCH-AD-138,mohanlal.sahni,3,10.20.1.86,C:\Windows\System32\cmd.exe,,,Logoff
2020-01-12 14:49:37,4732,GCH-AD-210,lakshit.ghosh,3,10.20.2.181,C:\Program Files\App\app.exe,,,Member added to group
2020-01-12 17:11:15,4625,GCH-PTL-072,svc_backup,10,84.16.254.197,,0xC000006D,,Logon failure
2020-01-12 17:12:41,4624,GCH-PTL-072,shlok.toor,10,84.16.254.197,,,,Logon success
2020-01-12 19:32:14,4720,GCH-PTL-036,faiyaz.ramanathan,10,10.20.3.173,C:\Program Files\App\app.exe,,,User account created
2020-01-13 07:02:44,4625,GCH-PTL-096,zain.chander,10,33.77.57.20,,0xC000006D,,Logon failure
2020-01-13 07:03:09,4624,GCH-PTL-096,zain.chander,10,33.77.57.20,,,,Logon success
2020-01-13 07:13:06,4672,GCH-PTL-096,zain.chander,,,,,SeDebugPrivilege SeImpersonatePrivilege,Special privileges assigned
2020-01-13 11:39:19,4688,GCH-PTL-024,jayan.maharaj,3,10.20.3.169,C:\Windows\System32\cmd.exe,,,Process created
2020-01-13 19:16:00,4688,GCH-AD-230,advik.sahni,3,10.20.2.170,C:\Program Files\App\app.exe,,,Process created
2020-01-13 19:52:55,4624,GCH-AD-210,khushi.edwin,2,10.20.3.40,C:\Windows\System32\powershell.exe,,,Logon success
