asset_id,hostname,ip,segment,role,os,criticality,exposed
AST-0001,GCH-WEB-001,10.10.0.2,Segment A,WEB,Linux,High,True
AST-0002,GCH-PRX-002,10.10.0.3,Segment A,PRX,Linux,High,False
AST-0003,GCH-DNS-003,10.10.0.4,Segment A,DNS,Linux,Medium,False
AST-0004,GCH-PTL-004,10.10.0.5,Segment A,PTL,Linux,Low,True
AST-0005,GCH-WEB-005,10.10.0.6,Segment A,WEB,Linux,High,False
AST-0006,GCH-PRX-006,10.10.0.7,Segment A,PRX,Windows,Medium,False
AST-0007,GCH-DNS-007,10.10.0.8,Segment A,DNS,Linux,Low,True
AST-0008,GCH-PTL-008,10.10.0.9,Segment A,PTL,Linux,Low,False
AST-0009,GCH-WEB-009,10.10.0.10,Segment A,WEB,Linux,Medium,False
AST-0010,GCH-PRX-010,10.10.0.11,Segment A,PRX,Linux,Critical,True
AST-0011,GCH-DNS-011,10.10.0.12,Segment A,DNS,Linux,Medium,True
AST-0012,GCH-PTL-012,10.10.0.13,Segment A,PTL,Windows,Low,True
AST-0013,GCH-WEB-013,10.10.0.14,Segment A,WEB,Linux,Medium,False
AST-0014,GCH-PRX-014,10.10.0.15,Segment A,PRX,Linux,Low,True
AST-0015,GCH-DNS-015,10.10.0.16,Segment A,DNS,Linux,Critical,True
AST-0016,GCH-PTL-016,10.10.0.17,Segment A,PTL,Linux,Low,True
AST-0017,GCH-WEB-017,10.10.0.18,Segment A,WEB,Linux,Medium,False
AST-0018,GCH-PRX-018,10.10.0.19,Segment A,PRX,Windows,Medium,False
AST-0019,GCH-DNS-019,10.10.0.20,Segment A,DNS,Linux,High,False
AST-0020,GCH-PTL-020,10.10.0.21,Segment A,PTL,Linux,Critical,False
AST-0021,GCH-WEB-021,10.10.0.22,Segment A,WEB,Linux,Critical,False
AST-0022,GCH-PRX-022,10.10.0.23,Segment A,PRX,Linux,Medium,False
AST-0023,GCH-DNS-023,10.10.0.24,Segment A,DNS,Linux,Medium,False
AST-0024,GCH-PTL-024,10.10.0.25,Segment A,PTL,Windows,High,False
AST-0025,GCH-WEB-025,10.10.0.26,Segment A,WEB,Linux,Critical,False
AST-0026,GCH-PRX-026,10.10.0.27,Segment A,PRX,Linux,Medium,False
AST-0027,GCH-DNS-027,10.10.0.28,Segment A,DNS,Linux,Critical,True
AST-0028,GCH-PTL-028,10.10.0.29,Segment A,PTL,Linux,Medium,False
AST-0029,GCH-WEB-029,10.10.0.30,Segment A,WEB,Linux,High,True
AST-0030,GCH-PRX-030,10.10.0.31,Segment A,PRX,Windows,Medium,True
AST-0031,GCH-DNS-031,10.10.0.32,Segment A,DNS,Linux,Medium,False
AST-0032,GCH-PTL-032,10.10.0.33,Segment A,PTL,Linux,Critical,True
AST-0033,GCH-WEB-033,10.10.0.34,Segment A,WEB,Linux,Medium,True
AST-0034,GCH-PRX-034,10.10.0.35,Segment A,PRX,Linux,Medium,False
AST-0035,GCH-DNS-035,10.10.0.36,Segment A,DNS,Linux,Low,False
AST-0036,GCH-PTL-036,10.10.0.37,Segment A,PTL,Windows,Low,True
AST-0037,GCH-WEB-037,10.10.0.38,Segment A,WEB,Linux,High,False
AST-0038,GCH-PRX-038,10.10.0.39,Segment A,PRX,Linux,Critical,False
AST-0039,GCH-DNS-039,10.10.0.40,Segment A,DNS,Linux,Critical,False
AST-0040,GCH-PTL-040,10.10.0.41,Segment A,PTL,Linux,Medium,True
AST-0041,GCH-WEB-041,10.10.0.42,Segment A,WEB,Linux,Critical,True
AST-0042,GCH-PRX-042,10.10.0.43,Segment A,PRX,Windows,Critical,True
AST-0043,GCH-DNS-043,10.10.0.44,Segment A,DNS,Linux,High,True
AST-0044,GCH-PTL-044,10.10.0.45,Segment A,PTL,Linux,Critical,False
AST-0045,GCH-WEB-045,10.10.0.46,Segment A,WEB,Linux,Critical,True
AST-0046,GCH-PRX-046,10.10.0.47,Segment A,PRX,Linux,Medium,False
AST-0047,GCH-DNS-047,10.10.0.48,Segment A,DNS,Linux,Critical,False
AST-0048,GCH-PTL-048,10.10.0.49,Segment A,PTL,Windows,Critical,False
AST-0049,GCH-WEB-049,10.10.0.50,Segment A,WEB,Linux,Low,False
AST-0050,GCH-PRX-050,10.10.0.51,Segment A,PRX,Linux,Medium,True
AST-0051,GCH-DNS-051,10.10.0.52,Segment A,DNS,Linux,Medium,False
AST-0052,GCH-PTL-052,10.10.0.53,Segment A,PTL,Linux,High,True
AST-0053,GCH-WEB-053,10.10.0.54,Segment A,WEB,Linux,High,False
AST-0054,GCH-PRX-054,10.10.0.55,Segment A,PRX,Windows,Low,False
AST-0055,GCH-DNS-055,10.10.0.56,Segment A,DNS,Linux,Low,False
AST-0056,GCH-PTL-056,10.10.0.57,Segment A,PTL,Linux,Low,True
AST-0057,GCH-WEB-057,10.10.0.58,Segment A,WEB,Linux,Medium,False
AST-0058,GCH-PRX-058,10.10.0.59,Segment A,PRX,Linux,Low,False
AST-0059,GCH-DNS-059,10.10.0.60,Segment A,DNS,Linux,Medium,True
AST-0060,GCH-PTL-060,10.10.0.61,Segment A,PTL,Windows,Low,False
AST-0061,GCH-WEB-061,10.10.0.62,Segment A,WEB,Linux,Critical,True
AST-0062,GCH-PRX-062,10.10.0.63,Segment A,PRX,Linux,Critical,True
AST-0063,GCH-DNS-063,10.10.0.64,Segment A,DNS,Linux,Low,False
AST-0064,GCH-PTL-064,10.10.0.65,Segment A,PTL,Linux,Low,False
AST-0065,GCH-WEB-065,10.10.0.66,Segment A,WEB,Linux,Low,False
AST-0066,GCH-PRX-066,10.10.0.67,Segment A,PRX,Windows,Medium,False
AST-0067,GCH-DNS-067,10.10.0.68,Segment A,DNS,Linux,Critical,False
AST-0068,GCH-PTL-068,10.10.0.69,Segment A,PTL,Linux,High,True
AST-0069,GCH-WEB-069,10.10.0.70,Segment A,WEB,Linux,Critical,False
AST-0070,GCH-PRX-070,10.10.0.71,Segment A,PRX,Linux,Low,True
AST-0071,GCH-DNS-071,10.10.0.72,Segment A,DNS,Linux,Medium,True
AST-0072,GCH-PTL-072,10.10.0.73,Segment A,PTL,Windows,High,True
AST-0073,GCH-WEB-073,10.10.0.74,Segment A,WEB,Linux,Low,False
AST-0074,GCH-PRX-074,10.10.0.75,Segment A,PRX,Linux,Low,False
AST-0075,GCH-DNS-075,10.10.0.76,Segment A,DNS,Linux,Critical,False
AST-0076,GCH-PTL-076,10.10.0.77,Segment A,PTL,Linux,Critical,False
AST-0077,GCH-WEB-077,10.10.0.78,Segment A,WEB,Linux,Medium,False
AST-0078,GCH-PRX-078,10.10.0.79,Segment A,PRX,Windows,Low,False
AST-0079,GCH-DNS-079,10.10.0.80,Segment A,DNS,Linux,Medium,True
AST-0080,GCH-PTL-080,10.10.0.81,Segment A,PTL,Linux,Low,True
AST-0081,GCH-WEB-081,10.10.0.82,Segment A,WEB,Linux,Low,False
AST-0082,GCH-PRX-082,10.10.0.83,Segment A,PRX,Linux,Medium,False
AST-0083,GCH-DNS-083,10.10.0.84,Segment A,DNS,Linux,Low,True
AST-0084,GCH-PTL-084,10.10.0.85,Segment A,PTL,Windows,Low,True
AST-0085,GCH-WEB-085,10.10.0.86,Segment A,WEB,Linux,Low,True
AST-0086,GCH-PRX-086,10.10.0.87,Segment A,PRX,Linux,Critical,False
AST-0087,GCH-DNS-087,10.10.0.88,Segment A,DNS,Linux,Low,True
AST-0088,GCH-PTL-088,10.10.0.89,Segment A,PTL,Linux,Medium,False
AST-0089,GCH-WEB-089,10.10.0.90,Segment A,WEB,Linux,Medium,False
AST-0090,GCH-PRX-090,10.10.0.91,Segment A,PRX,Windows,High,True
AST-0091,GCH-DNS-091,10.10.0.92,Segment A,DNS,Linux,Critical,False
AST-0092,GCH-PTL-092,10.10.0.93,Segment A,PTL,Linux,High,False
AST-0093,GCH-WEB-093,10.10.0.94,Segment A,WEB,Linux,Medium,False
AST-0094,GCH-PRX-094,10.10.0.95,Segment A,PRX,Linux,Medium,False
AST-0095,GCH-DNS-095,10.10.0.96,Segment A,DNS,Linux,High,True
AST-0096,GCH-PTL-096,10.10.0.97,Segment A,PTL,Windows,Medium,True
AST-0097,GCH-WEB-097,10.10.0.98,Segment A,WEB,Linux,Low,False
AST-0098,GCH-PRX-098,10.10.0.99,Segment A,PRX,Linux,Low,False
AST-0099,GCH-DNS-099,10.10.0.100,Segment A,DNS,Linux,Medium,False
AST-0100,GCH-PTL-100,10.10.0.101,Segment A,PTL,Linux,Medium,False
AST-0101,GCH-WEB-101,10.10.0.102,Segment A,WEB,Linux,Critical,True
AST-0102,GCH-PRX-102,10.10.0.103,Segment A,PRX,Windows,Critical,False
AST-0103,GCH-DNS-103,10.10.0.104,Segment A,DNS,Linux,High,False
AST-0104,GCH-PTL-104,10.10.0.105,Segment A,PTL,Linux,Low,False
AST-0105,GCH-WEB-105,10.10.0.106,Segment A,WEB,Linux,Critical,True
AST-0106,GCH-PRX-106,10.10.0.107,Segment A,PRX,Linux,Medium,True
AST-0107,GCH-DNS-107,10.10.0.108,Segment A,DNS,Linux,Critical,False
AST-0108,GCH-PTL-108,10.10.0.109,Segment A,PTL,Windows,Critical,False
AST-0109,GCH-WEB-109,10.10.0.110,Segment A,WEB,Linux,High,False
AST-0110,GCH-PRX-110,10.10.0.111,Segment A,PRX,Linux,High,False
AST-0111,GCH-DNS-111,10.10.0.112,Segment A,DNS,Linux,High,False
AST-0112,GCH-PTL-112,10.10.0.113,Segment A,PTL,Linux,Critical,False
AST-0113,GCH-WEB-113,10.10.0.114,Segment A,WEB,Linux,Critical,True
AST-0114,GCH-PRX-114,10.10.0.115,Segment A,PRX,Windows,Critical,True
AST-0115,GCH-DNS-115,10.10.0.116,Segment A,DNS,Linux,Low,True
AST-0116,GCH-PTL-116,10.10.0.117,Segment A,PTL,Linux,Medium,True
AST-0117,GCH-WEB-117,10.10.0.118,Segment A,WEB,Linux,Critical,True
AST-0118,GCH-PRX-118,10.10.0.119,Segment A,PRX,Linux,High,True
AST-0119,GCH-DNS-119,10.10.0.120,Segment A,DNS,Linux,Low,False
AST-0120,GCH-PTL-120,10.10.0.121,Segment A,PTL,Windows,Critical,False
AST-0121,GCH-WEB-121,10.10.0.122,Segment A,WEB,Linux,Critical,False
AST-0122,GCH-PRX-122,10.10.0.123,Segment A,PRX,Linux,High,False
AST-0123,GCH-DNS-123,10.10.0.124,Segment A,DNS,Linux,Low,False
AST-0124,GCH-PTL-124,10.10.0.125,Segment A,PTL,Linux,Critical,False
AST-0125,GCH-WEB-125,10.10.0.126,Segment A,WEB,Linux,Critical,True
AST-0126,GCH-PRX-126,10.10.0.127,Segment A,PRX,Windows,High,False
AST-0127,GCH-DNS-127,10.10.0.128,Segment A,DNS,Linux,High,False
AST-0128,GCH-PTL-128,10.10.0.129,Segment A,PTL,Linux,Critical,False
AST-0129,GCH-WEB-129,10.10.0.130,Segment A,WEB,Linux,Medium,False
AST-0130,GCH-PRX-130,10.10.0.131,Segment A,PRX,Linux,Medium,False
AST-0131,GCH-DNS-131,10.10.0.132,Segment A,DNS,Linux,Critical,True
AST-0132,GCH-PTL-132,10.10.0.133,Segment A,PTL,Windows,Low,True
AST-0133,GCH-WEB-133,10.10.0.134,Segment A,WEB,Linux,Medium,True
AST-0134,GCH-PRX-134,10.10.0.135,Segment A,PRX,Linux,Critical,False
AST-0135,GCH-HIS-135,10.20.0.2,Segment B,HIS,Linux,Critical,False
AST-0136,GCH-LIS-136,10.20.0.3,Segment B,LIS,Linux,Critical,False
AST-0137,GCH-PACS-137,10.20.0.4,Segment B,PACS,Linux,High,False
AST-0138,GCH-AD-138,10.20.0.5,Segment B,AD,Windows,Medium,False
AST-0139,GCH-HIS-139,10.20.0.6,Segment B,HIS,Linux,Medium,False
AST-0140,GCH-LIS-140,10.20.0.7,Segment B,LIS,Linux,Medium,True
AST-0141,GCH-PACS-141,10.20.0.8,Segment B,PACS,Linux,Critical,True
AST-0142,GCH-AD-142,10.20.0.9,Segment B,AD,Windows,Medium,False
AST-0143,GCH-HIS-143,10.20.0.10,Segment B,HIS,Linux,Critical,True
AST-0144,GCH-LIS-144,10.20.0.11,Segment B,LIS,Windows,Medium,False
AST-0145,GCH-PACS-145,10.20.0.12,Segment B,PACS,Linux,High,False
AST-0146,GCH-AD-146,10.20.0.13,Segment B,AD,Windows,Low,False
AST-0147,GCH-HIS-147,10.20.0.14,Segment B,HIS,Linux,Low,False
AST-0148,GCH-LIS-148,10.20.0.15,Segment B,LIS,Linux,Medium,False
AST-0149,GCH-PACS-149,10.20.0.16,Segment B,PACS,Linux,Critical,False
AST-0150,GCH-AD-150,10.20.0.17,Segment B,AD,Windows,Critical,False
AST-0151,GCH-HIS-151,10.20.0.18,Segment B,HIS,Linux,High,True
AST-0152,GCH-LIS-152,10.20.0.19,Segment B,LIS,Linux,High,False
AST-0153,GCH-PACS-153,10.20.0.20,Segment B,PACS,Linux,High,False
AST-0154,GCH-AD-154,10.20.0.21,Segment B,AD,Windows,Critical,True
AST-0155,GCH-HIS-155,10.20.0.22,Segment B,HIS,Linux,High,True
AST-0156,GCH-LIS-156,10.20.0.23,Segment B,LIS,Windows,Low,False
AST-0157,GCH-PACS-157,10.20.0.24,Segment B,PACS,Linux,Critical,False
AST-0158,GCH-AD-158,10.20.0.25,Segment B,AD,Windows,High,True
AST-0159,GCH-HIS-159,10.20.0.26,Segment B,HIS,Linux,Low,True
AST-0160,GCH-LIS-160,10.20.0.27,Segment B,LIS,Linux,Low,False
AST-0161,GCH-PACS-161,10.20.0.28,Segment B,PACS,Linux,High,False
AST-0162,GCH-AD-162,10.20.0.29,Segment B,AD,Windows,Medium,False
AST-0163,GCH-HIS-163,10.20.0.30,Segment B,HIS,Linux,High,False
AST-0164,GCH-LIS-164,10.20.0.31,Segment B,LIS,Linux,Critical,True
AST-0165,GCH-PACS-165,10.20.0.32,Segment B,PACS,Linux,Critical,False
AST-0166,GCH-AD-166,10.20.0.33,Segment B,AD,Windows,Critical,True
AST-0167,GCH-HIS-167,10.20.0.34,Segment B,HIS,Linux,Critical,False
AST-0168,GCH-LIS-168,10.20.0.35,Segment B,LIS,Windows,High,False
AST-0169,GCH-PACS-169,10.20.0.36,Segment B,PACS,Linux,High,False
AST-0170,GCH-AD-170,10.20.0.37,Segment B,AD,Windows,High,False
AST-0171,GCH-HIS-171,10.20.0.38,Segment B,HIS,Linux,Medium,True
AST-0172,GCH-LIS-172,10.20.0.39,Segment B,LIS,Linux,Medium,True
AST-0173,GCH-PACS-173,10.20.0.40,Segment B,PACS,Linux,Critical,True
AST-0174,GCH-AD-174,10.20.0.41,Segment B,AD,Windows,Medium,True
AST-0175,GCH-HIS-175,10.20.0.42,Segment B,HIS,Linux,Critical,True
AST-0176,GCH-LIS-176,10.20.0.43,Segment B,LIS,Linux,Low,False
AST-0177,GCH-PACS-177,10.20.0.44,Segment B,PACS,Linux,High,True
AST-0178,GCH-AD-178,10.20.0.45,Segment B,AD,Windows,Low,False
AST-0179,GCH-HIS-179,10.20.0.46,Segment B,HIS,Linux,Medium,False
AST-0180,GCH-LIS-180,10.20.0.47,Segment B,LIS,Windows,Medium,True
AST-0181,GCH-PACS-181,10.20.0.48,Segment B,PACS,Linux,Critical,False
AST-0182,GCH-AD-182,10.20.0.49,Segment B,AD,Windows,Critical,True
AST-0183,GCH-HIS-183,10.20.0.50,Segment B,HIS,Linux,Medium,False
AST-0184,GCH-LIS-184,10.20.0.51,Segment B,LIS,Linux,High,False
AST-0185,GCH-PACS-185,10.20.0.52,Segment B,PACS,Linux,High,True
AST-0186,GCH-AD-186,10.20.0.53,Segment B,AD,Windows,Critical,True
AST-0187,GCH-HIS-187,10.20.0.54,Segment B,HIS,Linux,Medium,True
AST-0188,GCH-LIS-188,10.20.0.55,Segment B,LIS,Linux,Critical,True
AST-0189,GCH-PACS-189,10.20.0.56,Segment B,PACS,Linux,Critical,False
AST-0190,GCH-AD-190,10.20.0.57,Segment B,AD,Windows,High,True
AST-0191,GCH-HIS-191,10.20.0.58,Segment B,HIS,Linux,Low,False
AST-0192,GCH-LIS-192,10.20.0.59,Segment B,LIS,Windows,Medium,True
AST-0193,GCH-PACS-193,10.20.0.60,Segment B,PACS,Linux,Critical,False
AST-0194,GCH-AD-194,10.20.0.61,Segment B,AD,Windows,Low,True
AST-0195,GCH-HIS-195,10.20.0.62,Segment B,HIS,Linux,Critical,True
AST-0196,GCH-LIS-196,10.20.0.63,Segment B,LIS,Linux,High,False
AST-0197,GCH-PACS-197,10.20.0.64,Segment B,PACS,Linux,Critical,False
AST-0198,GCH-AD-198,10.20.0.65,Segment B,AD,Windows,High,False
AST-0199,GCH-HIS-199,10.20.0.66,Segment B,HIS,Linux,Low,False
AST-0200,GCH-LIS-200,10.20.0.67,Segment B,LIS,Linux,Critical,False
AST-0201,GCH-PACS-201,10.20.0.68,Segment B,PACS,Linux,High,True
AST-0202,GCH-AD-202,10.20.0.69,Segment B,AD,Windows,High,True
AST-0203,GCH-HIS-203,10.20.0.70,Segment B,HIS,Linux,High,True
AST-0204,GCH-LIS-204,10.20.0.71,Segment B,LIS,Windows,Low,True
AST-0205,GCH-PACS-205,10.20.0.72,Segment B,PACS,Linux,High,False
AST-0206,GCH-AD-206,10.20.0.73,Segment B,AD,Windows,Medium,True
AST-0207,GCH-HIS-207,10.20.0.74,Segment B,HIS,Linux,Low,True
AST-0208,GCH-LIS-208,10.20.0.75,Segment B,LIS,Linux,Medium,False
AST-0209,GCH-PACS-209,10.20.0.76,Segment B,PACS,Linux,High,False
