asset_id,hostname,ip,segment,role,os,criticality,exposed,high_sev_alerts,first_seen,last_seen,permitted
AST-0001,GCH-WEB-001,10.10.0.2,Segment A,WEB,Linux,High,True,56,2020-01-22T15:11:23.014031+0000,2023-08-31T12:33:26.923479+0000,35
AST-0004,GCH-PTL-004,10.10.0.5,Segment A,PTL,Linux,Low,True,35,2020-02-03T11:16:52.419964+0000,2023-09-21T10:04:12.792963+0000,27
AST-0007,GCH-DNS-007,10.10.0.8,Segment A,DNS,Linux,Low,True,40,2020-04-06T13:15:42.088745+0000,2023-10-05T08:45:22.358920+0000,29
AST-0010,GCH-PRX-010,10.10.0.11,Segment A,PRX,Linux,Critical,True,48,2020-02-09T15:35:17.559249+0000,2023-09-20T03:55:50.059066+0000,26
AST-0011,GCH-DNS-011,10.10.0.12,Segment A,DNS,Linux,Medium,True,58,2020-01-06T21:33:34.668514+0000,2023-09-05T02:47:13.667794+0000,42
AST-0012,GCH-PTL-012,10.10.0.13,Segment A,PTL,Windows,Low,True,16,2020-07-04T18:04:05.897106+0000,2023-09-25T17:06:44.576222+0000,11
AST-0014,GCH-PRX-014,10.10.0.15,Segment A,PRX,Linux,Low,True,49,2020-01-03T16:21:05.306181+0000,2023-08-13T00:28:39.530805+0000,34
AST-0015,GCH-DNS-015,10.10.0.16,Segment A,DNS,Linux,Critical,True,41,2020-02-06T23:21:39.913334+0000,2023-09-30T01:06:40.106184+0000,29
AST-0016,GCH-PTL-016,10.10.0.17,Segment A,PTL,Linux,Low,True,56,2020-02-09T02:12:51.999202+0000,2023-08-31T12:25:30.399927+0000,40
AST-0027,GCH-DNS-027,10.10.0.28,Segment A,DNS,Linux,Critical,True,48,2020-01-05T09:12:14.835726+0000,2023-10-10T12:41:42.063424+0000,28
AST-0029,GCH-WEB-029,10.10.0.30,Segment A,WEB,Linux,High,True,42,2020-01-04T10:39:32.455399+0000,2023-10-06T03:59:08.896638+0000,29
AST-0030,GCH-PRX-030,10.10.0.31,Segment A,PRX,Windows,Medium,True,17,2020-01-16T18:04:33.171134+0000,2023-08-27T13:45:25.246030+0000,12
AST-0032,GCH-PTL-032,10.10.0.33,Segment A,PTL,Linux,Critical,True,53,2020-03-09T14:08:28.854459+0000,2023-09-09T16:53:08.401658+0000,31
AST-0033,GCH-WEB-033,10.10.0.34,Segment A,WEB,Linux,Medium,True,50,2020-02-15T05:06:16.864434+0000,2023-09-28T12:35:28.678546+0000,30
AST-0036,GCH-PTL-036,10.10.0.37,Segment A,PTL,Windows,Low,True,23,2020-02-22T02:35:25.208014+0000,2023-09-28T03:39:32.109623+0000,18
AST-0040,GCH-PTL-040,10.10.0.41,Segment A,PTL,Linux,Medium,True,34,2020-01-23T14:31:14.934718+0000,2023-10-07T15:23:57.855822+0000,25
AST-0041,GCH-WEB-041,10.10.0.42,Segment A,WEB,Linux,Critical,True,42,2020-02-21T03:13:59.658372+0000,2023-08-12T18:30:31.596462+0000,22
AST-0042,GCH-PRX-042,10.10.0.43,Segment A,PRX,Windows,Critical,True,15,2020-02-14T13:00:40.151095+0000,2023-07-01T17:25:29.355947+0000,7
AST-0043,GCH-DNS-043,10.10.0.44,Segment A,DNS,Linux,High,True,65,2020-01-27T14:25:27.156642+0000,2023-07-29T02:20:05.781306+0000,42
AST-0045,GCH-WEB-045,10.10.0.46,Segment A,WEB,Linux,Critical,True,54,2020-01-12T00:11:43.502884+0000,2023-08-10T09:47:25.161070+0000,38
AST-0050,GCH-PRX-050,10.10.0.51,Segment A,PRX,Linux,Medium,True,48,2020-02-03T16:50:32.522818+0000,2023-10-04T02:08:48.090505+0000,32
AST-0052,GCH-PTL-052,10.10.0.53,Segment A,PTL,Linux,High,True,55,2020-01-24T05:49:25.379521+0000,2023-08-02T16:03:23.211477+0000,39
AST-0056,GCH-PTL-056,10.10.0.57,Segment A,PTL,Linux,Low,True,56,2020-03-04T01:00:23.522078+0000,2023-10-08T13:16:56.623310+0000,38
AST-0059,GCH-DNS-059,10.10.0.60,Segment A,DNS,Linux,Medium,True,58,2020-04-01T07:52:56.020436+0000,2023-08-22T13:03:57.832998+0000,36
AST-0061,GCH-WEB-061,10.10.0.62,Segment A,WEB,Linux,Critical,True,55,2020-02-02T20:30:23.742556+0000,2023-10-01T11:26:33.226518+0000,35
AST-0062,GCH-PRX-062,10.10.0.63,Segment A,PRX,Linux,Critical,True,38,2020-01-17T20:22:26.010190+0000,2023-10-05T13:55:02.750547+0000,17
AST-0068,GCH-PTL-068,10.10.0.69,Segment A,PTL,Linux,High,True,57,2020-03-15T13:42:31.601173+0000,2023-10-08T19:02:27.303889+0000,28
AST-0070,GCH-PRX-070,10.10.0.71,Segment A,PRX,Linux,Low,True,50,2020-02-11T06:13:33.527147+0000,2023-07-18T08:33:50.597999+0000,30
AST-0071,GCH-DNS-071,10.10.0.72,Segment A,DNS,Linux,Medium,True,43,2020-06-15T04:18:30.792491+0000,2023-07-06T03:43:13.027442+0000,28
AST-0072,GCH-PTL-072,10.10.0.73,Segment A,PTL,Windows,High,True,16,2020-03-02T18:07:08.533236+0000,2023-07-15T22:55:51.664869+0000,12
AST-0079,GCH-DNS-079,10.10.0.80,Segment A,DNS,Linux,Medium,True,42,2020-03-06T10:23:42.035504+0000,2023-09-21T04:57:32.443570+0000,27
AST-0080,GCH-PTL-080,10.10.0.81,Segment A,PTL,Linux,Low,True,54,2020-01-01T13:01:19.969652+0000,2023-09-23T06:18:03.245303+0000,33
AST-0083,GCH-DNS-083,10.10.0.84,Segment A,DNS,Linux,Low,True,52,2020-01-13T07:02:44.746574+0000,2023-08-20T18:18:28.217613+0000,35
AST-0084,GCH-PTL-084,10.10.0.85,Segment A,PTL,Windows,Low,True,15,2020-02-24T15:11:41.199028+0000,2023-06-15T22:35:36.240325+0000,12
AST-0085,GCH-WEB-085,10.10.0.86,Segment A,WEB,Linux,Low,True,48,2020-01-11T04:26:05.797817+0000,2023-07-13T21:42:19.542855+0000,32
AST-0087,GCH-DNS-087,10.10.0.88,Segment A,DNS,Linux,Low,True,62,2020-01-17T16:49:35.098027+0000,2023-09-10T09:24:28.894190+0000,43
AST-0090,GCH-PRX-090,10.10.0.91,Segment A,PRX,Windows,High,True,18,2020-05-31T10:46:05.527078+0000,2023-07-07T17:11:09.074583+0000,13
AST-0095,GCH-DNS-095,10.10.0.96,Segment A,DNS,Linux,High,True,46,2020-01-01T20:13:23.805594+0000,2023-09-16T01:16:01.615512+0000,28
AST-0096,GCH-PTL-096,10.10.0.97,Segment A,PTL,Windows,Medium,True,22,2020-03-26T06:16:30.829668+0000,2023-09-17T12:44:03.775048+0000,20
AST-0101,GCH-WEB-101,10.10.0.102,Segment A,WEB,Linux,Critical,True,55,2020-01-23T15:40:30.821998+0000,2023-07-13T09:35:17.578647+0000,33
AST-0105,GCH-WEB-105,10.10.0.106,Segment A,WEB,Linux,Critical,True,49,2020-01-27T21:02:58.812548+0000,2023-09-20T13:50:44.774436+0000,34
AST-0106,GCH-PRX-106,10.10.0.107,Segment A,PRX,Linux,Medium,True,51,2020-01-12T21:02:10.249999+0000,2023-06-24T01:14:03.032636+0000,31
AST-0113,GCH-WEB-113,10.10.0.114,Segment A,WEB,Linux,Critical,True,44,2020-01-02T10:18:29.057416+0000,2023-09-13T11:11:53.248059+0000,30
AST-0114,GCH-PRX-114,10.10.0.115,Segment A,PRX,Windows,Critical,True,25,2020-04-02T11:19:31.770961+0000,2023-08-25T23:32:10.234953+0000,18
AST-0115,GCH-DNS-115,10.10.0.116,Segment A,DNS,Linux,Low,True,44,2020-02-25T06:15:42.536247+0000,2023-08-27T09:33:30.164393+0000,28
AST-0116,GCH-PTL-116,10.10.0.117,Segment A,PTL,Linux,Medium,True,54,2020-01-15T06:59:18.897283+0000,2023-10-04T17:17:30.117768+0000,35
AST-0117,GCH-WEB-117,10.10.0.118,Segment A,WEB,Linux,Critical,True,50,2020-02-16T03:40:54.958467+0000,2023-09-15T14:16:55.851474+0000,37
AST-0118,GCH-PRX-118,10.10.0.119,Segment A,PRX,Linux,High,True,48,2020-01-20T13:20:45.347624+0000,2023-09-08T14:07:37.106846+0000,32
