timestamp,host,src_ip,src_port,dest_ip,dest_port,proto,app_proto,action,signature_id,signature,category,severity,bytes_toserver,segment,anomaly_score
2020-01-01T00:43:27.942216+0000,GCH-LAB-291,159.63.40.232,30053.0,10.30.0.24,53.0,UDP,dns,blocked,2100302,ET SCAN SSH/RDP Brute Force Attempt,Attempted Administrator Privilege Gain,1,1428,Segment C,40.63
2020-01-01T03:02:42.449454+0000,GCH-IOT-396,152.81.184.63,,10.30.0.129,,ICMP,dns,allowed,2100201,ET MALWARE Generic C2 Beacon Activity,A Network Trojan was detected,1,429,Segment C,41.29
2020-01-01T03:11:48.030241+0000,GCH-LIS-256,161.219.235.160,35780.0,10.20.0.123,8080.0,UDP,,allowed,2100102,ET DOS UDP/ICMP Amplification Flood,Denial of Service,1,850,Segment B,46.7
2020-01-01T04:19:53.265126+0000,GCH-PTL-092,157.106.20.60,,10.10.0.93,,ICMP,,allowed,2100301,ET EXPLOIT Apache Log4j RCE Attempt (CVE-2021-44228),Attempted Administrator Privilege Gain,3,1051,Segment A,25.86
2020-01-01T05:17:19.494283+0000,GCH-PTL-044,98.253.138.239,30895.0,10.10.0.45,21.0,TCP,,allowed,2100302,ET SCAN SSH/RDP Brute Force Attempt,Attempted Administrator Privilege Gain,2,123,Segment A,66.7
2020-01-01T05:21:39.693825+0000,GCH-WEB-017,187.193.14.136,38883.0,10.10.0.18,2121.0,UDP,,blocked,2100102,ET DOS UDP/ICMP Amplification Flood,Denial of Service,2,68,Segment A,60.74
2020-01-01T06:37:14.384126+0000,GCH-AD-210,43.86.163.245,,10.20.0.77,,ICMP,,allowed,2100302,ET SCAN SSH/RDP Brute Force Attempt,Attempted Administrator Privilege Gain,2,1289,Segment B,45.28
2020-01-01T07:59:41.202795+0000,GCH-LAB-307,47.120.123.121,14060.0,10.30.0.40,53.0,TCP,dns,blocked,2100201,ET MALWARE Generic C2 Beacon Activity,A Network Trojan was detected,2,409,Segment C,57.7
2020-01-01T08:05:12.972689+0000,GCH-HIS-199,115.177.22.220,15161.0,10.20.0.66,21.0,TCP,,blocked,2100101,ET DOS Possible SYN Flood Inbound,Denial of Service,2,912,Segment B,36.02
2020-01-01T08:37:40.913683+0000,GCH-HIS-219,46.182.142.60,40079.0,10.20.0.86,2121.0,TCP,,allowed,2100101,ET DOS Possible SYN Flood Inbound,Denial of Service,2,1206,Segment B,22.58
