ts,uid,src_ip,src_port,resolver_ip,resolver_port,proto,trans_id,query,qtype,rcode,answers,rejected
2020-01-01 00:43:27,C3tidcmksdjt.info,159.63.40.232,30053,10.30.0.24,53,udp,11459,netbanking.godavaricare.example,A,REFUSED,-,T
2020-01-01 01:14:07,C36ei5zzf0j2xvel.,203.224.244.176,9478,10.30.0.121,53,udp,53429,nzl81cr51ejc0i7x3.xyz,TXT,REFUSED,-,T
2020-01-01 03:02:42,Ckz34780yq9op1zom,152.81.184.63,37238,10.30.0.129,53,udp,40216,scbw0k2g1i5.top,A,NXDOMAIN,177.68.121.143,F
2020-01-01 04:30:19,C5sorssfumvvhfs2o,44.217.33.10,1508,10.30.0.73,53,tcp,63991,update.microsoft.com,AAAA,REFUSED,-,T
2020-01-01 07:59:41,Cedf1z0upqh04l9y.,47.120.123.121,14060,10.30.0.40,53,tcp,25170,bwx7nh3qfzpj.xyz,MX,REFUSED,-,T
2020-01-01 16:38:59,Candpl8j5v8pcrlhy,4.214.78.160,37772,10.30.0.6,53,udp,50251,ns1.godavaricare.example,A,NOERROR,95.165.180.52,F
2020-01-01 18:20:06,Cvc3ytmwdd20tk69b,120.101.38.222,38572,10.30.0.20,53,udp,61550,ANY.mail.godavaricare.example,ANY,NOERROR,50.113.15.159,F
2020-01-01 22:46:44,Cd8gk1bsl0ipnmhi.,115.197.71.90,34822,10.10.0.114,53,udp,8276,xd6l55bdzg5dgzymbt.xyz,A,REFUSED,-,T
2020-01-01 23:08:08,Cfh96j7wc408.clic,85.149.183.151,15272,10.20.0.52,53,udp,29306,ANY.mail.godavaricare.example,ANY,NOERROR,53.252.78.52,F
2020-01-02 13:47:58,Czz9gmzt361mondes,115.97.20.95,6830,10.10.0.119,53,udp,44593,6jt3ino9cv6ly.click,AAAA,NOERROR,48.197.253.59,F
2020-01-02 17:30:26,Cdjkksgy3opmwy9cw,216.202.242.15,62380,10.10.0.3,53,udp,41703,ns1.godavaricare.example,A,NOERROR,150.228.148.175,F
2020-01-02 23:59:19,Ci0ujeb7w7tffi.cl,214.194.89.72,14045,10.10.0.60,53,udp,40698,kymkxhyl6v68.top,MX,NOERROR,98.195.226.201,F
2020-01-03 01:20:46,Ciujvfjnaf9ei9hut,110.88.185.72,58765,10.20.0.96,53,tcp,26535,ANY.mail.godavaricare.example,ANY,NOERROR,161.77.185.228,F
2020-01-03 07:11:03,Cswtnrnd4iy2.top,117.243.12.223,15672,10.10.0.130,53,udp,10655,ANY.godavaricare.example,ANY,REFUSED,-,T
2020-01-03 11:37:01,C3bc2h6x19vxfgf5u,157.73.79.253,10325,10.10.0.72,53,udp,17081,kq36ep6f687dyavt6.xyz,MX,NOERROR,179.26.155.38,F
2020-01-03 13:20:11,Ctpmc1ypg7hijkmh2,142.190.182.51,50241,10.20.0.87,53,tcp,18171,google.com,TXT,REFUSED,-,T
2020-01-03 16:35:43,Cv2acm8e9zg0.info,192.60.60.85,41821,10.10.0.60,53,udp,48207,ewfp4nvyngdj1.click,A,NOERROR,124.168.118.73,F
2020-01-03 19:24:32,Cae5zrgigc71y07ka,17.122.116.211,57024,10.20.0.103,53,tcp,48811,ns1.godavaricare.example,A,REFUSED,-,T
2020-01-03 21:24:58,C3un16bsjeal8.xyz,146.16.164.245,51717,10.20.0.7,53,tcp,47776,7ytz4zruqshu.xyz,A,NOERROR,215.7.27.41,F
2020-01-03 23:30:58,Cliuvmhwnaqatsfcj,191.214.71.100,37024,10.10.0.14,53,udp,50772,ANY.godavaricare.example,ANY,REFUSED,-,T
2020-01-04 03:17:07,Cdku6r5e1g7ws8.xy,29.76.207.193,23414,10.30.0.75,53,udp,28151,7qccqg97ev8v4u3.info,A,NOERROR,148.232.213.217,F
2020-01-04 04:31:41,C3j2h066mvvo904xo,88.153.75.13,8037,10.10.0.35,53,udp,37501,ANY.mail.godavaricare.example,ANY,REFUSED,-,T
2020-01-04 04:45:56,Cecsf4aligbud58.c,72.95.166.114,60771,10.20.0.87,53,udp,17471,ANY.ns1.godavaricare.example,ANY,NOERROR,139.8.73.149,F
2020-01-04 05:25:13,Cu24nofqgeruxwki2,169.121.162.223,27970,10.30.0.111,53,tcp,52669,godavaricare.example,MX,NOERROR,100.206.56.155,F
2020-01-04 10:39:32,C424lgssof1dyhf2.,216.175.209.129,2698,10.10.0.30,53,udp,2063,godavaricare.example,A,REFUSED,-,T
2020-01-04 11:27:20,C0z8w2hjs7pt5.inf,208.128.53.51,56338,10.30.0.126,53,udp,9462,godavaricare.example,A,NOERROR,141.24.42.7,F
2020-01-04 12:33:54,Ckw0mwhnat0a.info,11.219.48.95,26617,10.20.0.35,53,tcp,169,google.com,A,NOERROR,103.74.138.11,F
2020-01-04 18:31:29,Ceqrs2ojxggow4l84,44.41.160.239,35496,10.20.0.74,53,udp,19807,iogaqg6a2w8wyhoco.info,MX,NXDOMAIN,161.58.185.186,F
2020-01-04 21:13:28,Ceci9c4kf0mi97x7a,31.142.29.92,1470,10.20.0.132,53,tcp,51728,tmho1u3ra1i0yx1.info,TXT,REFUSED,-,T
2020-01-04 21:31:49,Cptg6lpoac4sq0ss.,58.76.127.159,22392,10.10.0.89,53,udp,22067,mail.godavaricare.example,TXT,NOERROR,166.76.211.48,F
2020-01-05 02:49:07,C5zynodi6ce8ba1pd,170.115.62.230,14427,10.30.0.115,53,udp,34083,google.com,A,REFUSED,-,T
