client_ip,user,timestamp,method,path,status,bytes,user_agent
141.128.225.165,-,2020-01-01 06:37:49,GET,/update/payload.bin,200,23830,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/532.22.3 (KHTML, like Gecko) Version/5.0.5 Safari/532.22.3"
92.78.39.166,-,2020-01-01 08:58:10,GET,/,200,42736,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/531.15.3 (KHTML, like Gecko) Version/5.0 Safari/531.15.3"
189.122.92.192,-,2020-01-01 10:54:16,GET,/admin/../../etc/passwd,403,21731,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/4.1)
80.11.33.124,-,2020-01-01 12:29:42,GET,/index.php?id=1'+OR+'1'='1,403,50431,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_7 rv:5.0; eo-US) AppleWebKit/533.44.6 (KHTML, like Gecko) Version/5.0 Safari/533.44.6"
147.185.56.132,-,2020-01-01 13:40:25,GET,/wp-login.php,200,27338,"Mozilla/5.0 (iPad; CPU iPad OS 3_1_3 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) CriOS/16.0.842.0 Mobile/61I718 Safari/533.2"
20.171.129.52,seher.wagle,2020-01-02 06:29:27,GET,/wp-login.php,200,5629,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; ce-RU) AppleWebKit/535.10.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6535.10.3"
21.153.222.60,biju.buch,2020-01-02 08:30:12,GET,/update/payload.bin,200,246,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/535.43.3 (KHTML, like Gecko) Version/5.0 Safari/535.43.3"
88.238.176.31,-,2020-01-02 09:10:24,GET,/admin/../../etc/passwd,403,18848,Opera/9.96.(X11; Linux i686; the-NP) Presto/2.9.186 Version/10.00
114.157.198.175,aaryahi.bumb,2020-01-02 10:18:29,GET,/update/payload.bin,200,36932,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/534.26.2 (KHTML, like Gecko) Version/5.0.2 Safari/534.26.2"
53.71.180.127,-,2020-01-02 10:23:04,GET,/actuator/env,403,32376,Mozilla/5.0 (Windows NT 4.0; lg-UG; rv:1.9.2.20) Gecko/3969-05-22 20:35:19 Firefox/15.0
118.168.161.187,-,2020-01-02 12:45:47,GET,/wp-login.php,200,32143,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/3.0)
78.168.250.18,-,2020-01-02 15:00:15,GET,/,200,43341,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_3) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/37.0.890.0 Safari/531.2"
174.128.188.117,ranbir.soni,2020-01-02 18:47:41,GET,/index.php?id=1'+OR+'1'='1,200,30199,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_6 rv:6.0; ps-AF) AppleWebKit/531.32.2 (KHTML, like Gecko) Version/5.0.3 Safari/531.32.2"
88.77.249.227,-,2020-01-03 03:10:10,GET,/,503,754,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/21.0.848.0 Safari/535.1"
75.9.121.45,-,2020-01-03 06:27:55,GET,/update/payload.bin,403,11100,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/42.0.807.0 Safari/536.0"
56.89.206.68,-,2020-01-03 11:03:06,GET,/admin/../../etc/passwd,403,33884,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/5.0)
207.28.150.235,-,2020-01-03 13:14:30,GET,/,200,37437,"Mozilla/5.0 (iPad; CPU iPad OS 14_2 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/17.0.831.0 Mobile/54A000 Safari/533.1"
162.193.92.149,hazel.sidhu,2020-01-03 16:21:05,GET,/api/v1/status,403,30144,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/5.0)
70.35.159.11,-,2020-01-03 18:58:21,GET,/login,200,21655,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; ti-ER) AppleWebKit/532.11.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6532.11.6"
54.49.196.228,-,2020-01-03 21:06:44,GET,/admin/../../etc/passwd,403,25778,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_3) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/33.0.843.0 Safari/533.2"
199.170.84.243,lakshay.vohra,2020-01-04 18:30:42,GET,/admin/../../etc/passwd,403,3892,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/6534-05-15 04:31:03 Firefox/3.8
204.76.124.26,-,2020-01-05 05:14:10,GET,/dl/setup.exe,403,16775,"Mozilla/5.0 (Linux; Android 7.0) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/17.0.812.0 Safari/536.0"
39.100.196.153,-,2020-01-05 08:25:37,GET,/update/payload.bin,200,5328,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/5.0)
58.191.60.5,-,2020-01-05 08:55:39,GET,/api/v1/status,200,18793,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/531.23.5 (KHTML, like Gecko) Version/5.0 Safari/531.23.5"
202.115.221.44,-,2020-01-05 09:12:14,GET,/update/payload.bin,200,30618,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_3 rv:5.0; sk-SK) AppleWebKit/533.17.2 (KHTML, like Gecko) Version/5.0 Safari/533.17.2"
36.17.67.77,-,2020-01-05 17:37:31,GET,/index.php?id=1'+OR+'1'='1,200,18659,Opera/9.23.(Windows NT 4.0; ta-IN) Presto/2.9.181 Version/12.00
10.153.23.147,jiya.luthra,2020-01-06 02:17:27,GET,/gate.php,200,36550,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/5.0)
