TimeGenerated,SystemAlertId,AlertName,AlertSeverity,Status,ProviderName,VendorName,Tactics,Techniques,CompromisedEntity,RemediationSteps,Entities,ExtendedProperties
2020-01-01 00:43:27.0000000,3d76904b-6149-1c8e-7390-b6acc6339b89,ET SCAN SSH/RDP Brute Force Attempt,High,InProgress,Azure Sentinel Analytics,Microsoft,InitialAccess,T1190,GCH-LAB-291,Isolate host and reset credentials,"[{""Type"": ""ip"", ""Address"": ""159.63.40.232""}, {""Type"": ""host"", ""HostName"": ""GCH-LAB-291""}]","{""Action"": ""Blocked"", ""Segment"": ""Segment C"", ""AnomalyScore"": 40.63, ""Signature"": ""Known Pattern B""}"
2020-01-01 03:02:42.0000000,23306f05-d739-04bb-53b8-eb85b79c0d09,ET MALWARE Generic C2 Beacon Activity,High,InProgress,Azure Sentinel Analytics,Microsoft,CommandAndControl,T1071,GCH-IOT-396,Block IoC at perimeter,"[{""Type"": ""ip"", ""Address"": ""152.81.184.63""}, {""Type"": ""host"", ""HostName"": ""GCH-IOT-396""}]","{""Action"": ""Logged"", ""Segment"": ""Segment C"", ""AnomalyScore"": 41.29, ""Signature"": ""Known Pattern A""}"
2020-01-01 08:58:10.0000000,066a54bb-49be-d4a1-c054-dc2f0b68fb53,ET DOS Possible SYN Flood Inbound,High,New,Azure Sentinel Analytics,Microsoft,Impact,T1498,GCH-IOT-356,Block IoC at perimeter,"[{""Type"": ""ip"", ""Address"": ""92.78.39.166""}, {""Type"": ""host"", ""HostName"": ""GCH-IOT-356""}]","{""Action"": ""Logged"", ""Segment"": ""Segment C"", ""AnomalyScore"": 67.79, ""Signature"": ""Known Pattern A""}"
2020-01-01 13:01:19.0000000,5fe950f2-e68a-efc3-4d80-d9f89b25fff7,ET SCAN SSH/RDP Brute Force Attempt,High,Resolved,Azure Sentinel Analytics,Microsoft,InitialAccess,T1190,GCH-PTL-080,Isolate host and reset credentials,"[{""Type"": ""ip"", ""Address"": ""212.44.143.201""}, {""Type"": ""host"", ""HostName"": ""GCH-PTL-080""}]","{""Action"": ""Blocked"", ""Segment"": ""Segment A"", ""AnomalyScore"": 72.36, ""Signature"": ""Known Pattern B""}"
2020-01-01 13:40:25.0000000,84351464-e3b5-24b2-040c-77b5e5d618f1,ET EXPLOIT Apache Log4j RCE Attempt (CVE-2021-44228),High,InProgress,Azure Sentinel Analytics,Microsoft,InitialAccess,T1190,GCH-PRX-070,Isolate host and reset credentials,"[{""Type"": ""ip"", ""Address"": ""147.185.56.132""}, {""Type"": ""host"", ""HostName"": ""GCH-PRX-070""}]","{""Action"": ""Logged"", ""Segment"": ""Segment A"", ""AnomalyScore"": 3.59, ""Signature"": ""Known Pattern A""}"
2020-01-01 20:01:32.0000000,82076af0-84e2-988d-a179-9fb043f52a39,ET SCAN SSH/RDP Brute Force Attempt,High,New,Azure Sentinel Analytics,Microsoft,InitialAccess,T1190,GCH-LAB-291,Isolate host and reset credentials,"[{""Type"": ""ip"", ""Address"": ""47.4.110.93""}, {""Type"": ""host"", ""HostName"": ""GCH-LAB-291""}]","{""Action"": ""Logged"", ""Segment"": ""Segment C"", ""AnomalyScore"": 55.58, ""Signature"": ""Known Pattern B""}"
2020-01-01 22:46:44.0000000,0f850dce-017a-3976-250c-9b389733e012,ET MALWARE Suspicious Executable Download,High,InProgress,Azure Sentinel Analytics,Microsoft,CommandAndControl,T1071,GCH-WEB-113,Block IoC at perimeter,"[{""Type"": ""ip"", ""Address"": ""115.197.71.90""}, {""Type"": ""host"", ""HostName"": ""GCH-WEB-113""}]","{""Action"": ""Blocked"", ""Segment"": ""Segment A"", ""AnomalyScore"": 36.98, ""Signature"": ""Known Pattern B""}"
2020-01-01 23:08:08.0000000,10306da0-0aa4-9277-d778-e8137b9e5ae0,ET DOS UDP/ICMP Amplification Flood,High,New,Azure Sentinel Analytics,Microsoft,Impact,T1498,GCH-PACS-185,Block IoC at perimeter,"[{""Type"": ""ip"", ""Address"": ""85.149.183.151""}, {""Type"": ""host"", ""HostName"": ""GCH-PACS-185""}]","{""Action"": ""Logged"", ""Segment"": ""Segment B"", ""AnomalyScore"": 79.8, ""Signature"": ""Known Pattern B""}"
2020-01-02 04:54:15.0000000,e6bedac1-c882-326f-e5b8-90a1980b0db9,ET MALWARE Generic C2 Beacon Activity,High,New,Azure Sentinel Analytics,Microsoft,CommandAndControl,T1071,GCH-HIS-219,Block IoC at perimeter,"[{""Type"": ""ip"", ""Address"": ""212.47.188.7""}, {""Type"": ""host"", ""HostName"": ""GCH-HIS-219""}]","{""Action"": ""Logged"", ""Segment"": ""Segment B"", ""AnomalyScore"": 27.16, ""Signature"": ""Known Pattern A""}"
2020-01-02 08:30:12.0000000,5fd45267-db52-f01d-3e6b-f22bf1ec2297,ET MALWARE Suspicious Executable Download,High,InProgress,Azure Sentinel Analytics,Microsoft,CommandAndControl,T1071,GCH-IOT-304,Block IoC at perimeter,"[{""Type"": ""ip"", ""Address"": ""21.153.222.60""}, {""Type"": ""host"", ""HostName"": ""GCH-IOT-304""}]","{""Action"": ""Ignored"", ""Segment"": ""Segment C"", ""AnomalyScore"": 37.21, ""Signature"": ""Known Pattern B""}"
