incidentNumber,title,severity,status,classification,createdTimeUtc,lastActivityTimeUtc,alertCount,affectedEntity,sourceIps,owner,rule
1001,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2021-04-19T04:51:19Z,2021-04-19T09:24:16Z,3,GCH-LIS-248,60.20.108.52;134.228.229.209;144.71.235.173,,NET-01
1002,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2022-12-17T19:35:51Z,2022-12-17T20:21:28Z,3,GCH-IOT-296,212.180.42.83;48.227.95.128;199.91.37.69,soc.l3@godavaricare.example,NET-01
1003,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2021-04-22T15:12:46Z,2021-04-22T20:44:19Z,2,GCH-HIS-159,168.119.11.67;211.180.9.136,soc.l3@godavaricare.example,NET-01
1004,NET-01: High severity Intrusion traffic permitted through perimeter,High,New,TruePositive,2021-07-12T04:28:40Z,2021-07-12T12:50:14Z,2,GCH-PACS-141,66.195.152.118;189.39.251.0,soc.l3@godavaricare.example,NET-01
1005,NET-01: High severity Intrusion traffic permitted through perimeter,High,New,Undetermined,2021-02-05T16:55:30Z,2021-02-05T22:01:50Z,2,GCH-LAB-295,159.48.6.42;66.254.236.94,soc.l3@godavaricare.example,NET-01
1006,NET-01: High severity DDoS traffic permitted through perimeter,High,New,Undetermined,2020-11-06T15:20:02Z,2020-11-06T15:26:00Z,2,GCH-EMR-397,107.74.134.37;199.92.249.81,,NET-01
1007,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2022-12-12T07:08:53Z,2022-12-12T20:25:58Z,2,GCH-HIS-211,202.161.203.38;57.208.190.213,soc.l3@godavaricare.example,NET-01
1008,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2023-08-20T15:05:15Z,2023-08-20T18:18:28Z,2,GCH-DNS-083,149.161.100.251;77.173.162.2,soc.l2@godavaricare.example,NET-01
1009,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,Undetermined,2021-10-06T14:26:45Z,2021-10-06T20:56:47Z,2,GCH-DB-334,201.48.214.160;140.36.206.4,,NET-01
1010,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2020-02-22T07:08:10Z,2020-02-22T19:27:57Z,2,GCH-EMR-329,114.160.130.219;170.104.49.80,,NET-01
1011,NET-01: High severity DDoS traffic permitted through perimeter,High,New,TruePositive,2021-04-28T14:57:28Z,2021-04-28T15:04:35Z,2,GCH-HIS-211,59.205.222.191;214.116.174.159,soc.l3@godavaricare.example,NET-01
1012,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2023-03-10T08:43:07Z,2023-03-10T22:32:48Z,2,GCH-DB-302,221.58.66.154;12.171.150.61,soc.l2@godavaricare.example,NET-01
