eventTime,eventSource,eventName,region,sourceIP,user,errorCode,bucket,mfaUsed
2020-01-01T03:02:42Z,ec2.amazonaws.com,AuthorizeSecurityGroupIngress,ap-south-1,16.66.64.129,rasha.dhar,,,
2020-01-01T18:19:28Z,ec2.amazonaws.com,DescribeInstances,ap-south-1,10.20.0.141,charvi.toor,,,
2020-01-01T20:01:32Z,s3.amazonaws.com,GetObject,ap-south-1,10.20.0.113,ela.salvi,,gch-claims-data,
2020-01-02T01:09:15Z,sts.amazonaws.com,AssumeRole,ap-south-1,10.20.3.61,vaibhav.ganguly,,,
2020-01-03T07:11:03Z,ec2.amazonaws.com,AuthorizeSecurityGroupIngress,ap-south-1,186.4.30.4,inaaya..chand,,,
2020-01-03T08:44:28Z,s3.amazonaws.com,GetObject,ap-south-1,10.20.1.142,faiyaz.sachdeva,,gch-radiology-archive,
2020-01-03T13:20:11Z,s3.amazonaws.com,GetObject,ap-south-1,10.20.3.191,jivika.banik,,gch-radiology-archive,
2020-01-03T15:18:08Z,signin.amazonaws.com,ConsoleLogin,ap-south-1,81.69.49.97,zaina.gandhi,,,No
2020-01-04T05:25:13Z,sts.amazonaws.com,AssumeRole,ap-south-1,103.9.18.80,amira.toor,,,
2020-01-04T05:40:51Z,s3.amazonaws.com,PutObject,ap-south-1,10.20.3.63,pihu.vasa,AccessDenied,gch-patient-backups,
2020-01-04T08:56:22Z,s3.amazonaws.com,PutObject,ap-south-1,10.20.3.104,vihaan.andra,,gch-radiology-archive,
2020-01-05T07:32:01Z,signin.amazonaws.com,ConsoleLogin,ap-south-1,10.20.1.5,uthkarsh.bera,AccessDenied,,Yes
2020-01-05T07:37:20Z,signin.amazonaws.com,ConsoleLogin,ap-south-1,10.20.3.96,tanya.soman,,,Yes
2020-01-05T21:21:20Z,ec2.amazonaws.com,DescribeInstances,ap-south-1,10.20.0.3,saira.salvi,,,
2020-01-06T18:21:48Z,sts.amazonaws.com,AssumeRole,ap-south-1,10.20.0.117,hunar.malhotra,,,
2020-01-06T21:33:34Z,s3.amazonaws.com,GetObject,ap-south-1,10.20.0.161,anahi.savant,,gch-radiology-archive,
2020-01-07T02:16:57Z,s3.amazonaws.com,GetObject,ap-south-1,10.20.1.89,mahika.majumdar,,gch-radiology-archive,
2020-01-07T12:21:37Z,s3.amazonaws.com,GetObject,ap-south-1,10.20.0.139,anahita.dani,,gch-claims-data,
2020-01-08T09:57:34Z,cloudtrail.amazonaws.com,StopLogging,ap-south-1,132.170.23.25,tanya.kannan,,,
2020-01-10T14:14:27Z,s3.amazonaws.com,GetObject,ap-south-1,10.20.1.28,jayan.vaidya,,gch-patient-backups,
2020-01-11T11:17:24Z,s3.amazonaws.com,GetObject,ap-south-1,10.20.2.40,vivaan.rege,,gch-radiology-archive,
2020-01-12T10:16:09Z,s3.amazonaws.com,GetObject,ap-south-1,10.20.0.209,anahi.sekhon,,gch-radiology-archive,
2020-01-13T09:11:44Z,signin.amazonaws.com,ConsoleLogin,ap-south-1,58.102.109.41,nayantara.hora,,,No
2020-01-14T00:16:42Z,s3.amazonaws.com,PutObject,ap-south-1,10.20.0.51,kabir.mani,,gch-claims-data,
2020-01-14T21:51:59Z,sts.amazonaws.com,AssumeRole,ap-south-1,193.150.57.72,inaaya..bhakta,,,
2020-01-16T02:03:00Z,s3.amazonaws.com,ListBuckets,ap-south-1,10.20.1.142,elakshi.bhatia,AccessDenied,gch-patient-backups,
2020-01-16T20:20:23Z,s3.amazonaws.com,GetObject,ap-south-1,10.20.3.218,rhea.biswas,,gch-patient-backups,
2020-01-17T12:40:57Z,sts.amazonaws.com,AssumeRole,ap-south-1,10.20.0.79,indrajit.kunda,,,
2020-01-17T17:41:51Z,s3.amazonaws.com,PutObject,ap-south-1,10.20.3.174,shaan.sahota,,gch-radiology-archive,
