EVENT_TIMESTAMP,DBUSERNAME,OS_USER,USERHOST,CLIENT_IP,ACTION_NAME,OBJECT_SCHEMA,OBJECT_NAME,SQL_TEXT,ROWS_PROCESSED,RETURN_CODE
2020-01-01T16:38:59.060,TANYA,tanya,GCH-EMR-273,10.30.0.6,SELECT,PACS,RADIOLOGY_IMAGES,SELECT * FROM PACS.RADIOLOGY_IMAGES,45,0
2020-01-01T17:57:15.894,APP_SVC,baiju,GCH-DB-350,10.30.0.83,UPDATE,BILLING,INSURANCE_CLAIMS,UPDATE ON BILLING.INSURANCE_CLAIMS,6,0
2020-01-03T11:37:01.511,REPORT_USER,shlok,GCH-DNS-071,10.10.0.72,SELECT,EMR,PATIENT_RECORDS,SELECT * FROM EMR.PATIENT_RECORDS,50,0
2020-01-03T13:20:11.098,REPORT_USER,shlok,GCH-LIS-220,10.20.0.87,SELECT,PACS,RADIOLOGY_IMAGES,SELECT * FROM PACS.RADIOLOGY_IMAGES,0,0
2020-01-04T04:31:41.224,APP_SVC,raunak,GCH-PRX-034,10.10.0.35,SELECT,EMR,PRESCRIPTIONS,SELECT * FROM EMR.PRESCRIPTIONS,33,0
2020-01-04T20:34:57.819,REPORT_USER,misha,GCH-DB-338,10.30.0.71,SELECT,EMR,PRESCRIPTIONS,SELECT * FROM EMR.PRESCRIPTIONS,22,0
2020-01-05T07:32:01.176,REPORT_USER,prerak,GCH-HIS-227,10.20.0.94,SELECT,PACS,RADIOLOGY_IMAGES,SELECT * FROM PACS.RADIOLOGY_IMAGES,31,0
2020-01-05T07:37:20.960,APP_SVC,badal,GCH-IOT-348,10.30.0.81,SELECT,BILLING,INSURANCE_CLAIMS,SELECT * FROM BILLING.INSURANCE_CLAIMS,38,1017
2020-01-05T17:09:17.011,NITARA,nitara,GCH-DB-334,10.30.0.67,SELECT,BILLING,INSURANCE_CLAIMS,SELECT * FROM BILLING.INSURANCE_CLAIMS,29,0
2020-01-06T16:46:49.676,PIHU,pihu,GCH-LAB-339,10.30.0.72,SELECT,EMR,PRESCRIPTIONS,SELECT * FROM EMR.PRESCRIPTIONS,31,0
