day,events,baseline_avg,variance_pct,flag
2020-01-01,30,29.0,3.5,
2020-01-02,24,29.0,-17.2,
2020-01-03,31,29.0,6.9,
2020-01-04,24,29.0,-17.2,
2020-01-05,24,29.0,-17.2,
2020-01-06,33,29.0,13.9,
2020-01-07,18,29.0,-37.9,
2020-01-08,28,29.0,-3.4,
2020-01-09,17,29.0,-41.3,
2020-01-10,26,29.0,-10.3,
2020-01-11,32,29.0,10.4,
2020-01-12,30,29.0,3.5,
2020-01-13,30,29.0,3.5,
2020-01-14,23,29.0,-20.7,
2020-01-15,21,29.0,-27.6,
2020-01-16,26,29.0,-10.3,
2020-01-17,27,29.0,-6.8,
2020-01-18,30,29.0,3.5,
2020-01-19,26,29.0,-10.3,
2020-01-20,29,29.0,0.0,
2020-01-21,29,29.0,0.0,
2020-01-22,23,29.0,-20.7,
2020-01-23,36,29.0,24.2,
2020-01-24,21,29.0,-27.6,
2020-01-25,27,29.0,-6.8,
2020-01-26,26,29.0,-10.3,
2020-01-27,22,29.0,-24.1,
2020-01-28,25,29.0,-13.8,
2020-01-29,22,29.0,-24.1,
2020-01-30,23,29.0,-20.7,
2020-01-31,28,29.0,-3.4,
2020-02-01,31,29.0,6.9,
2020-02-02,32,29.0,10.4,
2020-02-03,30,29.0,3.5,
2020-02-04,24,29.0,-17.2,
2020-02-05,31,29.0,6.9,
2020-02-06,34,29.0,17.3,
2020-02-07,20,29.0,-31.0,
2020-02-08,23,29.0,-20.7,
2020-02-09,31,29.0,6.9,
2020-02-10,28,29.0,-3.4,
2020-02-11,18,29.0,-37.9,
2020-02-12,29,29.0,0.0,
2020-02-13,28,29.0,-3.4,
2020-02-14,30,29.0,3.5,
2020-02-15,24,29.0,-17.2,
2020-02-16,30,29.0,3.5,
2020-02-17,31,29.0,6.9,
2020-02-18,35,29.0,20.8,
2020-02-19,41,29.0,41.4,
2020-02-20,23,29.0,-20.7,
2020-02-21,22,29.0,-24.1,
2020-02-22,41,29.0,41.4,
2020-02-23,22,29.0,-24.1,
2020-02-24,25,29.0,-13.8,
2020-02-25,37,29.0,27.6,
2020-02-26,32,29.0,10.4,
2020-02-27,21,29.0,-27.6,
2020-02-28,24,29.0,-17.2,
2020-02-29,31,29.0,6.9,
2020-03-01,26,29.0,-10.3,
2020-03-02,32,29.0,10.4,
2020-03-03,35,29.0,20.8,
2020-03-04,38,29.0,31.1,
