timestamp,host,src_ip,src_port,dest_ip,dest_port,proto,app_proto,action,signature_id,signature,category,severity,bytes_toserver,segment,anomaly_score
2020-01-01T00:43:27.524143+0000,SPG-RTU-278,159.63.40.232,30053.0,10.30.0.11,53.0,UDP,dns,blocked,2100302,ET SCAN SSH/RDP Brute Force Attempt,Attempted Administrator Privilege Gain,1,1428,Segment C,40.63
2020-01-01T03:02:42.838400+0000,SPG-SUB-300,152.81.184.63,,10.30.0.33,,ICMP,dns,allowed,2100201,ET MALWARE Generic C2 Beacon Activity,A Network Trojan was detected,1,429,Segment C,41.29
2020-01-01T03:11:48.241394+0000,SPG-HMI-247,161.219.235.160,35780.0,10.20.0.114,80.0,UDP,,allowed,2100102,ET DOS UDP/ICMP Amplification Flood,Denial of Service,1,850,Segment B,46.7
2020-01-01T04:19:53.663406+0000,SPG-DNS-008,157.106.20.60,,10.10.0.9,,ICMP,,allowed,2100301,ET EXPLOIT Apache Log4j RCE Attempt (CVE-2021-44228),Attempted Administrator Privilege Gain,3,1051,Segment A,25.86
2020-01-01T05:17:19.813905+0000,SPG-FTP-067,98.253.138.239,30895.0,10.10.0.68,21.0,TCP,,allowed,2100302,ET SCAN SSH/RDP Brute Force Attempt,Attempted Administrator Privilege Gain,2,123,Segment A,66.7
2020-01-01T05:21:39.149273+0000,SPG-WEB-065,187.193.14.136,38883.0,10.10.0.66,990.0,UDP,,blocked,2100102,ET DOS UDP/ICMP Amplification Flood,Denial of Service,2,68,Segment A,60.74
2020-01-01T06:37:14.081382+0000,SPG-ENG-205,43.86.163.245,,10.20.0.72,,ICMP,,allowed,2100302,ET SCAN SSH/RDP Brute Force Attempt,Attempted Administrator Privilege Gain,2,1289,Segment B,45.28
2020-01-01T07:59:41.550943+0000,SPG-RTU-310,47.120.123.121,14060.0,10.30.0.43,53.0,TCP,dns,blocked,2100201,ET MALWARE Generic C2 Beacon Activity,A Network Trojan was detected,2,409,Segment C,57.7
2020-01-01T08:05:12.746310+0000,SPG-ENG-225,115.177.22.220,15161.0,10.20.0.92,990.0,TCP,,blocked,2100101,ET DOS Possible SYN Flood Inbound,Denial of Service,2,912,Segment B,36.02
2020-01-01T08:37:40.851011+0000,SPG-HMI-215,46.182.142.60,40079.0,10.20.0.82,990.0,TCP,,allowed,2100101,ET DOS Possible SYN Flood Inbound,Denial of Service,2,1206,Segment B,22.58
2020-01-01T08:58:10.816380+0000,SPG-SUB-340,92.78.39.166,65064.0,10.30.0.73,443.0,UDP,,allowed,2100101,ET DOS Possible SYN Flood Inbound,Denial of Service,1,780,Segment C,67.79
2020-01-01T12:29:42.253908+0000,SPG-DNS-056,80.11.33.124,,10.10.0.57,,ICMP,,blocked,2100302,ET SCAN SSH/RDP Brute Force Attempt,Attempted Administrator Privilege Gain,2,1496,Segment A,17.63
2020-01-01T13:01:19.289089+0000,SPG-PRX-026,212.44.143.201,,10.10.0.27,,ICMP,,blocked,2100302,ET SCAN SSH/RDP Brute Force Attempt,Attempted Administrator Privilege Gain,1,1069,Segment A,72.36
