ts,uid,src_ip,src_port,resolver_ip,resolver_port,proto,trans_id,query,qtype,rcode,answers,rejected
2020-01-01 00:43:27,Cs30p6szu6hdz8ep.,159.63.40.232,30053,10.30.0.11,53,udp,40457,update.microsoft.com,MX,REFUSED,-,T
2020-01-01 01:14:07,C28eyn07ds65j.top,203.224.244.176,9478,10.30.0.102,53,udp,29131,kzbgpaxvjuphgq.top,MX,REFUSED,-,T
2020-01-01 03:02:42,Cwfhzv67zox.xyz,152.81.184.63,37238,10.30.0.33,53,udp,34290,51hm4rw2ih4fd.click,MX,NXDOMAIN,149.89.218.58,F
2020-01-01 04:30:19,C62xrc52v7kpkhdi1,44.217.33.10,1508,10.30.0.24,53,tcp,6730,update.microsoft.com,MX,REFUSED,-,T
2020-01-01 07:59:41,C07qxnvzkmaj4sm.t,47.120.123.121,14060,10.30.0.43,53,tcp,39063,4w7hjpknir.xyz,TXT,REFUSED,-,T
2020-01-01 16:38:59,C2inc9d8wwn.xyz,4.214.78.160,37772,10.30.0.116,53,udp,34171,sahyadripower.example,AAAA,NOERROR,136.232.249.168,F
2020-01-01 18:20:06,Czxjsfbfb1e0s8yq5,120.101.38.222,38572,10.30.0.13,53,udp,21205,ANY.mail.sahyadripower.example,ANY,NOERROR,208.186.165.171,F
2020-01-01 22:46:44,C7gtq58qyx9.click,115.197.71.90,34822,10.10.0.32,53,udp,42617,6gfl3kqzrwdinp3cu.info,TXT,REFUSED,-,T
2020-01-01 23:08:08,C598cm8q7cr168oo0,85.149.183.151,15272,10.20.0.135,53,udp,49506,ANY.sahyadripower.example,ANY,NOERROR,193.93.200.37,F
2020-01-02 13:47:58,Cj5gge3p0sfah.xyz,115.97.20.95,6830,10.10.0.60,53,udp,21024,9r9gin4400riavd.click,TXT,NXDOMAIN,160.59.91.237,F
2020-01-02 17:30:26,Cw04thxqal5hvyeos,216.202.242.15,62380,10.10.0.5,53,udp,63569,google.com,A,NOERROR,159.63.42.185,F
2020-01-02 23:59:19,C1t15yix2yfg.xyz,214.194.89.72,14045,10.10.0.16,53,udp,40164,lz5mp1z1l4xnqq.xyz,TXT,NOERROR,162.224.107.108,F
2020-01-03 01:20:46,Cb5v1fk3a4g3hwtd5,110.88.185.72,58765,10.20.0.15,53,tcp,13467,ANY.ns1.sahyadripower.example,ANY,NOERROR,131.81.31.196,F
