timestamp,rule_id,attack,severity,src_ip,src_port,dest_ip,dest_port,host,request,action,segment
2020-01-01 10:54:16,WAF-2100302,ET SCAN SSH/RDP Brute Force Attempt,6,189.122.92.192,53343,10.20.0.84,443,SPG-ENG-217,/actuator/env,blocked,Segment B
2020-01-01 12:29:42,WAF-2100302,ET SCAN SSH/RDP Brute Force Attempt,6,80.11.33.124,54662,10.10.0.57,8080,SPG-DNS-056,/index.php?id=1'+OR+'1'='1,blocked,Segment A
2020-01-01 13:40:25,WAF-2100301,ET EXPLOIT Apache Log4j RCE Attempt (CVE-2021-44228),9,147.185.56.132,20513,10.10.0.120,443,SPG-FTP-119,/admin/../../etc/passwd,alerted,Segment A
2020-01-02 06:29:27,WAF-2100302,ET SCAN SSH/RDP Brute Force Attempt,6,20.171.129.52,39580,10.20.0.8,80,SPG-ENG-141,/admin/../../etc/passwd,alerted,Segment B
2020-01-02 09:10:24,WAF-2100302,ET SCAN SSH/RDP Brute Force Attempt,9,88.238.176.31,5262,10.10.0.62,443,SPG-WEB-061,/index.php?id=1'+OR+'1'='1,blocked,Segment A
2020-01-02 10:23:04,WAF-2100302,ET SCAN SSH/RDP Brute Force Attempt,6,53.71.180.127,38073,10.30.0.22,443,SPG-EMS-289,/wp-login.php,blocked,Segment C
2020-01-02 12:45:47,WAF-2100302,ET SCAN SSH/RDP Brute Force Attempt,3,118.168.161.187,38250,10.30.0.97,443,SPG-SUB-364,/admin/../../etc/passwd,alerted,Segment C
2020-01-02 18:47:41,WAF-2100302,ET SCAN SSH/RDP Brute Force Attempt,6,174.128.188.117,50645,10.10.0.75,8080,SPG-PRX-074,/admin/../../etc/passwd,alerted,Segment A
2020-01-03 11:03:06,WAF-2100302,ET SCAN SSH/RDP Brute Force Attempt,6,56.89.206.68,60890,10.30.0.95,8443,SPG-RTU-362,/wp-login.php,blocked,Segment C
2020-01-03 21:06:44,WAF-2100301,ET EXPLOIT Apache Log4j RCE Attempt (CVE-2021-44228),6,54.49.196.228,19478,10.10.0.83,8080,SPG-PRX-082,/index.php?id=1'+OR+'1'='1,blocked,Segment A
2020-01-04 18:30:42,WAF-2100302,ET SCAN SSH/RDP Brute Force Attempt,6,199.170.84.243,25476,10.20.0.10,443,SPG-HMI-143,/wp-login.php,blocked,Segment B
2020-01-05 17:37:31,WAF-2100302,ET SCAN SSH/RDP Brute Force Attempt,9,36.17.67.77,9782,10.30.0.48,8443,SPG-PLC-315,/admin/../../etc/passwd,alerted,Segment C
2020-01-06 23:29:31,WAF-2100301,ET EXPLOIT Apache Log4j RCE Attempt (CVE-2021-44228),6,79.163.183.75,47770,10.30.0.72,443,SPG-PLC-339,/wp-login.php,alerted,Segment C
2020-01-09 13:21:05,WAF-2100302,ET SCAN SSH/RDP Brute Force Attempt,9,112.156.211.121,38467,10.30.0.64,8443,SPG-PLC-331,/index.php?id=1'+OR+'1'='1,blocked,Segment C
2020-01-10 05:41:17,WAF-2100302,ET SCAN SSH/RDP Brute Force Attempt,6,128.131.4.173,10633,10.20.0.52,8080,SPG-ENG-185,/index.php?id=1'+OR+'1'='1,alerted,Segment B
2020-01-11 14:52:53,WAF-2100301,ET EXPLOIT Apache Log4j RCE Attempt (CVE-2021-44228),9,105.248.144.214,20053,10.20.0.32,80,SPG-ENG-165,/index.php?id=1'+OR+'1'='1,alerted,Segment B
2020-01-12 00:11:43,WAF-2100301,ET EXPLOIT Apache Log4j RCE Attempt (CVE-2021-44228),9,119.132.103.69,28347,10.10.0.22,80,SPG-WEB-021,/actuator/env,alerted,Segment A
2020-01-12 11:36:36,WAF-2100302,ET SCAN SSH/RDP Brute Force Attempt,6,211.202.78.252,32116,10.20.0.116,443,SPG-ENG-249,/index.php?id=1'+OR+'1'='1,blocked,Segment B
2020-01-12 19:21:59,WAF-2100301,ET EXPLOIT Apache Log4j RCE Attempt (CVE-2021-44228),3,144.142.184.41,45787,10.30.0.103,80,SPG-RTU-370,/wp-login.php,alerted,Segment C
2020-01-12 21:02:10,WAF-2100302,ET SCAN SSH/RDP Brute Force Attempt,9,188.172.192.148,20973,10.10.0.95,8443,SPG-PRX-094,/admin/../../etc/passwd,blocked,Segment A
2020-01-12 21:04:10,WAF-2100302,ET SCAN SSH/RDP Brute Force Attempt,6,183.14.181.215,46878,10.20.0.16,8443,SPG-ENG-149,/index.php?id=1'+OR+'1'='1,alerted,Segment B
2020-01-13 19:08:07,WAF-2100301,ET EXPLOIT Apache Log4j RCE Attempt (CVE-2021-44228),6,141.102.192.177,11313,10.10.0.64,443,SPG-FTP-063,/index.php?id=1'+OR+'1'='1,alerted,Segment A
2020-01-14 03:05:12,WAF-2100301,ET EXPLOIT Apache Log4j RCE Attempt (CVE-2021-44228),6,60.248.184.224,37999,10.20.0.94,8443,SPG-HMI-227,/index.php?id=1'+OR+'1'='1,alerted,Segment B
2020-01-14 14:22:20,WAF-2100301,ET EXPLOIT Apache Log4j RCE Attempt (CVE-2021-44228),3,203.219.235.217,15035,10.30.0.2,8443,SPG-EMS-269,/actuator/env,alerted,Segment C
2020-01-15 05:42:27,WAF-2100301,ET EXPLOIT Apache Log4j RCE Attempt (CVE-2021-44228),9,214.8.255.1,45023,10.30.0.34,80,SPG-EMS-301,/wp-login.php,alerted,Segment C
2020-01-15 23:26:24,WAF-2100302,ET SCAN SSH/RDP Brute Force Attempt,3,2.253.22.49,9284,10.10.0.62,8080,SPG-WEB-061,/actuator/env,blocked,Segment A
2020-01-16 05:35:24,WAF-2100301,ET EXPLOIT Apache Log4j RCE Attempt (CVE-2021-44228),9,187.23.170.79,28284,10.20.0.130,443,SPG-HMI-263,/admin/../../etc/passwd,alerted,Segment B
2020-01-16 21:14:55,WAF-2100301,ET EXPLOIT Apache Log4j RCE Attempt (CVE-2021-44228),3,118.159.235.52,64367,10.30.0.79,443,SPG-RTU-346,/actuator/env,alerted,Segment C
2020-01-17 18:10:15,WAF-2100302,ET SCAN SSH/RDP Brute Force Attempt,6,76.188.115.125,52350,10.10.0.47,8080,SPG-PRX-046,/wp-login.php,blocked,Segment A
