timestamp,device,message_id,result,user,client_ip,detail
2020-01-01 01:14:07,SPG-VPN-01,ASA-722051,CONNECTED,divyansh.baral,203.224.244.176,Group <SSL-Staff> User <divyansh.baral> IP <203.224.244.176> IPv4 Address <10.99.3.217> as
2020-01-01 06:37:49,SPG-VPN-01,ASA-722051,CONNECTED,diya.kala,141.128.225.165,Group <SSL-Staff> User <diya.kala> IP <141.128.225.165> IPv4 Address <10.99.1.107> assigne
2020-01-01 08:05:12,SPG-VPN-01,ASA-113005,REJECTED,saira.lad,115.177.22.220,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-02 00:03:01,SPG-VPN-01,ASA-113005,REJECTED,hrishita.thaker,24.165.248.18,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-02 10:31:34,SPG-VPN-01,ASA-113005,REJECTED,lakshit.bumb,216.110.129.16,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-02 21:56:12,SPG-VPN-01,ASA-722051,CONNECTED,suhana.bhargava,11.116.234.13,Group <SSL-Staff> User <suhana.bhargava> IP <11.116.234.13> IPv4 Address <10.99.0.84> assi
2020-01-03 01:20:46,SPG-VPN-01,ASA-722051,CONNECTED,yasmin.joshi,110.88.185.72,Group <SSL-Staff> User <yasmin.joshi> IP <110.88.185.72> IPv4 Address <10.99.1.186> assign
2020-01-03 09:03:59,SPG-VPN-01,ASA-113005,REJECTED,biju.zacharia,176.205.231.182,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-03 13:20:11,SPG-VPN-01,ASA-113005,REJECTED,shlok.krishnan,142.190.182.51,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-03 17:34:33,SPG-VPN-01,ASA-113005,REJECTED,suhana.luthra,53.155.91.124,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
