timestamp,event_id,computer,user,logon_type,src_ip,process,status,privileges,event_desc
2020-01-01 08:05:12,4732,SPG-SUB-360,onkar.kothari,2,10.20.3.56,C:\Windows\System32\powershell.exe,,,Member added to group
2020-01-01 13:01:19,4624,SPG-HIS-228,aarav.varghese,2,10.20.0.35,C:\Windows\System32\powershell.exe,,,Logon success
2020-01-02 00:03:01,4624,SPG-RTU-306,ira.kalita,2,10.20.1.148,C:\Windows\System32\cmd.exe,,,Logon success
2020-01-02 01:09:15,4720,SPG-SUB-336,lakshit.butala,2,10.20.0.9,C:\Program Files\App\app.exe,,,User account created
2020-01-02 17:30:26,4720,SPG-AD-230,tejas.varghese,10,10.20.1.175,C:\Windows\System32\powershell.exe,,,User account created
2020-01-05 06:24:03,4625,SPG-RTU-282,svc_backup,10,101.211.146.5,,0xC000006D,,Logon failure
2020-01-05 06:24:21,4624,SPG-RTU-282,indrajit.sangha,10,101.211.146.5,,,,Logon success
2020-01-05 06:29:57,4672,SPG-RTU-282,indrajit.sangha,,,,,SeDebugPrivilege SeImpersonatePrivilege,Special privileges assigned
2020-01-05 17:37:31,4625,SPG-AD-170,Administrator,10,36.17.67.77,,0xC000006D,,Logon failure
2020-01-05 17:38:22,4624,SPG-AD-170,shanaya.kapoor,10,36.17.67.77,,,,Logon success
2020-01-05 20:41:36,4625,SPG-AD-230,nitya.tank,10,99.79.43.46,,0xC000006D,,Logon failure
2020-01-05 20:42:04,4624,SPG-AD-230,nitya.tank,10,99.79.43.46,,,,Logon success
2020-01-05 20:49:29,4672,SPG-AD-230,nitya.tank,,,,,SeDebugPrivilege SeImpersonatePrivilege,Special privileges assigned
2020-01-06 06:08:40,4634,SPG-RTU-390,aaina.kota,2,10.20.0.87,C:\Program Files\App\app.exe,,,Logoff
2020-01-06 18:21:48,4625,SPG-AD-170,Administrator,10,195.170.233.24,,0xC000006D,,Logon failure
2020-01-06 18:22:40,4624,SPG-AD-170,kaira.chand,10,195.170.233.24,,,,Logon success
2020-01-06 21:33:34,4625,SPG-AD-258,svc_backup,10,85.230.182.23,,0xC000006D,,Logon failure
2020-01-06 21:33:40,4624,SPG-AD-258,akarsh.dugar,10,85.230.182.23,,,,Logon success
2020-01-06 21:38:34,4672,SPG-AD-258,akarsh.dugar,,,,,SeDebugPrivilege SeImpersonatePrivilege,Special privileges assigned
2020-01-07 10:37:04,4688,SPG-AD-218,dhanush.sani,3,10.20.1.111,C:\Program Files\App\app.exe,,,Process created
2020-01-07 22:03:35,4624,SPG-HIS-228,manjari.kumer,3,10.20.2.172,C:\Program Files\App\app.exe,,,Logon success
2020-01-08 09:57:34,4625,SPG-AD-150,svc_backup,10,37.228.106.85,,0xC000006D,,Logon failure
2020-01-08 09:58:28,4624,SPG-AD-150,shamik.chaudry,10,37.228.106.85,,,,Logon success
2020-01-08 10:03:47,4672,SPG-AD-150,shamik.chaudry,,,,,SeDebugPrivilege SeImpersonatePrivilege,Special privileges assigned
2020-01-09 17:43:28,4732,SPG-HIS-168,purab.madan,3,10.20.3.190,C:\Program Files\App\app.exe,,,Member added to group
2020-01-11 03:54:55,4634,SPG-AD-242,samarth.loyal,10,10.20.0.209,C:\Program Files\App\app.exe,,,Logoff
2020-01-11 09:09:09,4625,SPG-HIS-252,Administrator,10,14.115.195.9,,0xC000006D,,Logon failure
2020-01-11 09:09:32,4624,SPG-HIS-252,saksham.sharaf,10,14.115.195.9,,,,Logon success
