TimeGenerated,SystemAlertId,AlertName,AlertSeverity,Status,ProviderName,VendorName,Tactics,Techniques,CompromisedEntity,RemediationSteps,Entities,ExtendedProperties
2020-01-01 00:43:27.0000000,1a6c0c5a-b32e-ff65-3fef-ed8eb0e4846e,ET SCAN SSH/RDP Brute Force Attempt,High,Resolved,Azure Sentinel Analytics,Microsoft,InitialAccess,T1190,SPG-RTU-278,Isolate host and reset credentials,"[{""Type"": ""ip"", ""Address"": ""159.63.40.232""}, {""Type"": ""host"", ""HostName"": ""SPG-RTU-278""}]","{""Action"": ""Blocked"", ""Segment"": ""Segment C"", ""AnomalyScore"": 40.63, ""Signature"": ""Known Pattern B""}"
2020-01-01 03:02:42.0000000,684ef71a-5ae8-e526-94cc-322024badec8,ET MALWARE Generic C2 Beacon Activity,High,New,Azure Sentinel Analytics,Microsoft,CommandAndControl,T1071,SPG-SUB-300,Block IoC at perimeter,"[{""Type"": ""ip"", ""Address"": ""152.81.184.63""}, {""Type"": ""host"", ""HostName"": ""SPG-SUB-300""}]","{""Action"": ""Logged"", ""Segment"": ""Segment C"", ""AnomalyScore"": 41.29, ""Signature"": ""Known Pattern A""}"
2020-01-01 08:58:10.0000000,a906e3fa-a736-d2de-1c0b-94e9b06a8c8d,ET DOS Possible SYN Flood Inbound,High,New,Azure Sentinel Analytics,Microsoft,Impact,T1498,SPG-SUB-340,Block IoC at perimeter,"[{""Type"": ""ip"", ""Address"": ""92.78.39.166""}, {""Type"": ""host"", ""HostName"": ""SPG-SUB-340""}]","{""Action"": ""Logged"", ""Segment"": ""Segment C"", ""AnomalyScore"": 67.79, ""Signature"": ""Known Pattern A""}"
2020-01-01 13:01:19.0000000,e3230ddf-5eb3-3175-53ea-478485ebbdea,ET SCAN SSH/RDP Brute Force Attempt,High,Resolved,Azure Sentinel Analytics,Microsoft,InitialAccess,T1190,SPG-PRX-026,Isolate host and reset credentials,"[{""Type"": ""ip"", ""Address"": ""212.44.143.201""}, {""Type"": ""host"", ""HostName"": ""SPG-PRX-026""}]","{""Action"": ""Blocked"", ""Segment"": ""Segment A"", ""AnomalyScore"": 72.36, ""Signature"": ""Known Pattern B""}"
2020-01-01 13:40:25.0000000,20870d01-4a20-4153-1cbc-a517a5b88c46,ET EXPLOIT Apache Log4j RCE Attempt (CVE-2021-44228),High,New,Azure Sentinel Analytics,Microsoft,InitialAccess,T1190,SPG-FTP-119,Isolate host and reset credentials,"[{""Type"": ""ip"", ""Address"": ""147.185.56.132""}, {""Type"": ""host"", ""HostName"": ""SPG-FTP-119""}]","{""Action"": ""Logged"", ""Segment"": ""Segment A"", ""AnomalyScore"": 3.59, ""Signature"": ""Known Pattern A""}"
2020-01-01 20:01:32.0000000,454ed6d6-4dc2-021c-4696-42a991895773,ET SCAN SSH/RDP Brute Force Attempt,High,New,Azure Sentinel Analytics,Microsoft,InitialAccess,T1190,SPG-SUB-324,Isolate host and reset credentials,"[{""Type"": ""ip"", ""Address"": ""47.4.110.93""}, {""Type"": ""host"", ""HostName"": ""SPG-SUB-324""}]","{""Action"": ""Logged"", ""Segment"": ""Segment C"", ""AnomalyScore"": 55.58, ""Signature"": ""Known Pattern B""}"
2020-01-01 23:08:08.0000000,af726777-447a-50e0-4303-748787d570e5,ET DOS UDP/ICMP Amplification Flood,High,New,Azure Sentinel Analytics,Microsoft,Impact,T1498,SPG-HIS-268,Block IoC at perimeter,"[{""Type"": ""ip"", ""Address"": ""85.149.183.151""}, {""Type"": ""host"", ""HostName"": ""SPG-HIS-268""}]","{""Action"": ""Logged"", ""Segment"": ""Segment B"", ""AnomalyScore"": 79.8, ""Signature"": ""Known Pattern B""}"
2020-01-02 04:54:15.0000000,17579463-5da9-20ba-f961-15ace3940cf9,ET MALWARE Generic C2 Beacon Activity,High,InProgress,Azure Sentinel Analytics,Microsoft,CommandAndControl,T1071,SPG-HIS-200,Block IoC at perimeter,"[{""Type"": ""ip"", ""Address"": ""212.47.188.7""}, {""Type"": ""host"", ""HostName"": ""SPG-HIS-200""}]","{""Action"": ""Logged"", ""Segment"": ""Segment B"", ""AnomalyScore"": 27.16, ""Signature"": ""Known Pattern A""}"
2020-01-02 08:30:12.0000000,c211ca52-998e-dd49-2006-4c1455506b77,ET MALWARE Suspicious Executable Download,High,New,Azure Sentinel Analytics,Microsoft,CommandAndControl,T1071,SPG-PLC-371,Block IoC at perimeter,"[{""Type"": ""ip"", ""Address"": ""21.153.222.60""}, {""Type"": ""host"", ""HostName"": ""SPG-PLC-371""}]","{""Action"": ""Ignored"", ""Segment"": ""Segment C"", ""AnomalyScore"": 37.21, ""Signature"": ""Known Pattern B""}"
2020-01-02 09:46:14.0000000,06cc8d25-8aea-3182-dd53-08f9ef23acea,ET EXPLOIT Apache Log4j RCE Attempt (CVE-2021-44228),High,New,Azure Sentinel Analytics,Microsoft,InitialAccess,T1190,SPG-HMI-219,Isolate host and reset credentials,"[{""Type"": ""ip"", ""Address"": ""13.19.31.179""}, {""Type"": ""host"", ""HostName"": ""SPG-HMI-219""}]","{""Action"": ""Logged"", ""Segment"": ""Segment B"", ""AnomalyScore"": 73.32, ""Signature"": ""Known Pattern A""}"
