eventTime,eventSource,eventName,region,sourceIP,user,errorCode,bucket,mfaUsed
2020-01-01T05:21:39Z,s3.amazonaws.com,GetObject,ap-south-1,119.140.146.75,neysa.borah,AccessDenied,spg-outage-reports,
2020-01-01T08:37:40Z,s3.amazonaws.com,PutObject,ap-south-1,10.20.1.41,charvi.varkey,AccessDenied,spg-meter-data,
2020-01-02T01:47:57Z,s3.amazonaws.com,PutObject,ap-south-1,10.20.2.33,tara.karpe,,spg-meter-data,
2020-01-02T10:23:04Z,sts.amazonaws.com,AssumeRole,ap-south-1,10.20.1.133,vihaan.deshpande,,,
2020-01-02T21:56:12Z,sts.amazonaws.com,AssumeRole,ap-south-1,10.20.2.26,dharmajan.dhingra,,,
2020-01-03T18:58:21Z,s3.amazonaws.com,ListBuckets,ap-south-1,10.20.0.49,raghav.malhotra,,spg-meter-data,
2020-01-04T02:24:56Z,s3.amazonaws.com,GetObject,ap-south-1,10.20.2.220,hridaan.doctor,,spg-meter-data,
2020-01-05T14:51:54Z,s3.amazonaws.com,PutObject,ap-south-1,10.20.3.142,jayesh.arya,AccessDenied,spg-meter-data,
2020-01-05T22:31:50Z,ec2.amazonaws.com,DescribeInstances,ap-south-1,10.20.3.72,armaan.hegde,,,
2020-01-06T06:02:31Z,ec2.amazonaws.com,DescribeInstances,ap-south-1,10.20.3.51,rasha.tandon,,,
2020-01-06T16:53:39Z,ec2.amazonaws.com,DescribeInstances,ap-south-1,10.20.1.28,rhea.amble,,,
2020-01-06T21:02:37Z,s3.amazonaws.com,GetObject,ap-south-1,10.20.1.79,mamooty.joshi,AccessDenied,spg-meter-data,
2020-01-06T22:53:49Z,s3.amazonaws.com,PutObject,ap-south-1,10.20.2.232,shray.sawhney,,spg-outage-reports,
2020-01-07T03:38:09Z,s3.amazonaws.com,ListBuckets,ap-south-1,10.20.0.236,yakshit.kala,,spg-grid-backups,
2020-01-07T21:03:37Z,signin.amazonaws.com,ConsoleLogin,ap-south-1,10.20.0.244,manikya.kata,,,Yes
2020-01-08T02:36:59Z,s3.amazonaws.com,GetObject,ap-south-1,10.20.0.234,kavya.johal,,spg-meter-data,
2020-01-08T16:06:45Z,signin.amazonaws.com,ConsoleLogin,ap-south-1,10.20.2.167,yuvraj..kapadia,,,Yes
2020-01-08T21:16:24Z,s3.amazonaws.com,PutObject,ap-south-1,10.20.0.190,vihaan.seshadri,,spg-grid-backups,
2020-01-08T22:42:35Z,s3.amazonaws.com,PutObject,ap-south-1,10.20.2.4,zeeshan.dash,,spg-grid-backups,
2020-01-08T23:08:04Z,s3.amazonaws.com,PutObject,ap-south-1,10.20.3.4,mohanlal.dhar,,spg-outage-reports,
2020-01-09T22:48:50Z,signin.amazonaws.com,ConsoleLogin,ap-south-1,10.20.2.124,priyansh.divan,,,Yes
2020-01-10T12:12:04Z,sts.amazonaws.com,AssumeRole,ap-south-1,10.20.1.15,badal.keer,,,
