EVENT_TIMESTAMP,DBUSERNAME,OS_USER,USERHOST,CLIENT_IP,ACTION_NAME,OBJECT_SCHEMA,OBJECT_NAME,SQL_TEXT,ROWS_PROCESSED,RETURN_CODE
2020-01-01T14:32:55.635,DBA_ADMIN,yakshit,SPG-HIS-248,10.20.0.115,SELECT,SCADA,TELEMETRY_HISTORIAN,SELECT * FROM SCADA.TELEMETRY_HISTORIAN,4,0
2020-01-01T23:08:08.097,REPORT_USER,onkar,SPG-HIS-268,10.20.0.135,EXPORT,BILLING,CONSUMER_ACCOUNTS,EXPORT * FROM BILLING.CONSUMER_ACCOUNTS,288707,0
2020-01-02T00:03:01.669,APP_SVC,hrishita,SPG-ENG-149,10.20.0.16,INSERT,SCADA,TELEMETRY_HISTORIAN,INSERT ON SCADA.TELEMETRY_HISTORIAN,24,0
2020-01-02T10:23:04.401,REPORT_USER,arnav,SPG-EMS-289,10.30.0.22,SELECT,BILLING,CONSUMER_ACCOUNTS,SELECT * FROM BILLING.CONSUMER_ACCOUNTS,17,0
2020-01-03T13:14:30.729,REPORT_USER,krish,SPG-ENG-201,10.20.0.68,INSERT,SCADA,TELEMETRY_HISTORIAN,INSERT ON SCADA.TELEMETRY_HISTORIAN,7,0
2020-01-03T15:29:54.716,REPORT_USER,inaaya,SPG-HMI-195,10.20.0.62,SELECT,OMS,OUTAGE_EVENTS,SELECT * FROM OMS.OUTAGE_EVENTS,9,0
2020-01-03T20:29:03.500,SAANVI,saanvi,SPG-SUB-288,10.30.0.21,SELECT,EMS,LOAD_FORECAST,SELECT * FROM EMS.LOAD_FORECAST,1,0
2020-01-03T21:24:58.216,APP_SVC,navya,SPG-HMI-155,10.20.0.22,SELECT,EMS,LOAD_FORECAST,SELECT * FROM EMS.LOAD_FORECAST,17,0
2020-01-04T17:55:39.801,APP_SVC,mamooty,SPG-DNS-036,10.10.0.37,SELECT,EMS,LOAD_FORECAST,SELECT * FROM EMS.LOAD_FORECAST,6,1017
2020-01-04T18:30:42.015,APP_SVC,lakshay,SPG-HMI-143,10.20.0.10,INSERT,OMS,OUTAGE_EVENTS,INSERT ON OMS.OUTAGE_EVENTS,17,0
2020-01-05T07:32:01.121,REPORT_USER,prerak,SPG-AD-206,10.20.0.73,SELECT,EMS,LOAD_FORECAST,SELECT * FROM EMS.LOAD_FORECAST,48,0
2020-01-05T08:55:39.980,DBA_ADMIN,eshani,SPG-PLC-335,10.30.0.68,SELECT,OMS,OUTAGE_EVENTS,SELECT * FROM OMS.OUTAGE_EVENTS,3,0
2020-01-05T14:09:44.914,DBA_ADMIN,riaan,SPG-PLC-279,10.30.0.12,SELECT,BILLING,CONSUMER_ACCOUNTS,SELECT * FROM BILLING.CONSUMER_ACCOUNTS,19,0
2020-01-05T14:09:44.971,APP_SVC,riaan,SPG-PLC-279,10.30.0.12,SELECT,OMS,OUTAGE_EVENTS,SELECT * FROM OMS.OUTAGE_EVENTS,18,0
2020-01-06T05:05:41.665,IVANA,ivana,SPG-RTU-310,10.30.0.43,INSERT,BILLING,CONSUMER_ACCOUNTS,INSERT ON BILLING.CONSUMER_ACCOUNTS,41,0
2020-01-06T18:21:48.868,KAIRA,kaira,SPG-HMI-207,10.20.0.74,SELECT,OMS,OUTAGE_EVENTS,SELECT * FROM OMS.OUTAGE_EVENTS,40,1017
2020-01-06T18:28:48.628,DBA_ADMIN,purab,SPG-PLC-383,10.30.0.116,UPDATE,EMS,LOAD_FORECAST,UPDATE ON EMS.LOAD_FORECAST,25,0
2020-01-06T21:50:08.035,REPORT_USER,darshit,SPG-PLC-307,10.30.0.40,SELECT,SCADA,TELEMETRY_HISTORIAN,SELECT * FROM SCADA.TELEMETRY_HISTORIAN,2,1017
2020-01-07T13:54:24.541,DBA_ADMIN,devansh,SPG-PLC-359,10.30.0.92,SELECT,SCADA,BREAKER_STATUS,SELECT * FROM SCADA.BREAKER_STATUS,46,0
2020-01-08T05:10:20.248,REPORT_USER,adah,SPG-WEB-021,10.10.0.22,SELECT,OMS,OUTAGE_EVENTS,SELECT * FROM OMS.OUTAGE_EVENTS,8,0
2020-01-08T06:18:37.543,APP_SVC,mohanlal,SPG-PRX-078,10.10.0.79,UPDATE,SCADA,BREAKER_STATUS,UPDATE ON SCADA.BREAKER_STATUS,23,0
2020-01-08T10:40:54.800,REPORT_USER,reyansh,SPG-DNS-032,10.10.0.33,SELECT,BILLING,CONSUMER_ACCOUNTS,SELECT * FROM BILLING.CONSUMER_ACCOUNTS,14,0
2020-01-08T10:40:54.892,REYANSH,reyansh,SPG-DNS-032,10.10.0.33,SELECT,SCADA,BREAKER_STATUS,SELECT * FROM SCADA.BREAKER_STATUS,27,0
2020-01-08T13:42:56.219,ANIRUDDH,aniruddh,SPG-HIS-212,10.20.0.79,SELECT,SCADA,TELEMETRY_HISTORIAN,SELECT * FROM SCADA.TELEMETRY_HISTORIAN,11,0
2020-01-09T04:42:00.683,KRISH,krish,SPG-DNS-068,10.10.0.69,SELECT,SCADA,TELEMETRY_HISTORIAN,SELECT * FROM SCADA.TELEMETRY_HISTORIAN,0,0
2020-01-09T08:14:49.519,APP_SVC,renee,SPG-HIS-268,10.20.0.135,INSERT,SCADA,TELEMETRY_HISTORIAN,INSERT ON SCADA.TELEMETRY_HISTORIAN,42,0
2020-01-09T16:39:06.810,DBA_ADMIN,rhea,SPG-PRX-102,10.10.0.103,INSERT,SCADA,BREAKER_STATUS,INSERT ON SCADA.BREAKER_STATUS,43,0
2020-01-09T21:11:05.056,PRANAY,pranay,SPG-EMS-365,10.30.0.98,UPDATE,BILLING,CONSUMER_ACCOUNTS,UPDATE ON BILLING.CONSUMER_ACCOUNTS,4,0
2020-01-10T03:03:32.429,RHEA,rhea,SPG-WEB-061,10.10.0.62,INSERT,EMS,LOAD_FORECAST,INSERT ON EMS.LOAD_FORECAST,18,0
2020-01-10T11:21:05.483,DBA_ADMIN,tiya,SPG-HMI-231,168.142.251.35,DELETE,OMS,OUTAGE_EVENTS,DELETE ON OMS.OUTAGE_EVENTS,2945462,0
2020-01-10T12:12:04.949,DBA_ADMIN,zara,SPG-AD-210,10.20.0.77,SELECT,OMS,OUTAGE_EVENTS,SELECT * FROM OMS.OUTAGE_EVENTS,5,0
2020-01-10T14:14:27.221,ANYA,anya,SPG-HIS-140,10.20.0.7,INSERT,BILLING,CONSUMER_ACCOUNTS,INSERT ON BILLING.CONSUMER_ACCOUNTS,24,0
2020-01-12T02:22:07.576,NEHMAT,nehmat,SPG-RTU-286,10.30.0.19,UPDATE,BILLING,CONSUMER_ACCOUNTS,UPDATE ON BILLING.CONSUMER_ACCOUNTS,33,0
2020-01-12T19:32:14.107,YUVRAJ,yuvraj,SPG-ENG-205,10.20.0.72,SELECT,EMS,LOAD_FORECAST,SELECT * FROM EMS.LOAD_FORECAST,16,0
2020-01-13T05:43:16.942,ADVIK,advik,SPG-SUB-284,10.30.0.17,UPDATE,BILLING,CONSUMER_ACCOUNTS,UPDATE ON BILLING.CONSUMER_ACCOUNTS,38,0
2020-01-13T18:34:08.596,INDRANIL,indranil,SPG-HMI-263,10.20.0.130,SELECT,SCADA,BREAKER_STATUS,SELECT * FROM SCADA.BREAKER_STATUS,14,0
2020-01-13T18:34:08.726,DBA_ADMIN,indranil,SPG-HMI-263,10.20.0.130,SELECT,BILLING,CONSUMER_ACCOUNTS,SELECT * FROM BILLING.CONSUMER_ACCOUNTS,15,0
2020-01-14T11:17:37.850,ANAHITA,anahita,SPG-DNS-024,10.10.0.25,INSERT,OMS,OUTAGE_EVENTS,INSERT ON OMS.OUTAGE_EVENTS,46,0
2020-01-15T06:59:18.362,REPORT_USER,urvi,SPG-FTP-031,10.10.0.32,SELECT,SCADA,BREAKER_STATUS,SELECT * FROM SCADA.BREAKER_STATUS,19,0
2020-01-16T13:25:25.490,APP_SVC,samaira,SPG-ENG-225,10.20.0.92,SELECT,SCADA,TELEMETRY_HISTORIAN,SELECT * FROM SCADA.TELEMETRY_HISTORIAN,38,0
2020-01-17T02:47:55.716,DBA_ADMIN,vivaan,SPG-HIS-220,10.20.0.87,INSERT,OMS,OUTAGE_EVENTS,INSERT ON OMS.OUTAGE_EVENTS,16,0
2020-01-17T13:39:25.537,DBA_ADMIN,dhanush,SPG-PLC-359,10.30.0.92,SELECT,SCADA,TELEMETRY_HISTORIAN,SELECT * FROM SCADA.TELEMETRY_HISTORIAN,43,0
2020-01-18T01:03:26.182,APP_SVC,ayesha,SPG-SUB-300,10.30.0.33,SELECT,BILLING,CONSUMER_ACCOUNTS,SELECT * FROM BILLING.CONSUMER_ACCOUNTS,13,0
2020-01-18T01:03:26.591,DBA_ADMIN,ayesha,SPG-SUB-300,10.30.0.33,SELECT,SCADA,TELEMETRY_HISTORIAN,SELECT * FROM SCADA.TELEMETRY_HISTORIAN,30,0
2020-01-18T01:35:10.516,MANNAT,mannat,SPG-HIS-248,10.20.0.115,SELECT,SCADA,TELEMETRY_HISTORIAN,SELECT * FROM SCADA.TELEMETRY_HISTORIAN,16,0
2020-01-18T05:08:33.450,APP_SVC,khushi,SPG-HIS-164,10.20.0.31,UPDATE,SCADA,TELEMETRY_HISTORIAN,UPDATE ON SCADA.TELEMETRY_HISTORIAN,30,0
2020-01-18T15:26:42.088,REPORT_USER,faiyaz,SPG-HMI-231,10.20.0.98,INSERT,OMS,OUTAGE_EVENTS,INSERT ON OMS.OUTAGE_EVENTS,31,0
2020-01-19T12:39:42.820,DIVIT,divit,SPG-RTU-314,10.30.0.47,SELECT,OMS,OUTAGE_EVENTS,SELECT * FROM OMS.OUTAGE_EVENTS,5,0
2020-01-19T15:30:59.135,ANAY,anay,SPG-HIS-208,10.20.0.75,SELECT,SCADA,TELEMETRY_HISTORIAN,SELECT * FROM SCADA.TELEMETRY_HISTORIAN,31,0
2020-01-19T20:42:18.156,DBA_ADMIN,vardaniya,SPG-ENG-193,10.20.0.60,SELECT,SCADA,BREAKER_STATUS,SELECT * FROM SCADA.BREAKER_STATUS,1,0
2020-01-20T10:46:57.949,AMIRA,amira,SPG-HMI-207,10.20.0.74,SELECT,OMS,OUTAGE_EVENTS,SELECT * FROM OMS.OUTAGE_EVENTS,24,0
2020-01-20T14:24:47.866,HRIDAAN,hridaan,SPG-RTU-374,10.30.0.107,DELETE,OMS,OUTAGE_EVENTS,DELETE ON OMS.OUTAGE_EVENTS,45,0
2020-01-20T17:23:50.724,DBA_ADMIN,ayesha,SPG-PRX-102,10.10.0.103,UPDATE,SCADA,TELEMETRY_HISTORIAN,UPDATE ON SCADA.TELEMETRY_HISTORIAN,2,0
2020-01-20T21:36:36.503,DBA_ADMIN,jivika,SPG-ENG-233,10.20.0.100,SELECT,SCADA,BREAKER_STATUS,SELECT * FROM SCADA.BREAKER_STATUS,42,1017
2020-01-22T01:29:03.203,AAINA,aaina,SPG-PLC-291,10.30.0.24,SELECT,SCADA,TELEMETRY_HISTORIAN,SELECT * FROM SCADA.TELEMETRY_HISTORIAN,30,0
2020-01-22T02:24:56.074,APP_SVC,shaan,SPG-PLC-331,10.30.0.64,GRANT,SCADA,BREAKER_STATUS,GRANT ON SCADA.BREAKER_STATUS,5,0
2020-01-23T06:08:40.811,REPORT_USER,trisha,SPG-AD-258,10.20.0.125,SELECT,SCADA,TELEMETRY_HISTORIAN,SELECT * FROM SCADA.TELEMETRY_HISTORIAN,10,0
2020-01-23T20:15:53.993,HIRAN,hiran,SPG-EMS-349,10.30.0.82,SELECT,OMS,OUTAGE_EVENTS,SELECT * FROM OMS.OUTAGE_EVENTS,19,0
2020-01-23T20:28:27.736,DBA_ADMIN,zara,SPG-HMI-143,10.20.0.10,SELECT,BILLING,CONSUMER_ACCOUNTS,SELECT * FROM BILLING.CONSUMER_ACCOUNTS,9,0
2020-01-24T02:53:10.086,REPORT_USER,shlok,SPG-HIS-220,10.20.0.87,SELECT,BILLING,CONSUMER_ACCOUNTS,SELECT * FROM BILLING.CONSUMER_ACCOUNTS,26,0
2020-01-24T04:47:46.991,REPORT_USER,jiya,SPG-HMI-251,10.20.0.118,SELECT,SCADA,BREAKER_STATUS,SELECT * FROM SCADA.BREAKER_STATUS,23,0
2020-01-24T22:33:01.914,DBA_ADMIN,yakshit,SPG-RTU-314,10.30.0.47,UPDATE,EMS,LOAD_FORECAST,UPDATE ON EMS.LOAD_FORECAST,41,0
2020-01-25T00:03:26.232,AARUSH,aarush,SPG-FTP-027,10.10.0.28,SELECT,BILLING,CONSUMER_ACCOUNTS,SELECT * FROM BILLING.CONSUMER_ACCOUNTS,11,0
2020-01-25T14:45:02.171,APP_SVC,hansh,SPG-ENG-237,10.20.0.104,UPDATE,SCADA,TELEMETRY_HISTORIAN,UPDATE ON SCADA.TELEMETRY_HISTORIAN,48,0
2020-01-26T04:19:29.707,TRISHA,trisha,SPG-HIS-236,10.20.0.103,SELECT,BILLING,CONSUMER_ACCOUNTS,SELECT * FROM BILLING.CONSUMER_ACCOUNTS,25,0
2020-01-26T08:28:44.680,APP_SVC,kismat,SPG-PRX-130,10.10.0.131,INSERT,SCADA,BREAKER_STATUS,INSERT ON SCADA.BREAKER_STATUS,46,0
2020-01-26T11:48:23.279,DBA_ADMIN,ira,SPG-EMS-329,10.30.0.62,SELECT,OMS,OUTAGE_EVENTS,SELECT * FROM OMS.OUTAGE_EVENTS,5,0
2020-01-26T11:48:23.485,DBA_ADMIN,ira,SPG-EMS-329,10.30.0.62,SELECT,SCADA,TELEMETRY_HISTORIAN,SELECT * FROM SCADA.TELEMETRY_HISTORIAN,49,0
2020-01-27T11:45:52.365,DEVANSH,devansh,SPG-ENG-197,10.20.0.64,UPDATE,OMS,OUTAGE_EVENTS,UPDATE ON OMS.OUTAGE_EVENTS,17,0
2020-01-27T21:02:58.429,SAHIL,sahil,SPG-DNS-076,10.10.0.77,SELECT,EMS,LOAD_FORECAST,SELECT * FROM EMS.LOAD_FORECAST,13,0
2020-01-28T00:24:18.164,REPORT_USER,aayush,SPG-PRX-002,10.10.0.3,SELECT,SCADA,BREAKER_STATUS,SELECT * FROM SCADA.BREAKER_STATUS,20,0
2020-01-28T01:14:50.402,DBA_ADMIN,pranay,SPG-ENG-149,10.20.0.16,SELECT,SCADA,TELEMETRY_HISTORIAN,SELECT * FROM SCADA.TELEMETRY_HISTORIAN,47,0
2020-01-28T15:09:24.076,REPORT_USER,damini,SPG-SUB-284,10.30.0.17,SELECT,EMS,LOAD_FORECAST,SELECT * FROM EMS.LOAD_FORECAST,22,0
2020-01-29T10:47:51.653,DBA_ADMIN,rhea,SPG-EMS-349,10.30.0.82,SELECT,OMS,OUTAGE_EVENTS,SELECT * FROM OMS.OUTAGE_EVENTS,9,0
2020-01-30T01:28:13.039,DBA_ADMIN,bhamini,SPG-FTP-051,10.10.0.52,SELECT,EMS,LOAD_FORECAST,SELECT * FROM EMS.LOAD_FORECAST,41,0
