asset_id,hostname,ip,segment,role,os,criticality,exposed
AST-0001,SPG-WEB-001,10.10.0.2,Segment A,WEB,Linux,Low,False
AST-0002,SPG-PRX-002,10.10.0.3,Segment A,PRX,Linux,Low,False
AST-0003,SPG-FTP-003,10.10.0.4,Segment A,FTP,Linux,Low,False
AST-0004,SPG-DNS-004,10.10.0.5,Segment A,DNS,Linux,High,False
AST-0005,SPG-WEB-005,10.10.0.6,Segment A,WEB,Linux,High,False
AST-0006,SPG-PRX-006,10.10.0.7,Segment A,PRX,Windows,Low,True
AST-0007,SPG-FTP-007,10.10.0.8,Segment A,FTP,Linux,High,True
AST-0008,SPG-DNS-008,10.10.0.9,Segment A,DNS,Linux,Critical,True
AST-0009,SPG-WEB-009,10.10.0.10,Segment A,WEB,Linux,Low,False
AST-0010,SPG-PRX-010,10.10.0.11,Segment A,PRX,Linux,Medium,True
AST-0011,SPG-FTP-011,10.10.0.12,Segment A,FTP,Linux,High,False
AST-0012,SPG-DNS-012,10.10.0.13,Segment A,DNS,Windows,Critical,False
AST-0013,SPG-WEB-013,10.10.0.14,Segment A,WEB,Linux,Critical,True
AST-0014,SPG-PRX-014,10.10.0.15,Segment A,PRX,Linux,Low,False
AST-0015,SPG-FTP-015,10.10.0.16,Segment A,FTP,Linux,Low,False
AST-0016,SPG-DNS-016,10.10.0.17,Segment A,DNS,Linux,High,False
AST-0017,SPG-WEB-017,10.10.0.18,Segment A,WEB,Linux,Critical,False
AST-0018,SPG-PRX-018,10.10.0.19,Segment A,PRX,Windows,Critical,False
AST-0019,SPG-FTP-019,10.10.0.20,Segment A,FTP,Linux,Critical,False
AST-0020,SPG-DNS-020,10.10.0.21,Segment A,DNS,Linux,Critical,True
AST-0021,SPG-WEB-021,10.10.0.22,Segment A,WEB,Linux,High,True
AST-0022,SPG-PRX-022,10.10.0.23,Segment A,PRX,Linux,High,False
AST-0023,SPG-FTP-023,10.10.0.24,Segment A,FTP,Linux,Critical,False
AST-0024,SPG-DNS-024,10.10.0.25,Segment A,DNS,Windows,Low,False
AST-0025,SPG-WEB-025,10.10.0.26,Segment A,WEB,Linux,Medium,False
AST-0026,SPG-PRX-026,10.10.0.27,Segment A,PRX,Linux,Low,True
AST-0027,SPG-FTP-027,10.10.0.28,Segment A,FTP,Linux,High,False
AST-0028,SPG-DNS-028,10.10.0.29,Segment A,DNS,Linux,High,True
AST-0029,SPG-WEB-029,10.10.0.30,Segment A,WEB,Linux,Medium,False
AST-0030,SPG-PRX-030,10.10.0.31,Segment A,PRX,Windows,Low,True
AST-0031,SPG-FTP-031,10.10.0.32,Segment A,FTP,Linux,Critical,True
AST-0032,SPG-DNS-032,10.10.0.33,Segment A,DNS,Linux,Critical,True
AST-0033,SPG-WEB-033,10.10.0.34,Segment A,WEB,Linux,Low,False
AST-0034,SPG-PRX-034,10.10.0.35,Segment A,PRX,Linux,Medium,False
AST-0035,SPG-FTP-035,10.10.0.36,Segment A,FTP,Linux,Low,False
AST-0036,SPG-DNS-036,10.10.0.37,Segment A,DNS,Windows,Critical,False
AST-0037,SPG-WEB-037,10.10.0.38,Segment A,WEB,Linux,Medium,True
AST-0038,SPG-PRX-038,10.10.0.39,Segment A,PRX,Linux,Medium,False
AST-0039,SPG-FTP-039,10.10.0.40,Segment A,FTP,Linux,High,False
AST-0040,SPG-DNS-040,10.10.0.41,Segment A,DNS,Linux,Medium,True
AST-0041,SPG-WEB-041,10.10.0.42,Segment A,WEB,Linux,Critical,False
AST-0042,SPG-PRX-042,10.10.0.43,Segment A,PRX,Windows,Critical,False
AST-0043,SPG-FTP-043,10.10.0.44,Segment A,FTP,Linux,Critical,False
AST-0044,SPG-DNS-044,10.10.0.45,Segment A,DNS,Linux,Low,True
AST-0045,SPG-WEB-045,10.10.0.46,Segment A,WEB,Linux,Critical,False
AST-0046,SPG-PRX-046,10.10.0.47,Segment A,PRX,Linux,Medium,True
AST-0047,SPG-FTP-047,10.10.0.48,Segment A,FTP,Linux,Low,False
