asset_id,hostname,ip,segment,role,os,criticality,exposed,high_sev_alerts,first_seen,last_seen,permitted
AST-0006,SPG-PRX-006,10.10.0.7,Segment A,PRX,Windows,Low,True,23,2020-02-21T03:13:59.143918+0000,2023-10-10T12:41:42.244225+0000,14
AST-0007,SPG-FTP-007,10.10.0.8,Segment A,FTP,Linux,High,True,46,2020-01-16T18:04:33.917279+0000,2023-10-02T09:56:22.074081+0000,30
AST-0008,SPG-DNS-008,10.10.0.9,Segment A,DNS,Linux,Critical,True,38,2020-01-24T05:49:25.572028+0000,2023-10-04T02:08:48.659788+0000,27
AST-0010,SPG-PRX-010,10.10.0.11,Segment A,PRX,Linux,Medium,True,43,2020-04-14T15:51:29.544304+0000,2023-07-15T01:43:07.755696+0000,27
AST-0013,SPG-WEB-013,10.10.0.14,Segment A,WEB,Linux,Critical,True,44,2020-03-24T05:59:35.719448+0000,2023-09-23T20:02:39.077990+0000,29
AST-0020,SPG-DNS-020,10.10.0.21,Segment A,DNS,Linux,Critical,True,44,2020-01-17T16:49:35.160321+0000,2023-07-23T01:32:23.388179+0000,28
AST-0021,SPG-WEB-021,10.10.0.22,Segment A,WEB,Linux,High,True,44,2020-01-12T00:11:43.844128+0000,2023-09-24T03:26:03.017493+0000,34
AST-0026,SPG-PRX-026,10.10.0.27,Segment A,PRX,Linux,Low,True,45,2020-01-01T13:01:19.289089+0000,2023-09-10T09:24:28.778141+0000,31
AST-0028,SPG-DNS-028,10.10.0.29,Segment A,DNS,Linux,High,True,64,2020-02-18T00:02:41.429214+0000,2023-08-12T18:30:31.951975+0000,43
AST-0030,SPG-PRX-030,10.10.0.31,Segment A,PRX,Windows,Low,True,26,2020-02-22T02:35:25.297651+0000,2023-07-05T21:07:52.452153+0000,18
AST-0031,SPG-FTP-031,10.10.0.32,Segment A,FTP,Linux,Critical,True,50,2020-01-15T06:59:18.118923+0000,2023-09-25T04:24:43.745674+0000,33
AST-0032,SPG-DNS-032,10.10.0.33,Segment A,DNS,Linux,Critical,True,51,2020-01-03T16:21:05.191021+0000,2023-09-30T01:06:40.483960+0000,33
AST-0037,SPG-WEB-037,10.10.0.38,Segment A,WEB,Linux,Medium,True,58,2020-02-03T13:51:13.394627+0000,2023-10-05T04:54:53.292390+0000,28
AST-0040,SPG-DNS-040,10.10.0.41,Segment A,DNS,Linux,Medium,True,51,2020-02-22T18:23:59.312164+0000,2023-10-01T11:26:33.539234+0000,38
AST-0044,SPG-DNS-044,10.10.0.45,Segment A,DNS,Linux,Low,True,47,2020-01-13T11:39:19.755030+0000,2023-09-11T04:35:59.014230+0000,30
AST-0046,SPG-PRX-046,10.10.0.47,Segment A,PRX,Linux,Medium,True,47,2020-01-28T08:26:31.148986+0000,2023-07-21T13:40:05.542511+0000,28
AST-0049,SPG-WEB-049,10.10.0.50,Segment A,WEB,Linux,Critical,True,51,2020-05-05T20:51:54.167632+0000,2023-09-13T11:11:53.423175+0000,31
AST-0050,SPG-PRX-050,10.10.0.51,Segment A,PRX,Linux,Critical,True,44,2020-01-05T09:12:14.368516+0000,2023-10-08T13:16:56.940763+0000,26
AST-0052,SPG-DNS-052,10.10.0.53,Segment A,DNS,Linux,High,True,54,2020-02-15T05:06:16.240471+0000,2023-10-06T03:59:08.016950+0000,41
AST-0055,SPG-FTP-055,10.10.0.56,Segment A,FTP,Linux,Low,True,58,2020-02-09T02:12:51.571358+0000,2023-10-07T15:23:57.944925+0000,41
AST-0059,SPG-FTP-059,10.10.0.60,Segment A,FTP,Linux,High,True,55,2020-01-02T10:18:29.019767+0000,2023-08-20T15:05:15.607965+0000,36
AST-0060,SPG-DNS-060,10.10.0.61,Segment A,DNS,Windows,Medium,True,26,2020-03-10T14:30:44.360970+0000,2023-07-19T01:22:01.083555+0000,19
AST-0061,SPG-WEB-061,10.10.0.62,Segment A,WEB,Linux,Medium,True,73,2020-01-23T15:40:30.015985+0000,2023-09-30T16:37:39.347103+0000,50
AST-0065,SPG-WEB-065,10.10.0.66,Segment A,WEB,Linux,Critical,True,36,2020-02-19T04:48:03.810744+0000,2023-08-27T13:45:25.876153+0000,23
AST-0066,SPG-PRX-066,10.10.0.67,Segment A,PRX,Windows,Low,True,23,2020-02-03T11:16:52.964531+0000,2023-09-28T12:35:28.306202+0000,13
AST-0068,SPG-DNS-068,10.10.0.69,Segment A,DNS,Linux,High,True,41,2020-01-18T21:53:33.170365+0000,2023-10-04T17:17:30.649090+0000,26
AST-0069,SPG-WEB-069,10.10.0.70,Segment A,WEB,Linux,High,True,55,2020-01-03T19:05:11.373770+0000,2023-08-31T13:21:24.854324+0000,37
AST-0070,SPG-PRX-070,10.10.0.71,Segment A,PRX,Linux,Critical,True,38,2020-02-06T15:52:58.499466+0000,2023-06-18T09:19:30.929326+0000,22
AST-0076,SPG-DNS-076,10.10.0.77,Segment A,DNS,Linux,High,True,40,2020-01-27T21:02:58.560036+0000,2023-05-18T12:16:05.704601+0000,28
AST-0081,SPG-WEB-081,10.10.0.82,Segment A,WEB,Linux,Low,True,54,2020-02-26T17:04:12.432354+0000,2023-10-08T19:02:27.158439+0000,30
AST-0082,SPG-PRX-082,10.10.0.83,Segment A,PRX,Linux,Critical,True,43,2020-01-01T20:13:23.025107+0000,2023-10-07T05:18:19.618535+0000,33
AST-0085,SPG-WEB-085,10.10.0.86,Segment A,WEB,Linux,High,True,44,2020-02-18T21:13:10.944342+0000,2023-09-25T17:06:44.983849+0000,29
AST-0089,SPG-WEB-089,10.10.0.90,Segment A,WEB,Linux,Critical,True,36,2020-02-25T06:15:42.009615+0000,2023-09-23T06:18:03.917301+0000,27
AST-0093,SPG-WEB-093,10.10.0.94,Segment A,WEB,Linux,Critical,True,60,2020-02-25T03:21:06.860876+0000,2023-08-09T00:39:55.409131+0000,42
AST-0094,SPG-PRX-094,10.10.0.95,Segment A,PRX,Linux,Critical,True,47,2020-01-12T21:02:10.616941+0000,2023-09-20T03:55:50.965111+0000,29
AST-0095,SPG-FTP-095,10.10.0.96,Segment A,FTP,Linux,High,True,36,2020-02-14T13:00:40.388254+0000,2023-09-23T16:44:31.941599+0000,21
AST-0097,SPG-WEB-097,10.10.0.98,Segment A,WEB,Linux,Low,True,42,2020-01-09T21:57:25.829210+0000,2023-09-27T06:59:09.981940+0000,29
AST-0098,SPG-PRX-098,10.10.0.99,Segment A,PRX,Linux,Medium,True,54,2020-01-13T07:02:44.825908+0000,2023-08-11T01:31:40.310700+0000,29
AST-0100,SPG-DNS-100,10.10.0.101,Segment A,DNS,Linux,Medium,True,27,2020-02-21T15:41:40.337450+0000,2023-09-04T12:59:22.347581+0000,20
AST-0102,SPG-PRX-102,10.10.0.103,Segment A,PRX,Windows,Low,True,20,2020-02-24T15:11:41.815482+0000,2022-12-25T11:28:37.210522+0000,13
AST-0103,SPG-FTP-103,10.10.0.104,Segment A,FTP,Linux,Critical,True,53,2020-02-19T23:44:09.982933+0000,2023-10-05T13:55:02.454509+0000,34
AST-0105,SPG-WEB-105,10.10.0.106,Segment A,WEB,Linux,Critical,True,45,2020-02-22T01:32:16.935392+0000,2023-09-11T15:59:03.717500+0000,27
AST-0106,SPG-PRX-106,10.10.0.107,Segment A,PRX,Linux,High,True,51,2020-01-23T14:31:14.670501+0000,2023-10-06T14:23:45.614477+0000,33
AST-0108,SPG-DNS-108,10.10.0.109,Segment A,DNS,Windows,Critical,True,28,2020-01-17T20:22:26.007008+0000,2023-09-01T21:28:46.064350+0000,19
AST-0111,SPG-FTP-111,10.10.0.112,Segment A,FTP,Linux,Low,True,40,2020-03-09T12:06:17.183202+0000,2023-09-16T01:16:01.727686+0000,28
AST-0112,SPG-DNS-112,10.10.0.113,Segment A,DNS,Linux,High,True,47,2020-01-11T04:26:05.445972+0000,2023-08-27T09:33:30.076029+0000,30
AST-0114,SPG-PRX-114,10.10.0.115,Segment A,PRX,Windows,High,True,21,2020-09-25T10:01:30.856753+0000,2023-09-15T14:16:55.155684+0000,17
AST-0119,SPG-FTP-119,10.10.0.120,Segment A,FTP,Linux,High,True,45,2020-01-04T10:39:32.332006+0000,2023-09-11T22:36:58.561779+0000,23
AST-0120,SPG-DNS-120,10.10.0.121,Segment A,DNS,Windows,High,True,21,2020-02-14T11:50:13.370253+0000,2023-06-01T04:54:33.431555+0000,19
AST-0123,SPG-FTP-123,10.10.0.124,Segment A,FTP,Linux,High,True,48,2020-02-24T07:20:57.032113+0000,2023-10-05T08:45:22.730418+0000,30
AST-0130,SPG-PRX-130,10.10.0.131,Segment A,PRX,Linux,Critical,True,52,2020-02-21T15:42:29.362127+0000,2023-08-13T00:36:19.438862+0000,32
AST-0133,SPG-WEB-133,10.10.0.134,Segment A,WEB,Linux,High,True,33,2020-01-06T21:33:34.701860+0000,2023-08-04T15:11:01.472778+0000,21
AST-0140,SPG-HIS-140,10.20.0.7,Segment B,HIS,Linux,Critical,True,70,2020-01-23T02:54:29.050809+0000,2023-10-05T01:33:56.367204+0000,45
AST-0144,SPG-HIS-144,10.20.0.11,Segment B,HIS,Windows,Critical,True,24,2020-04-12T11:58:41.520614+0000,2023-09-26T04:23:33.561629+0000,13
AST-0145,SPG-ENG-145,10.20.0.12,Segment B,ENG,Linux,Medium,True,57,2020-01-17T00:56:52.883222+0000,2023-08-07T07:55:59.819733+0000,34
AST-0148,SPG-HIS-148,10.20.0.15,Segment B,HIS,Linux,Critical,True,61,2020-01-03T01:20:46.759759+0000,2023-10-09T22:42:37.289144+0000,44
AST-0154,SPG-AD-154,10.20.0.21,Segment B,AD,Windows,Critical,True,19,2020-04-23T03:16:02.102928+0000,2023-09-23T05:07:22.555319+0000,13
AST-0155,SPG-HMI-155,10.20.0.22,Segment B,HMI,Linux,Critical,True,36,2020-01-03T21:24:58.189882+0000,2023-10-05T14:27:36.444480+0000,25
AST-0158,SPG-AD-158,10.20.0.25,Segment B,AD,Windows,Medium,True,22,2020-03-05T05:58:19.909447+0000,2023-09-06T20:36:19.739976+0000,14
AST-0162,SPG-AD-162,10.20.0.29,Segment B,AD,Windows,High,True,14,2020-02-16T01:31:19.848735+0000,2022-12-25T11:08:32.152515+0000,11
AST-0165,SPG-ENG-165,10.20.0.32,Segment B,ENG,Linux,High,True,67,2020-01-25T18:51:50.628505+0000,2023-09-29T14:07:06.073680+0000,42
AST-0166,SPG-AD-166,10.20.0.33,Segment B,AD,Windows,Critical,True,26,2020-02-22T21:07:56.107065+0000,2023-06-09T20:42:19.938369+0000,15
AST-0168,SPG-HIS-168,10.20.0.35,Segment B,HIS,Windows,Low,True,15,2020-04-10T09:49:43.140076+0000,2023-05-21T03:32:44.623279+0000,11
AST-0169,SPG-ENG-169,10.20.0.36,Segment B,ENG,Linux,Medium,True,69,2020-01-06T02:17:27.191354+0000,2023-10-07T21:13:30.946529+0000,45
