date,time,devname,devid,level,srcip,srcport,srcintf,dstip,dstport,dstintf,proto,service,action,policyid,sentbyte,rcvdbyte,sentpkt,appcat,crscore,crlevel,utmaction,srccountry,attack,disposition
2020-01-01,00:43:27,NTN-FW-C-01,FG100F22186,alert,159.63.40.232,30053,wan1,10.30.0.127,53,core,17,DNS,deny,3,1428,0,2,unscanned,40,alert,block,India,Intrusion,Blocked
2020-01-01,03:02:42,NTN-FW-C-01,FG100F22186,alert,152.81.184.63,0,wan1,10.30.0.57,0,core,1,PING,accept,18,429,2699,1,Network.Service,41,alert,allow,India,Malware,Logged
2020-01-01,03:11:48,NTN-FW-B-01,FG100F19947,alert,161.219.235.160,35780,wan1,10.20.0.54,443,app,17,HTTPS,accept,21,850,2846,1,Network.Service,46,alert,allow,India,DDoS,Ignored
2020-01-01,05:17:19,NTN-FW-A-01,FG100F63397,warning,98.253.138.239,30895,wan1,10.10.0.73,21,dmz,6,FTP,accept,21,123,3854,1,Network.Service,66,warning,allow,India,Intrusion,Logged
2020-01-01,05:21:39,NTN-FW-A-01,FG100F63397,warning,187.193.14.136,38883,wan1,10.10.0.90,2121,dmz,17,FTP,deny,3,68,0,1,unscanned,60,warning,block,India,DDoS,Blocked
2020-01-01,06:37:14,NTN-FW-B-01,FG100F19947,warning,43.86.163.245,0,wan1,10.20.0.82,0,app,1,PING,accept,7,1289,1656,2,Network.Service,45,warning,allow,India,Intrusion,Ignored
2020-01-01,14:32:55,NTN-FW-B-01,FG100F19947,notice,185.231.47.97,29855,wan1,10.20.0.42,990,app,17,FTPS,deny,12,1242,0,2,unscanned,57,notice,block,India,Intrusion,Blocked
2020-01-01,18:20:06,NTN-FW-C-01,FG100F22186,notice,120.101.38.222,0,wan1,10.30.0.62,0,core,1,PING,accept,7,939,3727,1,Network.Service,51,notice,allow,India,DDoS,Ignored
2020-01-01,19:14:34,NTN-FW-B-01,FG100F19947,alert,196.105.12.202,48354,wan1,10.20.0.114,990,app,6,FTPS,accept,7,991,1043,1,Network.Service,90,alert,allow,India,Malware,Ignored
2020-01-01,20:01:32,NTN-FW-C-01,FG100F22186,alert,47.4.110.93,28041,wan1,10.30.0.113,21,core,6,FTP,accept,21,601,602,1,Network.Service,55,alert,allow,India,Intrusion,Logged
2020-01-01,20:13:23,NTN-FW-A-01,FG100F63397,alert,158.1.128.69,0,wan1,10.10.0.17,0,dmz,1,PING,deny,18,1160,0,1,unscanned,83,alert,block,India,DDoS,Blocked
