ts,uid,src_ip,src_port,resolver_ip,resolver_port,proto,trans_id,query,qtype,rcode,answers,rejected
2020-01-01 00:43:27,Cxj83awlfuhf4i4n.,159.63.40.232,30053,10.30.0.127,53,udp,41473,nilgiritelecom.example,TXT,REFUSED,-,T
2020-01-01 01:14:07,Cgamr9f95j7.info,203.224.244.176,9478,10.30.0.60,53,udp,4045,072sbvwnwaviuvo.info,A,REFUSED,-,T
2020-01-01 03:02:42,C3mo4sa1i7bsj6.in,152.81.184.63,37238,10.30.0.57,53,udp,3284,35a6raa047kdgn.click,AAAA,NXDOMAIN,55.72.212.28,F
2020-01-01 04:30:19,Cwq870cwbxvhw7s0j,44.217.33.10,1508,10.30.0.19,53,tcp,14514,netbanking.nilgiritelecom.example,AAAA,REFUSED,-,T
2020-01-01 07:59:41,Cuye9sz0rrxm0a7wb,47.120.123.121,14060,10.30.0.121,53,tcp,60681,brfwjir64s4i21.top,MX,REFUSED,-,T
2020-01-01 16:38:59,C5tpe0uq0q26grfdn,4.214.78.160,37772,10.30.0.95,53,udp,46644,ns1.nilgiritelecom.example,MX,NOERROR,73.172.224.194,F
2020-01-01 18:20:06,Cd2v4st475bja4b1.,120.101.38.222,38572,10.30.0.62,53,udp,32783,ANY.mail.nilgiritelecom.example,ANY,NOERROR,209.32.245.82,F
2020-01-01 22:46:44,Clvosoqf440.top,115.197.71.90,34822,10.10.0.133,53,udp,31655,hn8oesqn57twdrx.xyz,A,REFUSED,-,T
2020-01-01 23:08:08,C08v2f8l3ywm.top,85.149.183.151,15272,10.20.0.67,53,udp,47283,ANY.ns1.nilgiritelecom.example,ANY,NOERROR,63.15.18.211,F
2020-01-02 13:47:58,Cdw4x5eiz8xjtctn0,115.97.20.95,6830,10.10.0.128,53,udp,23611,y53an80wv6834e.xyz,A,NXDOMAIN,103.166.64.151,F
2020-01-02 17:30:26,Ct0xagmuuz9aiauxr,216.202.242.15,62380,10.10.0.79,53,udp,37741,google.com,TXT,NOERROR,181.93.185.217,F
2020-01-02 23:59:19,Cqzr48zqmzdu1j.cl,214.194.89.72,14045,10.10.0.104,53,udp,46096,8utvfw620y74sz3yh.click,MX,NOERROR,137.13.158.56,F
2020-01-03 01:20:46,Clbz8omllqkp78dj4,110.88.185.72,58765,10.20.0.79,53,tcp,51707,ANY.nilgiritelecom.example,ANY,NOERROR,136.44.65.195,F
2020-01-03 07:11:03,Cahlwt6l8nshhg6l1,117.243.12.223,15672,10.10.0.59,53,udp,53825,ANY.mail.nilgiritelecom.example,ANY,REFUSED,-,T
2020-01-03 11:37:01,C2wq81g1dx9g6wno.,157.73.79.253,10325,10.10.0.105,53,udp,62041,7helnpzdiu9t.xyz,AAAA,NOERROR,119.118.95.166,F
2020-01-03 13:20:11,Ccahhfnl6nzf1524.,142.190.182.51,50241,10.20.0.133,53,tcp,26593,nilgiritelecom.example,A,REFUSED,-,T
2020-01-03 16:35:43,Ctkmlnnjwrhsaak4q,192.60.60.85,41821,10.10.0.128,53,udp,61573,vu5gmuhiv5fo.xyz,A,NXDOMAIN,138.235.78.23,F
