timestamp,device,message_id,result,user,client_ip,detail
2020-01-01 13:01:19,NTN-VPN-01,ASA-113005,REJECTED,adira.bhardwaj,212.44.143.201,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-01 18:19:28,NTN-VPN-01,ASA-113005,REJECTED,anika.lala,73.139.105.200,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-02 21:56:12,NTN-VPN-01,ASA-722051,CONNECTED,suhana.bhargava,11.116.234.13,Group <SSL-Staff> User <suhana.bhargava> IP <11.116.234.13> IPv4 Address <10.99.2.51> assi
2020-01-03 07:11:03,NTN-VPN-01,ASA-722051,CONNECTED,aniruddh.bawa,117.243.12.223,Group <SSL-Staff> User <aniruddh.bawa> IP <117.243.12.223> IPv4 Address <10.99.0.129> assi
2020-01-03 22:10:49,NTN-VPN-01,ASA-113005,REJECTED,kismat.bhatti,8.182.28.62,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-04 02:24:56,NTN-VPN-01,ASA-722051,CONNECTED,parinaaz.kunda,60.41.118.65,Group <SSL-Staff> User <parinaaz.kunda> IP <60.41.118.65> IPv4 Address <10.99.0.250> assig
2020-01-05 21:21:20,NTN-VPN-01,ASA-113005,REJECTED,shayak.thaker,162.224.1.2,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-06 00:56:01,NTN-VPN-01,ASA-113005,REJECTED,jiya.chowdhury,73.99.218.98,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-06 19:22:08,NTN-VPN-01,ASA-113005,REJECTED,zaina.jani,21.186.189.214,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-06 21:02:37,NTN-VPN-01,ASA-722051,CONNECTED,keya.bhattacharyya,128.71.83.240,Group <SSL-Staff> User <keya.bhattacharyya> IP <128.71.83.240> IPv4 Address <10.99.0.47> a
2020-01-07 02:26:41,NTN-VPN-01,ASA-722051,CONNECTED,badal.chadha,176.139.14.231,Group <SSL-Staff> User <badal.chadha> IP <176.139.14.231> IPv4 Address <10.99.2.159> assig
2020-01-07 03:38:09,NTN-VPN-01,ASA-722051,CONNECTED,indrajit.bala,58.93.5.221,Group <SSL-Staff> User <indrajit.bala> IP <58.93.5.221> IPv4 Address <10.99.0.248> assigne
2020-01-07 12:22:41,NTN-VPN-01,ASA-113005,REJECTED,hansh.dasgupta,61.215.56.19,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-08 00:29:13,NTN-VPN-01,ASA-722051,CONNECTED,anaya.sodhi,145.33.37.124,Group <SSL-Staff> User <anaya.sodhi> IP <145.33.37.124> IPv4 Address <10.99.3.65> assigned
2020-01-08 21:16:53,NTN-VPN-01,ASA-722051,CONNECTED,nayantara.ghose,117.223.29.187,Group <SSL-Staff> User <nayantara.ghose> IP <117.223.29.187> IPv4 Address <10.99.3.224> as
2020-01-10 15:46:12,NTN-VPN-01,ASA-113005,REJECTED,zoya.dass,106.54.99.1,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-11 04:25:49,NTN-VPN-01,ASA-113005,REJECTED,madhup.behl,95.186.83.44,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-11 10:29:51,NTN-VPN-01,ASA-113005,REJECTED,rasha.saini,110.217.198.242,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-11 13:38:59,NTN-VPN-01,ASA-722051,CONNECTED,baiju.gulati,197.228.218.248,Group <SSL-Staff> User <baiju.gulati> IP <197.228.218.248> IPv4 Address <10.99.2.70> assig
2020-01-12 21:13:16,NTN-VPN-01,ASA-722051,CONNECTED,kaira.krishnan,217.155.234.218,Group <SSL-Staff> User <kaira.krishnan> IP <217.155.234.218> IPv4 Address <10.99.0.242> as
2020-01-15 02:58:28,NTN-VPN-01,ASA-722051,CONNECTED,ela.wali,15.125.154.143,Group <SSL-Staff> User <ela.wali> IP <15.125.154.143> IPv4 Address <10.99.1.6> assigned to
2020-01-15 14:40:53,NTN-VPN-01,ASA-722051,CONNECTED,anaya.sawhney,13.147.35.167,Group <SSL-Staff> User <anaya.sawhney> IP <13.147.35.167> IPv4 Address <10.99.2.152> assig
2020-01-16 02:45:04,NTN-VPN-01,ASA-722051,CONNECTED,jayesh.chauhan,165.102.234.57,Group <SSL-Staff> User <jayesh.chauhan> IP <165.102.234.57> IPv4 Address <10.99.1.86> assi
2020-01-16 03:32:52,NTN-VPN-01,ASA-722051,CONNECTED,kiaan.sampath,54.109.3.93,Group <SSL-Staff> User <kiaan.sampath> IP <54.109.3.93> IPv4 Address <10.99.1.82> assigned
2020-01-16 09:43:53,NTN-VPN-01,ASA-722051,CONNECTED,mehul.halder,156.1.136.203,Group <SSL-Staff> User <mehul.halder> IP <156.1.136.203> IPv4 Address <10.99.3.83> assigne
2020-01-16 21:39:50,NTN-VPN-01,ASA-113005,REJECTED,arnav.halder,199.53.146.32,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-17 04:05:29,NTN-VPN-01,ASA-113005,REJECTED,ehsaan.gokhale,194.25.178.49,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-17 13:36:25,NTN-VPN-01,ASA-722051,CONNECTED,divij.luthra,176.135.123.40,Group <SSL-Staff> User <divij.luthra> IP <176.135.123.40> IPv4 Address <10.99.0.20> assign
2020-01-17 20:22:26,NTN-VPN-01,ASA-722051,CONNECTED,renee.sethi,222.136.178.233,Group <SSL-Staff> User <renee.sethi> IP <222.136.178.233> IPv4 Address <10.99.3.131> assig
2020-01-18 21:53:33,NTN-VPN-01,ASA-113005,REJECTED,vardaniya.dixit,101.52.26.71,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-19 22:58:36,NTN-VPN-01,ASA-722051,CONNECTED,samaira.bora,136.105.211.47,Group <SSL-Staff> User <samaira.bora> IP <136.105.211.47> IPv4 Address <10.99.3.51> assign
2020-01-20 06:08:44,NTN-VPN-01,ASA-722051,CONNECTED,hunar.dalal,129.20.37.73,Group <SSL-Staff> User <hunar.dalal> IP <129.20.37.73> IPv4 Address <10.99.1.65> assigned 
2020-01-20 10:46:57,NTN-VPN-01,ASA-113005,REJECTED,amira.acharya,115.77.213.114,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-20 16:00:20,NTN-VPN-01,ASA-113005,REJECTED,hiran.manne,148.117.142.69,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-21 00:26:46,NTN-VPN-01,ASA-113005,REJECTED,sahil.kothari,121.69.71.233,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-21 05:01:33,NTN-VPN-01,ASA-113005,REJECTED,neelofar.walla,36.234.201.216,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-21 08:17:52,NTN-VPN-01,ASA-113005,REJECTED,yasmin.mahal,88.244.27.177,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-21 13:29:54,NTN-VPN-01,ASA-113005,REJECTED,saira.devi,214.102.169.57,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-22 11:17:45,NTN-VPN-01,ASA-722051,CONNECTED,sana.mannan,150.6.210.204,Group <SSL-Staff> User <sana.mannan> IP <150.6.210.204> IPv4 Address <10.99.2.234> assigne
2020-01-23 16:52:35,NTN-VPN-01,ASA-722051,CONNECTED,rasha.bhatt,21.127.187.51,Group <SSL-Staff> User <rasha.bhatt> IP <21.127.187.51> IPv4 Address <10.99.1.180> assigne
2020-01-23 20:28:27,NTN-VPN-01,ASA-113005,REJECTED,zara.sule,136.3.29.191,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-23 21:38:29,NTN-VPN-01,ASA-113005,REJECTED,keya.sami,201.122.144.175,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-24 14:30:05,NTN-VPN-01,ASA-722051,CONNECTED,nirvi.kurian,56.251.88.234,Group <SSL-Staff> User <nirvi.kurian> IP <56.251.88.234> IPv4 Address <10.99.1.187> assign
2020-01-24 19:34:51,NTN-VPN-01,ASA-113005,REJECTED,anika.tella,101.157.116.64,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-24 21:05:31,NTN-VPN-01,ASA-722051,CONNECTED,gokul.ahluwalia,164.33.61.46,Group <SSL-Staff> User <gokul.ahluwalia> IP <164.33.61.46> IPv4 Address <10.99.0.138> assi
2020-01-24 23:28:13,NTN-VPN-01,ASA-113005,REJECTED,oorja.saraf,153.44.4.152,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-25 02:38:32,NTN-VPN-01,ASA-113005,REJECTED,aarush.anne,144.182.52.69,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-26 05:37:27,NTN-VPN-01,ASA-113005,REJECTED,parinaaz.agrawal,139.204.75.135,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-26 12:44:05,NTN-VPN-01,ASA-113005,REJECTED,mishti.karan,70.233.248.196,AAA user authentication Rejected : reason = Invalid password : server = 10.30.1.5 : user =
2020-01-26 13:13:26,NTN-VPN-01,ASA-722051,CONNECTED,elakshi.chanda,2.85.59.62,Group <SSL-Staff> User <elakshi.chanda> IP <2.85.59.62> IPv4 Address <10.99.1.125> assigne
2020-01-26 16:27:39,NTN-VPN-01,ASA-722051,CONNECTED,diya.bhasin,72.195.253.88,Group <SSL-Staff> User <diya.bhasin> IP <72.195.253.88> IPv4 Address <10.99.0.203> assigne
