timestamp,hostname,process,pid,src_ip,message
2020-01-01 01:14:07,NTN-MSC-327,CRON,12739,,(www-data) CMD (/tmp/.4rt15a/kworkerd --pool 23.45.1.9:4444)
2020-01-01 03:29:20,NTN-CORE-338,kernel,,21.158.215.82,TCP: request_sock_TCP: Possible SYN flooding on port 2121. Sending cookies. Check SNMP counters. [src=21.158.215.82]
2020-01-01 04:19:53,NTN-WEB-117,sshd,37897,157.106.20.60,Failed password for invalid user root from 157.106.20.60 port 30519 ssh2
2020-01-01 04:30:19,NTN-CORE-286,sshd,49436,44.217.33.10,Failed password for invalid user admin from 44.217.33.10 port 1508 ssh2
2020-01-01 06:37:49,NTN-CORE-382,CRON,40905,,(diya.kala) CMD (/tmp/.6s8nqw/kworkerd --pool 173.32.1.9:4444)
2020-01-01 07:59:41,NTN-OSS-388,CRON,58700,,(www-data) CMD (/tmp/.8fr9gf/kworkerd --pool 118.250.1.9:4444)
2020-01-01 08:05:12,NTN-BSS-140,kernel,,115.177.22.220,TCP: request_sock_TCP: Possible SYN flooding on port 990. Sending cookies. Check SNMP counters. [src=115.177.22.220]
2020-01-01 08:37:40,NTN-AAA-173,kernel,,46.182.142.60,TCP: request_sock_TCP: Possible SYN flooding on port 2121. Sending cookies. Check SNMP counters. [src=46.182.142.60]
2020-01-01 08:58:10,NTN-MSC-319,kernel,,92.78.39.166,TCP: request_sock_TCP: Possible SYN flooding on port 8080. Sending cookies. Check SNMP counters. [src=92.78.39.166]
2020-01-01 10:54:16,NTN-CRM-235,sshd,59748,189.122.92.192,Failed password for invalid user samiha.dora from 189.122.92.192 port 53343 ssh2
2020-01-01 12:29:42,NTN-WEB-113,sshd,40093,80.11.33.124,Failed password for invalid user test from 80.11.33.124 port 54662 ssh2
2020-01-01 13:01:19,NTN-WEB-025,sshd,29647,212.44.143.201,Failed password for invalid user ubuntu from 212.44.143.201 port 33152 ssh2
2020-01-01 13:40:25,NTN-DNS-103,sshd,36509,147.185.56.132,Failed password for invalid user admin from 147.185.56.132 port 20513 ssh2
2020-01-01 16:38:59,NTN-CORE-362,sshd,48824,4.214.78.160,Failed password for invalid user admin from 4.214.78.160 port 37772 ssh2
