TimeGenerated,SystemAlertId,AlertName,AlertSeverity,Status,ProviderName,VendorName,Tactics,Techniques,CompromisedEntity,RemediationSteps,Entities,ExtendedProperties
2020-01-01 03:02:42.0000000,8e39f28e-ec0c-7b4a-f3c8-8700bed4de5a,ET MALWARE Generic C2 Beacon Activity,High,New,Azure Sentinel Analytics,Microsoft,CommandAndControl,T1071,NTN-OSS-324,Block IoC at perimeter,"[{""Type"": ""ip"", ""Address"": ""152.81.184.63""}, {""Type"": ""host"", ""HostName"": ""NTN-OSS-324""}]","{""Action"": ""Logged"", ""Segment"": ""Segment C"", ""AnomalyScore"": 41.29, ""Signature"": ""Known Pattern A""}"
2020-01-01 08:58:10.0000000,fc9611a7-7e63-bd33-804c-57ec53d46746,ET DOS Possible SYN Flood Inbound,High,New,Azure Sentinel Analytics,Microsoft,Impact,T1498,NTN-MSC-319,Block IoC at perimeter,"[{""Type"": ""ip"", ""Address"": ""92.78.39.166""}, {""Type"": ""host"", ""HostName"": ""NTN-MSC-319""}]","{""Action"": ""Logged"", ""Segment"": ""Segment C"", ""AnomalyScore"": 67.79, ""Signature"": ""Known Pattern A""}"
2020-01-01 13:01:19.0000000,a56d9c55-5118-2dcc-8efc-6b9274267ccb,ET SCAN SSH/RDP Brute Force Attempt,High,Resolved,Azure Sentinel Analytics,Microsoft,InitialAccess,T1190,NTN-WEB-025,Isolate host and reset credentials,"[{""Type"": ""ip"", ""Address"": ""212.44.143.201""}, {""Type"": ""host"", ""HostName"": ""NTN-WEB-025""}]","{""Action"": ""Blocked"", ""Segment"": ""Segment A"", ""AnomalyScore"": 72.36, ""Signature"": ""Known Pattern B""}"
2020-01-01 13:40:25.0000000,5de89801-fae0-05d1-a5d1-aa92cd6bd5cc,ET EXPLOIT Apache Log4j RCE Attempt (CVE-2021-44228),High,New,Azure Sentinel Analytics,Microsoft,InitialAccess,T1190,NTN-DNS-103,Isolate host and reset credentials,"[{""Type"": ""ip"", ""Address"": ""147.185.56.132""}, {""Type"": ""host"", ""HostName"": ""NTN-DNS-103""}]","{""Action"": ""Logged"", ""Segment"": ""Segment A"", ""AnomalyScore"": 3.59, ""Signature"": ""Known Pattern A""}"
2020-01-01 20:01:32.0000000,02e2316b-40df-e728-f8d8-90377f0fe9bd,ET SCAN SSH/RDP Brute Force Attempt,High,New,Azure Sentinel Analytics,Microsoft,InitialAccess,T1190,NTN-OSS-380,Isolate host and reset credentials,"[{""Type"": ""ip"", ""Address"": ""47.4.110.93""}, {""Type"": ""host"", ""HostName"": ""NTN-OSS-380""}]","{""Action"": ""Logged"", ""Segment"": ""Segment C"", ""AnomalyScore"": 55.58, ""Signature"": ""Known Pattern B""}"
2020-01-01 22:46:44.0000000,e8133754-b9d1-ac57-3c1b-1e1ac2687cf4,ET MALWARE Suspicious Executable Download,High,New,Azure Sentinel Analytics,Microsoft,CommandAndControl,T1071,NTN-SMS-132,Block IoC at perimeter,"[{""Type"": ""ip"", ""Address"": ""115.197.71.90""}, {""Type"": ""host"", ""HostName"": ""NTN-SMS-132""}]","{""Action"": ""Blocked"", ""Segment"": ""Segment A"", ""AnomalyScore"": 36.98, ""Signature"": ""Known Pattern B""}"
2020-01-01 23:08:08.0000000,976ac0b8-05d9-6f2b-1151-8ebd6a6b5796,ET DOS UDP/ICMP Amplification Flood,High,New,Azure Sentinel Analytics,Microsoft,Impact,T1498,NTN-BSS-200,Block IoC at perimeter,"[{""Type"": ""ip"", ""Address"": ""85.149.183.151""}, {""Type"": ""host"", ""HostName"": ""NTN-BSS-200""}]","{""Action"": ""Logged"", ""Segment"": ""Segment B"", ""AnomalyScore"": 79.8, ""Signature"": ""Known Pattern B""}"
2020-01-02 04:54:15.0000000,f1c0c793-04af-15ad-5bf1-252cf2f49fd1,ET MALWARE Generic C2 Beacon Activity,High,New,Azure Sentinel Analytics,Microsoft,CommandAndControl,T1071,NTN-API-202,Block IoC at perimeter,"[{""Type"": ""ip"", ""Address"": ""212.47.188.7""}, {""Type"": ""host"", ""HostName"": ""NTN-API-202""}]","{""Action"": ""Logged"", ""Segment"": ""Segment B"", ""AnomalyScore"": 27.16, ""Signature"": ""Known Pattern A""}"
2020-01-02 08:30:12.0000000,75a20772-b422-e98f-80bf-3562d8240ed6,ET MALWARE Suspicious Executable Download,High,New,Azure Sentinel Analytics,Microsoft,CommandAndControl,T1071,NTN-MSC-295,Block IoC at perimeter,"[{""Type"": ""ip"", ""Address"": ""21.153.222.60""}, {""Type"": ""host"", ""HostName"": ""NTN-MSC-295""}]","{""Action"": ""Ignored"", ""Segment"": ""Segment C"", ""AnomalyScore"": 37.21, ""Signature"": ""Known Pattern B""}"
2020-01-02 12:37:01.0000000,81483310-a1db-6d0d-4940-a152c70e3f89,ET EXPLOIT Apache Log4j RCE Attempt (CVE-2021-44228),High,InProgress,Azure Sentinel Analytics,Microsoft,InitialAccess,T1190,NTN-PRX-026,Isolate host and reset credentials,"[{""Type"": ""ip"", ""Address"": ""177.52.188.67""}, {""Type"": ""host"", ""HostName"": ""NTN-PRX-026""}]","{""Action"": ""Logged"", ""Segment"": ""Segment A"", ""AnomalyScore"": 97.83, ""Signature"": ""Known Pattern A""}"
2020-01-02 15:00:15.0000000,d7444b12-70dd-e173-f3f8-0dc92f1fd668,ET DOS Possible SYN Flood Inbound,High,Resolved,Azure Sentinel Analytics,Microsoft,Impact,T1498,NTN-WEB-097,Block IoC at perimeter,"[{""Type"": ""ip"", ""Address"": ""78.168.250.18""}, {""Type"": ""host"", ""HostName"": ""NTN-WEB-097""}]","{""Action"": ""Logged"", ""Segment"": ""Segment A"", ""AnomalyScore"": 44.48, ""Signature"": ""Known Pattern A""}"
2020-01-03 00:54:00.0000000,2b467e95-e702-f905-144d-ea67e97998cd,ET MALWARE Suspicious Executable Download,High,Resolved,Azure Sentinel Analytics,Microsoft,CommandAndControl,T1071,NTN-DNS-099,Block IoC at perimeter,"[{""Type"": ""ip"", ""Address"": ""69.75.57.137""}, {""Type"": ""host"", ""HostName"": ""NTN-DNS-099""}]","{""Action"": ""Logged"", ""Segment"": ""Segment A"", ""AnomalyScore"": 97.65, ""Signature"": ""Known Pattern B""}"
2020-01-03 13:20:11.0000000,0d8970df-6d45-c21c-3eed-223a02739941,ET EXPLOIT Apache Log4j RCE Attempt (CVE-2021-44228),High,InProgress,Azure Sentinel Analytics,Microsoft,InitialAccess,T1190,NTN-API-266,Isolate host and reset credentials,"[{""Type"": ""ip"", ""Address"": ""142.190.182.51""}, {""Type"": ""host"", ""HostName"": ""NTN-API-266""}]","{""Action"": ""Blocked"", ""Segment"": ""Segment B"", ""AnomalyScore"": 9.64, ""Signature"": ""Known Pattern A""}"
2020-01-03 16:21:05.0000000,fcde2f56-e620-643b-ae41-60b232b15c80,ET DOS Possible SYN Flood Inbound,High,InProgress,Azure Sentinel Analytics,Microsoft,Impact,T1498,NTN-DNS-063,Block IoC at perimeter,"[{""Type"": ""ip"", ""Address"": ""162.193.92.149""}, {""Type"": ""host"", ""HostName"": ""NTN-DNS-063""}]","{""Action"": ""Blocked"", ""Segment"": ""Segment A"", ""AnomalyScore"": 74.5, ""Signature"": ""Known Pattern A""}"
