incidentNumber,title,severity,status,classification,createdTimeUtc,lastActivityTimeUtc,alertCount,affectedEntity,sourceIps,owner,rule
1001,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,Undetermined,2020-08-20T03:40:26Z,2020-08-20T11:48:17Z,3,NTN-CORE-362,59.254.2.72;118.151.150.3;218.9.130.164,soc.l3@nilgiritelecom.example,NET-01
1002,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,Undetermined,2021-03-27T01:22:44Z,2021-03-27T20:24:34Z,3,NTN-CORE-394,71.141.165.137;186.66.146.142;163.20.61.177,soc.l2@nilgiritelecom.example,NET-01
1003,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,Undetermined,2020-09-25T08:40:14Z,2020-09-25T14:22:57Z,3,NTN-CRM-215,68.160.160.12;148.13.191.132;93.65.221.100,soc.l3@nilgiritelecom.example,NET-01
1004,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2020-06-08T10:31:58Z,2020-06-08T12:00:24Z,3,NTN-PRX-058,60.199.247.47;60.66.232.216;57.44.187.205,soc.l2@nilgiritelecom.example,NET-01
1005,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2022-12-13T16:46:44Z,2022-12-13T21:42:47Z,2,NTN-SMS-016,119.223.47.11;79.68.53.220,,NET-01
1006,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2022-06-23T08:57:31Z,2022-06-23T19:06:08Z,2,NTN-CORE-286,169.207.139.84;65.195.86.21,soc.l3@nilgiritelecom.example,NET-01
1007,NET-01: High severity DDoS traffic permitted through perimeter,High,New,Undetermined,2022-01-02T01:04:09Z,2022-01-02T15:41:37Z,2,NTN-AAA-157,143.43.16.42;99.129.109.228,soc.l3@nilgiritelecom.example,NET-01
1008,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2021-07-08T02:30:19Z,2021-07-08T21:04:53Z,2,NTN-CORE-322,7.231.232.212;213.153.195.177,soc.l2@nilgiritelecom.example,NET-01
1009,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2020-08-09T01:57:24Z,2020-08-09T16:24:13Z,2,NTN-CRM-179,27.168.236.59;62.115.10.205,soc.l3@nilgiritelecom.example,NET-01
1010,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,Undetermined,2020-11-08T13:30:28Z,2020-11-08T22:11:22Z,2,NTN-MSC-359,220.72.133.8;53.191.172.70,,NET-01
1011,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,Undetermined,2021-12-28T21:36:45Z,2021-12-28T21:52:46Z,2,NTN-WEB-013,28.151.35.42;99.209.206.114,,NET-01
1012,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2023-05-16T05:57:23Z,2023-05-16T17:04:39Z,2,NTN-OSS-400,97.24.8.84;26.255.190.30,soc.l2@nilgiritelecom.example,NET-01
1013,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2021-07-03T15:11:53Z,2021-07-03T23:20:24Z,2,NTN-WEB-073,100.158.187.220;183.200.115.30,,NET-01
1014,NET-01: High severity DDoS traffic permitted through perimeter,High,New,TruePositive,2023-08-30T03:26:51Z,2023-08-30T23:34:53Z,2,NTN-OSS-324,54.40.92.255;198.82.0.184,,NET-01
1015,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2023-08-31T12:25:30Z,2023-08-31T13:21:24Z,2,NTN-DNS-023,131.249.43.13;51.197.116.28,,NET-01
1016,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2022-06-14T07:51:38Z,2022-06-14T13:01:04Z,2,NTN-DNS-099,189.58.33.192;51.17.194.160,soc.l3@nilgiritelecom.example,NET-01
1017,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2022-06-14T01:35:47Z,2022-06-14T22:46:21Z,2,NTN-CRM-227,125.241.35.10;146.20.142.157,soc.l2@nilgiritelecom.example,NET-01
1018,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,Undetermined,2020-05-20T04:22:14Z,2020-05-20T11:14:12Z,2,NTN-MSC-299,35.244.24.150;75.254.162.238,soc.l3@nilgiritelecom.example,NET-01
1019,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2022-09-14T13:50:46Z,2022-09-14T23:07:10Z,2,NTN-HLR-321,57.18.1.188;13.137.13.251,soc.l2@nilgiritelecom.example,NET-01
1020,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2020-11-15T14:45:50Z,2020-11-15T17:07:23Z,2,NTN-HLR-285,152.60.173.81;24.86.96.80,soc.l2@nilgiritelecom.example,NET-01
1021,NET-01: High severity Intrusion traffic permitted through perimeter,High,New,TruePositive,2020-02-23T04:48:24Z,2020-02-23T12:18:48Z,2,NTN-MSC-363,34.238.150.115;28.198.75.122,soc.l2@nilgiritelecom.example,NET-01
1022,NET-01: High severity Intrusion traffic permitted through perimeter,High,New,TruePositive,2021-10-01T10:55:19Z,2021-10-01T14:38:39Z,2,NTN-DNS-099,204.174.192.149;171.13.190.22,soc.l2@nilgiritelecom.example,NET-01
1023,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,Undetermined,2020-02-25T08:29:47Z,2020-02-25T20:47:08Z,2,NTN-PRX-094,4.248.214.198;75.203.128.70,soc.l2@nilgiritelecom.example,NET-01
1024,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2022-01-07T04:09:11Z,2022-01-07T22:35:03Z,2,NTN-CORE-286,52.13.41.72;119.124.249.77,soc.l3@nilgiritelecom.example,NET-01
1025,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,Undetermined,2021-02-02T03:59:28Z,2021-02-02T04:35:48Z,2,NTN-API-142,55.100.187.242;93.42.81.63,soc.l2@nilgiritelecom.example,NET-01
1026,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2022-12-16T06:10:55Z,2022-12-16T13:55:41Z,2,NTN-BSS-200,73.146.45.13;188.198.186.174,,NET-01
1027,NET-01: High severity DDoS traffic permitted through perimeter,High,New,TruePositive,2022-12-17T07:33:55Z,2022-12-17T19:35:51Z,2,NTN-CORE-362,42.235.77.169;212.180.42.83,,NET-01
1028,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2020-10-28T12:42:00Z,2020-10-28T16:56:57Z,2,NTN-SMS-068,37.60.79.55;188.80.104.22,soc.l3@nilgiritelecom.example,NET-01
1029,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2022-03-29T19:41:32Z,2022-03-29T20:00:03Z,2,NTN-API-262,207.245.6.103;141.77.156.233,soc.l3@nilgiritelecom.example,NET-01
1030,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,Undetermined,2022-12-17T09:32:51Z,2022-12-17T18:28:56Z,2,NTN-MSC-351,162.82.79.63;149.162.188.18,soc.l3@nilgiritelecom.example,NET-01
1031,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2023-05-26T00:30:05Z,2023-05-26T12:40:05Z,2,NTN-HLR-285,166.99.31.157;7.126.155.215,soc.l2@nilgiritelecom.example,NET-01
