eventTime,eventSource,eventName,region,sourceIP,user,errorCode,bucket,mfaUsed
2020-01-01T05:17:19Z,s3.amazonaws.com,GetObject,ap-south-1,10.20.1.103,sumer.dass,AccessDenied,ntn-cdr-archive,
2020-01-03T01:19:39Z,iam.amazonaws.com,CreateAccessKey,ap-south-1,5.208.176.15,arnav.acharya,,,
2020-01-03T01:59:27Z,sts.amazonaws.com,AssumeRole,ap-south-1,10.20.2.171,ishita.rana,,,
2020-01-03T01:59:27Z,s3.amazonaws.com,ListBuckets,ap-south-1,10.20.1.195,nirvaan.viswanathan,,ntn-cdr-archive,
2020-01-04T04:45:56Z,s3.amazonaws.com,ListBuckets,ap-south-1,192.179.23.116,krish.bains,,ntn-cdr-archive,
2020-01-05T07:32:01Z,ec2.amazonaws.com,DescribeInstances,ap-south-1,10.20.2.56,farhan.bains,,,
2020-01-05T08:25:37Z,s3.amazonaws.com,ListBuckets,ap-south-1,10.20.2.109,amani.lalla,AccessDenied,ntn-kyc-scans,
2020-01-06T23:29:31Z,sts.amazonaws.com,AssumeRole,ap-south-1,180.151.51.97,manikya.samra,,,
2020-01-08T02:36:59Z,ec2.amazonaws.com,DescribeInstances,ap-south-1,216.58.112.91,riya.grewal,,,
2020-01-08T20:58:59Z,ec2.amazonaws.com,DescribeInstances,ap-south-1,10.20.2.179,shanaya.kara,,,
2020-01-09T18:45:52Z,s3.amazonaws.com,PutObject,ap-south-1,10.20.1.59,keya.d’alia,AccessDenied,ntn-core-backups,
2020-01-09T21:11:05Z,signin.amazonaws.com,ConsoleLogin,ap-south-1,10.20.1.129,jivika.bahl,,,No
2020-01-10T11:21:05Z,s3.amazonaws.com,ListBuckets,ap-south-1,10.20.3.178,anya.keer,,ntn-cdr-archive,
2020-01-11T14:33:54Z,ec2.amazonaws.com,DescribeInstances,ap-south-1,10.20.1.11,shaan.gola,AccessDenied,,
2020-01-11T22:40:27Z,ec2.amazonaws.com,AuthorizeSecurityGroupIngress,ap-south-1,83.236.158.178,advik.garde,,,
2020-01-12T17:11:15Z,s3.amazonaws.com,GetObject,ap-south-1,10.20.1.92,gokul.zacharia,,ntn-kyc-scans,
2020-01-13T18:34:08Z,ec2.amazonaws.com,DescribeInstances,ap-south-1,10.20.3.236,charvi.bhatia,,,
2020-01-13T19:16:00Z,s3.amazonaws.com,GetObject,ap-south-1,10.20.3.138,ehsaan.chada,,ntn-kyc-scans,
2020-01-14T04:02:58Z,s3.amazonaws.com,GetObject,ap-south-1,10.20.2.217,diya.ranganathan,,ntn-cdr-archive,
2020-01-14T04:58:17Z,s3.amazonaws.com,GetObject,ap-south-1,10.20.1.142,hridaan.shan,,ntn-core-backups,
2020-01-14T14:21:31Z,signin.amazonaws.com,ConsoleLogin,ap-south-1,10.20.3.51,shalv.yadav,,,Yes
2020-01-14T23:18:32Z,ec2.amazonaws.com,DescribeInstances,ap-south-1,178.44.235.217,tanya.balakrishnan,,,
2020-01-14T23:18:32Z,sts.amazonaws.com,AssumeRole,ap-south-1,10.20.2.204,baiju.gour,,,
2020-01-17T02:47:55Z,s3.amazonaws.com,PutBucketPolicy,ap-south-1,89.14.190.178,indrans.kurian,,ntn-kyc-scans,
2020-01-17T13:39:25Z,signin.amazonaws.com,ConsoleLogin,ap-south-1,10.20.3.23,neysa.tank,,,Yes
2020-01-17T17:09:03Z,sts.amazonaws.com,AssumeRole,ap-south-1,10.20.2.70,mamooty.shan,,,
2020-01-18T01:29:49Z,s3.amazonaws.com,PutObject,ap-south-1,10.20.1.94,yuvraj..dhawan,,ntn-cdr-archive,
2020-01-18T13:02:31Z,cloudtrail.amazonaws.com,DeleteTrail,ap-south-1,66.156.113.187,jivika.lal,,,
2020-01-21T12:58:39Z,iam.amazonaws.com,CreateAccessKey,ap-south-1,139.90.210.76,aniruddh.ben,,,
