EVENT_TIMESTAMP,DBUSERNAME,OS_USER,USERHOST,CLIENT_IP,ACTION_NAME,OBJECT_SCHEMA,OBJECT_NAME,SQL_TEXT,ROWS_PROCESSED,RETURN_CODE
2020-01-02T09:33:08.496,REPORT_USER,shalv,NTN-SMS-124,10.10.0.125,UPDATE,OSS,SIM_INVENTORY,UPDATE ON OSS.SIM_INVENTORY,16,0
2020-01-02T18:16:42.205,REPORT_USER,faiyaz,NTN-CORE-382,10.30.0.115,UPDATE,CRM,KYC_DOCUMENTS,UPDATE ON CRM.KYC_DOCUMENTS,20,0
2020-01-03T06:27:55.241,FARHAN,farhan,NTN-PRX-130,10.10.0.131,SELECT,CRM,KYC_DOCUMENTS,SELECT * FROM CRM.KYC_DOCUMENTS,7,1017
2020-01-04T03:17:07.854,APP_SVC,anya,NTN-OSS-360,10.30.0.93,UPDATE,BSS,BILLING_INVOICES,UPDATE ON BSS.BILLING_INVOICES,18,0
2020-01-04T09:19:45.482,DBA_ADMIN,eshani,NTN-CORE-286,10.30.0.19,SELECT,BSS,CDR_RECORDS,SELECT * FROM BSS.CDR_RECORDS,1,0
2020-01-04T19:12:19.308,SEHER,seher,NTN-BSS-168,10.20.0.35,SELECT,OSS,SIM_INVENTORY,SELECT * FROM OSS.SIM_INVENTORY,3,0
2020-01-05T06:24:03.119,APP_SVC,indrajit,NTN-API-154,10.20.0.21,SELECT,CRM,KYC_DOCUMENTS,SELECT * FROM CRM.KYC_DOCUMENTS,50,0
2020-01-05T14:19:20.838,APP_SVC,tushar,NTN-API-250,10.20.0.117,SELECT,BSS,CDR_RECORDS,SELECT * FROM BSS.CDR_RECORDS,9,0
2020-01-05T22:31:50.089,REPORT_USER,khushi,NTN-PRX-070,10.10.0.71,SELECT,CRM,KYC_DOCUMENTS,SELECT * FROM CRM.KYC_DOCUMENTS,18,0
2020-01-06T12:28:34.419,HRIDAAN,hridaan,NTN-OSS-380,10.30.0.113,SELECT,CRM,KYC_DOCUMENTS,SELECT * FROM CRM.KYC_DOCUMENTS,2,0
