asset_id,hostname,ip,segment,role,os,criticality,exposed
AST-0001,NTN-WEB-001,10.10.0.2,Segment A,WEB,Linux,High,True
AST-0002,NTN-PRX-002,10.10.0.3,Segment A,PRX,Linux,High,False
AST-0003,NTN-DNS-003,10.10.0.4,Segment A,DNS,Linux,Critical,False
AST-0004,NTN-SMS-004,10.10.0.5,Segment A,SMS,Linux,Low,False
AST-0005,NTN-WEB-005,10.10.0.6,Segment A,WEB,Linux,High,False
AST-0006,NTN-PRX-006,10.10.0.7,Segment A,PRX,Windows,Critical,True
AST-0007,NTN-DNS-007,10.10.0.8,Segment A,DNS,Linux,Medium,False
AST-0008,NTN-SMS-008,10.10.0.9,Segment A,SMS,Linux,Critical,False
AST-0009,NTN-WEB-009,10.10.0.10,Segment A,WEB,Linux,High,False
AST-0010,NTN-PRX-010,10.10.0.11,Segment A,PRX,Linux,Medium,False
AST-0011,NTN-DNS-011,10.10.0.12,Segment A,DNS,Linux,Critical,True
AST-0012,NTN-SMS-012,10.10.0.13,Segment A,SMS,Windows,Medium,False
AST-0013,NTN-WEB-013,10.10.0.14,Segment A,WEB,Linux,High,True
AST-0014,NTN-PRX-014,10.10.0.15,Segment A,PRX,Linux,Low,False
AST-0015,NTN-DNS-015,10.10.0.16,Segment A,DNS,Linux,Critical,True
AST-0016,NTN-SMS-016,10.10.0.17,Segment A,SMS,Linux,Critical,True
AST-0017,NTN-WEB-017,10.10.0.18,Segment A,WEB,Linux,Medium,False
AST-0018,NTN-PRX-018,10.10.0.19,Segment A,PRX,Windows,Medium,False
AST-0019,NTN-DNS-019,10.10.0.20,Segment A,DNS,Linux,Low,False
AST-0020,NTN-SMS-020,10.10.0.21,Segment A,SMS,Linux,High,False
AST-0021,NTN-WEB-021,10.10.0.22,Segment A,WEB,Linux,High,False
AST-0022,NTN-PRX-022,10.10.0.23,Segment A,PRX,Linux,Critical,False
AST-0023,NTN-DNS-023,10.10.0.24,Segment A,DNS,Linux,Critical,True
AST-0024,NTN-SMS-024,10.10.0.25,Segment A,SMS,Windows,Medium,True
AST-0025,NTN-WEB-025,10.10.0.26,Segment A,WEB,Linux,Medium,True
AST-0026,NTN-PRX-026,10.10.0.27,Segment A,PRX,Linux,Medium,True
AST-0027,NTN-DNS-027,10.10.0.28,Segment A,DNS,Linux,High,False
AST-0028,NTN-SMS-028,10.10.0.29,Segment A,SMS,Linux,Low,False
AST-0029,NTN-WEB-029,10.10.0.30,Segment A,WEB,Linux,Medium,True
AST-0030,NTN-PRX-030,10.10.0.31,Segment A,PRX,Windows,High,False
AST-0031,NTN-DNS-031,10.10.0.32,Segment A,DNS,Linux,Medium,False
AST-0032,NTN-SMS-032,10.10.0.33,Segment A,SMS,Linux,Medium,False
AST-0033,NTN-WEB-033,10.10.0.34,Segment A,WEB,Linux,High,True
AST-0034,NTN-PRX-034,10.10.0.35,Segment A,PRX,Linux,Low,False
AST-0035,NTN-DNS-035,10.10.0.36,Segment A,DNS,Linux,Critical,False
AST-0036,NTN-SMS-036,10.10.0.37,Segment A,SMS,Windows,Medium,True
AST-0037,NTN-WEB-037,10.10.0.38,Segment A,WEB,Linux,Critical,False
AST-0038,NTN-PRX-038,10.10.0.39,Segment A,PRX,Linux,Low,False
AST-0039,NTN-DNS-039,10.10.0.40,Segment A,DNS,Linux,Medium,True
AST-0040,NTN-SMS-040,10.10.0.41,Segment A,SMS,Linux,Medium,False
AST-0041,NTN-WEB-041,10.10.0.42,Segment A,WEB,Linux,Low,False
AST-0042,NTN-PRX-042,10.10.0.43,Segment A,PRX,Windows,Low,True
AST-0043,NTN-DNS-043,10.10.0.44,Segment A,DNS,Linux,High,False
AST-0044,NTN-SMS-044,10.10.0.45,Segment A,SMS,Linux,Medium,True
AST-0045,NTN-WEB-045,10.10.0.46,Segment A,WEB,Linux,Medium,False
AST-0046,NTN-PRX-046,10.10.0.47,Segment A,PRX,Linux,Low,False
AST-0047,NTN-DNS-047,10.10.0.48,Segment A,DNS,Linux,Critical,False
AST-0048,NTN-SMS-048,10.10.0.49,Segment A,SMS,Windows,Medium,True
AST-0049,NTN-WEB-049,10.10.0.50,Segment A,WEB,Linux,Low,False
AST-0050,NTN-PRX-050,10.10.0.51,Segment A,PRX,Linux,Low,False
AST-0051,NTN-DNS-051,10.10.0.52,Segment A,DNS,Linux,Critical,True
AST-0052,NTN-SMS-052,10.10.0.53,Segment A,SMS,Linux,Critical,False
AST-0053,NTN-WEB-053,10.10.0.54,Segment A,WEB,Linux,Low,False
