asset_id,hostname,ip,segment,role,os,criticality,exposed,high_sev_alerts,first_seen,last_seen,permitted
AST-0001,NTN-WEB-001,10.10.0.2,Segment A,WEB,Linux,High,True,50,2020-04-04T07:39:25.599380+0000,2023-07-29T02:20:05.456658+0000,35
AST-0006,NTN-PRX-006,10.10.0.7,Segment A,PRX,Windows,Critical,True,21,2020-01-16T18:04:33.870957+0000,2023-07-22T05:42:36.223656+0000,15
AST-0011,NTN-DNS-011,10.10.0.12,Segment A,DNS,Linux,Critical,True,49,2020-01-04T10:39:32.402761+0000,2023-10-08T13:16:56.845387+0000,27
AST-0013,NTN-WEB-013,10.10.0.14,Segment A,WEB,Linux,High,True,40,2020-02-22T18:23:59.300827+0000,2023-10-07T05:18:19.822344+0000,28
AST-0015,NTN-DNS-015,10.10.0.16,Segment A,DNS,Linux,Critical,True,44,2020-03-12T13:34:26.214778+0000,2023-08-26T23:06:52.945505+0000,26
AST-0016,NTN-SMS-016,10.10.0.17,Segment A,SMS,Linux,Critical,True,61,2020-01-01T20:13:23.437959+0000,2023-09-23T09:20:31.732730+0000,36
AST-0023,NTN-DNS-023,10.10.0.24,Segment A,DNS,Linux,Critical,True,35,2020-02-18T00:02:41.141758+0000,2023-09-13T05:08:16.672266+0000,24
AST-0024,NTN-SMS-024,10.10.0.25,Segment A,SMS,Windows,Medium,True,20,2020-01-27T04:35:59.093366+0000,2023-08-10T09:47:25.021248+0000,14
AST-0025,NTN-WEB-025,10.10.0.26,Segment A,WEB,Linux,Medium,True,51,2020-01-01T13:01:19.467151+0000,2023-09-20T13:50:44.172118+0000,29
AST-0026,NTN-PRX-026,10.10.0.27,Segment A,PRX,Linux,Medium,True,43,2020-02-24T07:20:57.843866+0000,2023-10-04T02:08:48.481954+0000,23
AST-0029,NTN-WEB-029,10.10.0.30,Segment A,WEB,Linux,Medium,True,44,2020-03-06T19:31:36.582669+0000,2023-08-08T06:12:36.770044+0000,29
AST-0033,NTN-WEB-033,10.10.0.34,Segment A,WEB,Linux,High,True,55,2020-02-24T15:11:41.957786+0000,2023-08-04T18:39:59.523099+0000,41
AST-0036,NTN-SMS-036,10.10.0.37,Segment A,SMS,Windows,Medium,True,26,2020-03-26T04:41:15.194431+0000,2023-09-09T16:53:08.168753+0000,16
AST-0039,NTN-DNS-039,10.10.0.40,Segment A,DNS,Linux,Medium,True,56,2020-03-24T01:23:48.459390+0000,2023-09-24T07:56:16.471431+0000,34
AST-0042,NTN-PRX-042,10.10.0.43,Segment A,PRX,Windows,Low,True,25,2020-12-21T15:03:06.244982+0000,2023-06-22T05:02:01.473664+0000,18
AST-0044,NTN-SMS-044,10.10.0.45,Segment A,SMS,Linux,Medium,True,43,2020-01-03T19:05:11.139244+0000,2023-07-21T13:40:05.084110+0000,27
AST-0048,NTN-SMS-048,10.10.0.49,Segment A,SMS,Windows,Medium,True,19,2020-03-19T02:20:53.165315+0000,2023-09-17T12:44:03.745493+0000,13
AST-0051,NTN-DNS-051,10.10.0.52,Segment A,DNS,Linux,Critical,True,27,2020-01-05T09:12:14.373325+0000,2023-10-08T19:02:27.476989+0000,16
AST-0054,NTN-PRX-054,10.10.0.55,Segment A,PRX,Windows,Medium,True,19,2020-02-17T21:36:23.572612+0000,2023-09-06T19:23:30.395118+0000,14
AST-0058,NTN-PRX-058,10.10.0.59,Segment A,PRX,Linux,Critical,True,51,2020-01-06T21:33:34.964144+0000,2023-10-02T11:20:58.768582+0000,38
AST-0059,NTN-DNS-059,10.10.0.60,Segment A,DNS,Linux,High,True,42,2020-03-10T03:42:48.830819+0000,2023-09-09T06:59:34.886454+0000,30
AST-0061,NTN-WEB-061,10.10.0.62,Segment A,WEB,Linux,Low,True,56,2020-01-27T15:22:06.663449+0000,2023-08-24T10:31:32.292184+0000,35
AST-0062,NTN-PRX-062,10.10.0.63,Segment A,PRX,Linux,Critical,True,53,2020-01-18T21:53:33.730724+0000,2023-09-11T15:59:03.480923+0000,34
AST-0063,NTN-DNS-063,10.10.0.64,Segment A,DNS,Linux,Critical,True,43,2020-01-03T16:21:05.051937+0000,2023-10-05T13:55:02.402954+0000,28
AST-0066,NTN-PRX-066,10.10.0.67,Segment A,PRX,Windows,High,True,19,2020-03-28T12:06:28.192249+0000,2023-05-23T10:55:15.201214+0000,11
AST-0068,NTN-SMS-068,10.10.0.69,Segment A,SMS,Linux,Low,True,46,2020-01-15T04:45:17.510182+0000,2023-09-16T01:16:01.268040+0000,27
AST-0069,NTN-WEB-069,10.10.0.70,Segment A,WEB,Linux,Medium,True,70,2020-03-08T11:30:09.194000+0000,2023-09-15T10:17:48.439351+0000,45
AST-0070,NTN-PRX-070,10.10.0.71,Segment A,PRX,Linux,High,True,53,2020-03-04T01:00:23.024130+0000,2023-09-28T03:39:32.991749+0000,37
